"","circ_id","mmu1","mmu2","mmu3"
"1","1:100406082|100412463",NA,"2.000",NA
"74","1:128265852|128281307",NA,NA,"2.000"
"75","1:128276105|128281307",NA,NA,"1.000"
"76","1:128294434|128300023",NA,NA,"2.000"
"77","1:128301673|128304049",NA,NA,"1.000"
"78","1:128306502|128314913",NA,NA,"1.000"
"79","1:128319007|128343148",NA,NA,"1.000"
"80","1:128648650|128648815",NA,"1.000",NA
"81","1:130609885|130611807","2.000",NA,"2.000"
"82","1:130609885|130611810",NA,NA,"2.000"
"83","1:130626924|130633238",NA,NA,"1.000"
"84","1:130633113|130635938",NA,NA,"5.000"
"85","1:130634162|130642313",NA,NA,"1.000"
"86","1:130754893|130755062",NA,"1.000",NA
"87","1:131085928|131088361",NA,NA,"3.000"
"88","1:131283248|131284643",NA,"3.000",NA
"89","1:131624736|131626369","2.000",NA,NA
"90","1:131799804|131800344",NA,"1.000",NA
"91","1:131846742|131857500",NA,NA,"1.000"
"92","1:131980117|131981962",NA,NA,"1.000"
"93","1:132245159|132252811","2.000",NA,NA
"94","1:13226593|13237330",NA,NA,"2.000"
"95","1:13230384|13237330","5.000",NA,NA
"96","1:132357171|132362225","1.000",NA,NA
"97","1:132417325|132418323",NA,"1.000",NA
"98","1:13291530|13294937",NA,"21.000","35.000"
"99","1:13291530|13356249","36.000","42.000","13.000"
"100","1:13291530|13369946",NA,NA,"2.000"
"101","1:132919437|132919963","7.000",NA,"3.000"
"102","1:132922240|132924447",NA,NA,"1.000"
"103","1:132936874|132940449","5.000","8.000",NA
"104","1:132936874|132940452","1.000",NA,NA
"105","1:132993949|132998156",NA,NA,"1.000"
"106","1:133021393|133022572",NA,"3.000","2.000"
"107","1:133212617|133213124",NA,NA,"4.000"
"108","1:133313731|133316735","1.000",NA,"4.000"
"109","1:133403669|133403865","3.000",NA,NA
"110","1:133566777|133566981",NA,"1.000",NA
"111","1:133573464|133575267",NA,NA,"5.000"
"112","1:134280092|134283454",NA,NA,"3.000"
"113","1:134280092|134288662",NA,NA,"5.000"
"114","1:134350658|134352660",NA,"1.000",NA
"115","1:134395388|134411591",NA,NA,"2.000"
"116","1:134532179|134533613",NA,NA,"4.000"
"117","1:134535425|134541749",NA,NA,"3.000"
"118","1:134547297|134548760","2.000","1.000",NA
"119","1:134762172|134770471",NA,NA,"8.000"
"120","1:134762172|134797988",NA,NA,"1.000"
"121","1:134793515|134807483",NA,NA,"2.000"
"122","1:134797805|134807483","1.000",NA,"3.000"
"123","1:134812519|134815092",NA,NA,"1.000"
"124","1:134949512|134955005",NA,NA,"1.000"
"125","1:135199266|135200216",NA,"1.000",NA
"126","1:135199266|135205275",NA,NA,"5.000"
"127","1:135232167|135236936",NA,NA,"7.000"
"128","1:135321873|135327941",NA,"2.000",NA
"129","1:135346974|135348091",NA,"1.000","2.000"
"130","1:135605059|135605245",NA,"1.000",NA
"131","1:135708900|135711168","2.000",NA,NA
"132","1:136072336|136073050","1.000",NA,NA
"133","1:136352532|136361603","1.000",NA,NA
"134","1:136357951|136362372",NA,NA,"1.000"
"135","1:13642026|13646676",NA,"3.000","2.000"
"136","1:13646591|13651310",NA,NA,"5.000"
"137","1:137860699|137862709",NA,"1.000",NA
"138","1:138443362|138444374","6.000",NA,NA
"139","1:138460474|138472081",NA,NA,"5.000"
"140","1:138460474|138489523",NA,NA,"2.000"
"141","1:138471940|138489523","1.000",NA,NA
"142","1:138950842|138969781","1.000",NA,"1.000"
"143","1:138967737|138982359",NA,NA,"2.000"
"144","1:138967737|138990709",NA,"3.000",NA
"145","1:138967737|139029831","2.000",NA,NA
"146","1:138981083|138990709","26.000","11.000","12.000"
"147","1:138986804|139038223","2.000",NA,"4.000"
"148","1:139008910|139029831","1.000",NA,NA
"149","1:139008910|139038223","7.000","1.000","13.000"
"150","1:139013620|139029831",NA,NA,"2.000"
"151","1:139013620|139038223",NA,NA,"16.000"
"152","1:139061408|139071738",NA,NA,"1.000"
"153","1:139067118|139071738","5.000",NA,NA
"154","1:141343201|141343420",NA,NA,"2.000"
"155","1:143491040|143493178",NA,NA,"2.000"
"156","1:143503239|143513276","5.000",NA,NA
"157","1:143543362|143553593","6.000","2.000","8.000"
"158","1:143553376|143575060",NA,"1.000",NA
"159","1:149776850|149778193","1.000",NA,NA
"160","1:149776850|149797887","3.000",NA,NA
"161","1:150282212|150283328","1.000",NA,"11.000"
"162","1:150303870|150305296","7.000","3.000","8.000"
"163","1:151225126|151226860",NA,NA,"3.000"
"164","1:151225605|151225856","1.000",NA,NA
"165","1:151260067|151276924",NA,NA,"2.000"
"166","1:151276830|151281296",NA,NA,"1.000"
"167","1:151309544|151311592",NA,"1.000",NA
"168","1:151309544|151315331","1.000",NA,NA
"169","1:151327798|151328906",NA,NA,"1.000"
"170","1:151348822|151354376","3.000",NA,"2.000"
"171","1:151646582|151653310",NA,NA,"1.000"
"172","1:151646582|151660595",NA,NA,"1.000"
"173","1:151668078|151672658",NA,"1.000",NA
"174","1:151769072|151796874","1.000","2.000","8.000"
"175","1:151791232|151882518",NA,NA,"4.000"
"176","1:151856176|151882518",NA,"5.000","9.000"
"177","1:151856176|151883043",NA,NA,"1.000"
"178","1:151882295|151882518",NA,"2.000",NA
"179","1:152724346|152728409",NA,NA,"2.000"
"180","1:152742331|152746542",NA,NA,"1.000"
"181","1:153115000|153116241","3.000",NA,"6.000"
"182","1:153311663|153313376","1.000",NA,NA
"183","1:153338297|153340159",NA,"4.000",NA
"184","1:153345345|153353935",NA,NA,"1.000"
"185","1:153352169|153354724",NA,"2.000",NA
"186","1:153358487|153359618","4.000",NA,"6.000"
"187","1:153778679|153780444",NA,NA,"2.000"
"188","1:155049731|155053694",NA,NA,"3.000"
"189","1:155049731|155069071",NA,NA,"1.000"
"190","1:155049731|155073181","73.000","18.000","160.000"
"191","1:155063523|155073181","1.000","3.000","3.000"
"192","1:155471777|155491718","1.000",NA,NA
"193","1:155477199|155491718",NA,NA,"1.000"
"194","1:155477199|155500704",NA,"5.000","6.000"
"195","1:155491612|155500704",NA,NA,"2.000"
"196","1:155627697|155627904",NA,"1.000",NA
"197","1:155671518|155671730",NA,"1.000",NA
"198","1:155722855|155724473",NA,NA,"2.000"
"199","1:155784949|155787022",NA,"2.000",NA
"200","1:155828899|155838306",NA,NA,"5.000"
"201","1:155889063|155898933",NA,"1.000","12.000"
"202","1:155935156|155941042",NA,NA,"1.000"
"203","1:156529968|156533737",NA,NA,"2.000"
"204","1:157114300|157126834","2.000","1.000","1.000"
"205","1:157373768|157382422",NA,NA,"3.000"
"206","1:158000800|158000964",NA,NA,"2.000"
"207","1:15901730|15908512",NA,"1.000",NA
"208","1:160054054|160059437","1.000",NA,NA
"209","1:160064195|160085105",NA,NA,"1.000"
"210","1:160509610|160530030",NA,NA,"1.000"
"211","1:160528281|160530030","6.000","4.000","13.000"
"212","1:160566465|160568501",NA,NA,"3.000"
"213","1:160767564|160768564","1.000",NA,"1.000"
"214","1:160863321|160865117",NA,"1.000",NA
"215","1:160921250|160923307","1.000",NA,NA
"216","1:160925832|160926855","1.000","1.000",NA
"217","1:161069004|161071171",NA,NA,"1.000"
"218","1:161069205|161071912",NA,NA,"2.000"
"219","1:161069205|161074983","5.000",NA,"2.000"
"220","1:161345272|161354772",NA,NA,"5.000"
"221","1:161655225|161656909",NA,NA,"3.000"
"222","1:161911601|162102108",NA,NA,"1.000"
"223","1:162059222|162102108",NA,"1.000",NA
"224","1:162542960|162543930","4.000",NA,"9.000"
"225","1:163761047|163762386","4.000",NA,"4.000"
"226","1:163761047|163764100",NA,NA,"1.000"
"227","1:163773732|163776882",NA,NA,"1.000"
"228","1:16415927|16579632",NA,NA,"2.000"
"229","1:164206927|164230646",NA,NA,"2.000"
"230","1:16510546|16556374",NA,"2.000",NA
"231","1:165178452|165179645",NA,NA,"1.000"
"232","1:165178452|165185115",NA,NA,"1.000"
"233","1:165216226|165219801",NA,NA,"1.000"
"234","1:165247679|165256884",NA,"2.000",NA
"235","1:165250424|165251963","1.000",NA,NA
"236","1:165250424|165256884",NA,NA,"3.000"
"237","1:165302522|165308583",NA,NA,"5.000"
"238","1:16533258|16556374","5.000","2.000",NA
"239","1:16533258|16579632",NA,NA,"5.000"
"240","1:165420959|165436173",NA,NA,"2.000"
"241","1:165429318|165436173",NA,"6.000","14.000"
"242","1:165432178|165436173","26.000",NA,"37.000"
"243","1:165458665|165459033",NA,NA,"2.000"
"244","1:16556243|16579632",NA,"1.000",NA
"245","1:165738856|165740918",NA,NA,"6.000"
"246","1:166209695|166216340",NA,NA,"3.000"
"247","1:16652150|16655655","4.000","3.000",NA
"248","1:16652150|16672577",NA,NA,"12.000"
"249","1:167055300|167065217","1.000",NA,"3.000"
"250","1:167057461|167065217","3.000",NA,NA
"251","1:167062260|167065217","33.000","8.000","62.000"
"252","1:167141675|167153589","3.000",NA,"1.000"
"253","1:167701623|167701823",NA,NA,"1.000"
"254","1:169969677|169994517",NA,NA,"5.000"
"255","1:169975564|169994517",NA,NA,"1.000"
"256","1:169984492|169994517",NA,"3.000","8.000"
"257","1:169986319|169994517",NA,NA,"2.000"
"258","1:170146306|170156876",NA,NA,"3.000"
"259","1:170342183|170361700",NA,"1.000",NA
"260","1:170614914|170627314",NA,NA,"7.000"
"261","1:170614914|170647001",NA,NA,"1.000"
"262","1:170621525|170627314",NA,NA,"2.000"
"263","1:170627182|170647001",NA,NA,"1.000"
"264","1:170642991|170647001",NA,"1.000","1.000"
"265","1:170662388|170669381","1.000","1.000",NA
"266","1:170676685|170682758",NA,NA,"2.000"
"267","1:171679369|171679702","3.000",NA,NA
"268","1:171894105|171895840",NA,NA,"2.000"
"269","1:171925240|171929859","2.000",NA,NA
"270","1:171944492|171944863",NA,"2.000",NA
"271","1:171956197|171957554",NA,NA,"1.000"
"272","1:172001509|172015027","4.000","7.000","43.000"
"273","1:172311847|172312537",NA,NA,"2.000"
"274","1:176658622|176681468",NA,NA,"6.000"
"275","1:176693974|176705672",NA,"1.000",NA
"276","1:176695777|176702264","2.000",NA,NA
"277","1:176924532|176937304","1.000",NA,NA
"278","1:176930527|176937304",NA,NA,"2.000"
"279","1:176930527|177076447","5.000","1.000","4.000"
"280","1:177012714|177076447",NA,NA,"1.000"
"281","1:177037541|177076447","2.000",NA,NA
"282","1:177830560|177874563",NA,NA,"4.000"
"283","1:178150698|178152878","1.000","7.000","8.000"
"284","1:178150698|178156972",NA,"1.000",NA
"285","1:178150698|178157911",NA,NA,"5.000"
"286","1:178158657|178159042","1.000",NA,NA
"287","1:178161451|178163723",NA,NA,"2.000"
"288","1:178506390|178506924",NA,"1.000",NA
"289","1:178798133|178798409","6.000",NA,NA
"290","1:178871301|178877943",NA,"8.000","8.000"
"291","1:178871301|178921967",NA,"1.000","3.000"
"292","1:178920430|178921967",NA,"4.000",NA
"293","1:179232847|179239350",NA,"4.000","3.000"
"294","1:179405776|179407333","1.000",NA,NA
"295","1:179406902|179420431",NA,NA,"2.000"
"296","1:179429266|179438231",NA,NA,"3.000"
"297","1:179608420|179613696",NA,NA,"1.000"
"298","1:179611654|179613696","3.000",NA,"1.000"
"299","1:179617213|179620118",NA,"2.000",NA
"300","1:179826926|179852367","4.000",NA,NA
"301","1:179826926|179867765",NA,NA,"12.000"
"302","1:179936718|179941679",NA,NA,"2.000"
"303","1:179939309|179945308","1.000",NA,NA
"304","1:180006141|180006849",NA,NA,"3.000"
"305","1:180061180|180062732","1.000",NA,NA
"306","1:180240238|180241565",NA,NA,"2.000"
"307","1:180560730|180564415",NA,NA,"2.000"
"308","1:180560730|180566202","6.000",NA,"15.000"
"309","1:180564256|180566202","2.000",NA,"6.000"
"310","1:180779696|180785612",NA,NA,"3.000"
"311","1:180929093|180951549",NA,NA,"1.000"
"312","1:180936724|180951549",NA,NA,"2.000"
"313","1:181010333|181030725",NA,NA,"3.000"
"314","1:181011291|181011961","2.000",NA,NA
"315","1:181011815|181013632","4.000",NA,"3.000"
"316","1:181653186|181659797","9.000","5.000","30.000"
"317","1:181783958|181789484",NA,NA,"5.000"
"318","1:182145374|182157548","2.000",NA,NA
"319","1:182153818|182157548",NA,NA,"1.000"
"320","1:182204487|182204653","1.000",NA,NA
"321","1:182681521|182686175",NA,"1.000",NA
"322","1:183115436|183116406",NA,"1.000",NA
"323","1:183117373|183135483",NA,NA,"1.000"
"324","1:183132406|183135483",NA,"3.000",NA
"325","1:183177247|183183904",NA,NA,"1.000"
"326","1:183207397|183209012","2.000",NA,NA
"327","1:183208885|183209604",NA,"3.000","1.000"
"328","1:184564772|184573624",NA,NA,"3.000"
"329","1:184987941|184991724",NA,NA,"2.000"
"330","1:184987941|184992695",NA,NA,"6.000"
"331","1:184990694|184999476",NA,NA,"1.000"
"332","1:184999097|184999476","3.000","10.000","18.000"
"333","1:185070302|185078920","3.000",NA,NA
"334","1:185073419|185078920",NA,"2.000",NA
"335","1:185099727|185106409","3.000",NA,NA
"336","1:185099727|185119315","1.000",NA,NA
"337","1:185105114|185111098",NA,"2.000",NA
"338","1:185118442|185129459",NA,"1.000",NA
"339","1:185118442|185129464","12.000","3.000","43.000"
"340","1:185130590|185133865",NA,NA,"2.000"
"341","1:185146526|185148148","1.000",NA,"4.000"
"342","1:186361079|186365007",NA,NA,"4.000"
"343","1:186362806|186382095",NA,NA,"2.000"
"344","1:186383059|186383223",NA,"2.000",NA
"345","1:186468312|186472060","4.000","2.000","12.000"
"346","1:188706262|188710849","4.000","3.000","1.000"
"347","1:189518832|189530878",NA,NA,"4.000"
"348","1:190541079|190566295","7.000",NA,NA
"349","1:190541079|190576799",NA,NA,"1.000"
"350","1:190566202|190576799","1.000","2.000",NA
"351","1:190600769|190631768",NA,NA,"2.000"
"352","1:190603788|190604148","9.000",NA,NA
"353","1:190603788|190631768","2.000","1.000","13.000"
"354","1:190617530|190620961",NA,"1.000","2.000"
"355","1:190617530|190631768","10.000","6.000","10.000"
"356","1:190617530|190637315",NA,"2.000",NA
"357","1:190665063|190675084","5.000",NA,"5.000"
"358","1:190781478|190791108","1.000","1.000",NA
"359","1:191077173|191079101",NA,NA,"8.000"
"360","1:191100837|191104863",NA,NA,"12.000"
"361","1:191288552|191300668","5.000",NA,NA
"362","1:191314510|191315437",NA,NA,"12.000"
"363","1:191314510|191318773","2.000",NA,NA
"364","1:191342137|191345854",NA,"1.000",NA
"365","1:191481651|191495783",NA,"4.000","11.000"
"366","1:191488043|191495783",NA,NA,"1.000"
"367","1:191800568|191814760",NA,NA,"4.000"
"368","1:191807838|191810327","3.000","2.000","17.000"
"369","1:192000140|192000294",NA,NA,"3.000"
"370","1:192235246|192236369",NA,"1.000",NA
"371","1:192805945|192810854","3.000",NA,NA
"372","1:192839523|192848232",NA,NA,"1.000"
"373","1:193016723|193016941",NA,NA,"1.000"
"374","1:193021113|193023209",NA,NA,"5.000"
"375","1:193659947|193660295","3.000",NA,NA
"376","1:23417806|23418139",NA,NA,"1.000"
"377","1:24071743|24085488",NA,NA,"4.000"
"378","1:24082029|24085488",NA,NA,"6.000"
"379","1:24246466|24253673","9.000","3.000","13.000"
"380","1:24256616|24261556",NA,NA,"3.000"
"381","1:24724477|24732082",NA,NA,"8.000"
"382","1:24743901|24754063",NA,NA,"7.000"
"383","1:24767626|24801364",NA,"1.000",NA
"384","1:24782963|24784051",NA,"1.000",NA
"385","1:30859161|30860395","8.000",NA,"6.000"
"386","1:30859763|30863600","2.000",NA,NA
"387","1:30876185|30902336",NA,"1.000","7.000"
"388","1:31102919|31106145","2.000",NA,NA
"389","1:33551096|33553298",NA,"1.000","3.000"
"390","1:33551096|33572444","2.000",NA,"1.000"
"391","1:33667475|33669514","2.000","4.000","9.000"
"392","1:33760688|33764100",NA,NA,"1.000"
"393","1:33818124|33825613",NA,NA,"1.000"
"394","1:33822121|33825613",NA,"1.000","1.000"
"395","1:34125322|34156605",NA,"2.000",NA
"396","1:34153013|34156605",NA,NA,"6.000"
"397","1:34501782|34507442",NA,NA,"9.000"
"398","1:34858672|34859090",NA,NA,"1.000"
"399","1:34867847|34875894","4.000",NA,NA
"400","1:36185112|36189240",NA,"1.000",NA
"401","1:36213976|36215408",NA,NA,"1.000"
"402","1:36221550|36225049",NA,"2.000","2.000"
"403","1:36234930|36236716",NA,"1.000","6.000"
"404","1:36234930|36240846",NA,"1.000",NA
"405","1:36240785|36269821","2.000",NA,NA
"406","1:36266564|36274023",NA,NA,"4.000"
"407","1:36354159|36355408",NA,"2.000",NA
"408","1:36737414|36737676","1.000",NA,NA
"409","1:36873696|36873993",NA,NA,"1.000"
"410","1:36893924|36928406",NA,NA,"1.000"
"411","1:37422419|37438001",NA,NA,"2.000"
"412","1:37470373|37476559",NA,NA,"1.000"
"413","1:37495670|37503615","4.000",NA,NA
"414","1:37529340|37537821","3.000","5.000","9.000"
"415","1:37529340|37575485",NA,NA,"2.000"
"416","1:37575119|37575485",NA,NA,"3.000"
"417","1:37652417|37683721",NA,NA,"2.000"
"418","1:37676941|37683721",NA,"1.000",NA
"419","1:37840800|37858721",NA,NA,"5.000"
"420","1:37973515|37973659","2.000",NA,NA
"421","1:38092696|38124733",NA,"1.000","2.000"
"422","1:38122784|38147548",NA,NA,"2.000"
"423","1:38124625|38131296",NA,NA,"1.000"
"424","1:38146648|38147548","4.000",NA,"42.000"
"425","1:39251489|39251641","1.000",NA,NA
"426","1:39290030|39302456","3.000",NA,NA
"427","1:39302399|39339814",NA,NA,"4.000"
"428","1:39326548|39339814","15.000","7.000","26.000"
"429","1:39326548|39351042",NA,"1.000",NA
"430","1:39326548|39352149",NA,NA,"4.000"
"431","1:39363520|39364459",NA,NA,"2.000"
"432","1:39412807|39420643",NA,NA,"4.000"
"433","1:39428388|39430368",NA,NA,"3.000"
"434","1:39428388|39442004","3.000",NA,"5.000"
"435","1:39430197|39431335","5.000",NA,NA
"436","1:39433145|39442004",NA,"2.000","2.000"
"437","1:39441763|39445951",NA,"3.000",NA
"438","1:39459821|39465259",NA,"1.000","5.000"
"439","1:39594558|39604413","2.000","1.000","2.000"
"440","1:39599773|39604413","5.000",NA,"5.000"
"441","1:39603128|39604413",NA,NA,"16.000"
"442","1:40013086|40029459",NA,NA,"5.000"
"443","1:40382187|40385037","2.000",NA,NA
"444","1:40639929|40642112","2.000",NA,NA
"445","1:40639929|40642230","2.000","1.000",NA
"446","1:40639929|40651444",NA,NA,"4.000"
"447","1:40642012|40649547","2.000","2.000",NA
"448","1:40646908|40658296",NA,NA,"1.000"
"449","1:41850053|41850216",NA,NA,"1.000"
"450","1:42918914|42938709",NA,NA,"1.000"
"451","1:42926866|42938709",NA,NA,"6.000"
"452","1:43106633|43115112","2.000",NA,"2.000"
"453","1:43548780|43572953","8.000",NA,"10.000"
"454","1:43836404|43856124",NA,"3.000",NA
"455","1:43996595|44011847",NA,NA,"2.000"
"456","1:44165425|44167983",NA,NA,"3.000"
"457","1:44200969|44203244",NA,NA,"1.000"
"458","1:44728303|44747838",NA,NA,"1.000"
"459","1:44783633|44827702",NA,NA,"1.000"
"460","1:44793502|44813305",NA,NA,"2.000"
"461","1:44793502|44820266",NA,"2.000",NA
"462","1:4753086|4753468",NA,NA,"4.000"
"463","1:4898806|4902604",NA,NA,"2.000"
"464","1:4909609|4911355",NA,NA,"3.000"
"465","1:50585117|50585372",NA,NA,"1.000"
"466","1:5159231|5168356","10.000",NA,"11.000"
"467","1:5159231|5171346","14.000","9.000","13.000"
"468","1:5159231|5187710",NA,NA,"2.000"
"469","1:5159231|5194692",NA,"3.000","1.000"
"470","1:51621518|51629635",NA,NA,"1.000"
"471","1:5163585|5203485",NA,NA,"1.000"
"472","1:5165837|5171346",NA,NA,"20.000"
"473","1:5165837|5214074",NA,NA,"2.000"
"474","1:51859299|51902593","2.000",NA,NA
"475","1:5187612|5194692",NA,NA,"2.000"
"476","1:52235323|52251525",NA,NA,"4.000"
"477","1:52238869|52246518",NA,NA,"4.000"
"478","1:52251361|52254853",NA,NA,"2.000"
"479","1:52518396|52529914",NA,NA,"20.000"
"480","1:52747322|52748914",NA,"4.000","25.000"
"481","1:53295787|53321251",NA,"3.000","11.000"
"482","1:53295787|53329582",NA,NA,"2.000"
"483","1:54467920|54473397",NA,NA,"4.000"
"484","1:54762172|54769033","1.000",NA,NA
"485","1:54802803|54806143","5.000",NA,NA
"486","1:55100433|55106757","2.000",NA,NA
"487","1:55120231|55123944",NA,NA,"8.000"
"488","1:55175835|55187793",NA,"2.000","4.000"
"489","1:55243341|55245774",NA,"1.000",NA
"490","1:55379631|55388094","1.000",NA,"1.000"
"491","1:55379631|55394898",NA,"3.000","1.000"
"492","1:55741088|55754762",NA,NA,"1.000"
"493","1:55752579|55754762",NA,NA,"2.000"
"494","1:5652171|5652387","3.000",NA,NA
"495","1:57800447|57800596","2.000",NA,NA
"496","1:57838463|57925108",NA,NA,"1.000"
"497","1:57939792|57962583","1.000",NA,NA
"498","1:58451805|58453660",NA,NA,"2.000"
"499","1:58456171|58456542","12.000","4.000","17.000"
"500","1:58458825|58461093",NA,NA,"3.000"
"501","1:58494755|58497022",NA,NA,"2.000"
"502","1:58532819|58541049",NA,"2.000","1.000"
"503","1:58578717|58596532",NA,NA,"3.000"
"504","1:58587797|58597216",NA,"3.000",NA
"505","1:58765464|58780205",NA,NA,"11.000"
"506","1:58765540|58780205",NA,"2.000",NA
"507","1:58863073|58872933","1.000",NA,"2.000"
"508","1:58954844|58960311",NA,NA,"1.000"
"509","1:58960232|58961048",NA,"2.000",NA
"510","1:59890336|59891600",NA,"1.000","4.000"
"511","1:59988211|59997594",NA,NA,"3.000"
"512","1:60121195|60121808","5.000",NA,NA
"513","1:60141785|60175543",NA,NA,"1.000"
"514","1:60144469|60148608",NA,"1.000",NA
"515","1:60144469|60167232",NA,"1.000","8.000"
"516","1:60148380|60185331",NA,NA,"3.000"
"517","1:60233662|60234335","5.000","2.000","1.000"
"518","1:60263783|60269844",NA,NA,"4.000"
"519","1:60263783|60286943","1.000",NA,NA
"520","1:60311291|60316410",NA,"1.000",NA
"521","1:60391279|60393815",NA,NA,"1.000"
"522","1:60532696|60537693","1.000",NA,"2.000"
"523","1:60564750|60572565",NA,NA,"1.000"
"524","1:60566542|60615037",NA,NA,"1.000"
"525","1:60802137|60804551","3.000",NA,NA
"526","1:61568043|61568411",NA,"1.000",NA
"527","1:62255581|62292545","1.000",NA,NA
"528","1:62383092|62384266",NA,NA,"1.000"
"529","1:62587442|62647242",NA,NA,"1.000"
"530","1:62822452|62825475","3.000",NA,NA
"531","1:6298163|6304623","2.000",NA,NA
"532","1:6300182|6304623","2.000",NA,NA
"533","1:63104862|63107452",NA,"2.000",NA
"534","1:63132443|63144918",NA,"3.000",NA
"535","1:63142151|63144918",NA,NA,"1.000"
"536","1:63144814|63149985",NA,NA,"6.000"
"537","1:6315648|6318033",NA,NA,"1.000"
"538","1:63186278|63205526",NA,NA,"2.000"
"539","1:63187554|63187730",NA,"6.000","20.000"
"540","1:64117862|64118493","2.000","2.000","5.000"
"541","1:64117865|64118493","14.000","4.000","9.000"
"542","1:64590007|64609435",NA,"1.000",NA
"543","1:64590007|64615488","5.000",NA,"6.000"
"544","1:65229477|65244837",NA,NA,"5.000"
"545","1:65234814|65235942","1.000",NA,NA
"546","1:65262663|65263488",NA,NA,"1.000"
"547","1:65304407|65305085",NA,NA,"2.000"
"548","1:65311605|65312266",NA,NA,"2.000"
"549","1:66361562|66419932",NA,NA,"1.000"
"550","1:66361562|66440680",NA,NA,"1.000"
"551","1:66801206|66846763",NA,NA,"1.000"
"552","1:66812064|66841327","4.000",NA,NA
"553","1:66840207|66841327",NA,NA,"2.000"
"554","1:66840207|66846763",NA,NA,"8.000"
"555","1:68289738|68337600","2.000",NA,NA
"556","1:68596792|68599841",NA,"4.000",NA
"557","1:69609651|69617206","5.000",NA,NA
"558","1:71085836|71092880",NA,NA,"3.000"
"559","1:7190417|7190839","3.000","1.000","7.000"
"560","1:7190417|7217963","5.000",NA,NA
"561","1:72351566|72354740",NA,NA,"3.000"
"562","1:72393401|72422928","2.000",NA,NA
"563","1:72420777|72422928",NA,NA,"6.000"
