"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"PPP6R2","",0,"scaffold0001:267622|272027;scaffold0001:274858|277076",2,"",0,"",0,"scaffold0032:8497011|8502116",1,"NW_017739200.1:3390913|3409367;NW_017739200.1:3404213|3409367",2
"ETNK1","",0,"scaffold0001:32690007|32690267;scaffold0001:32701385|32719487",2,"",0,"",0,"scaffold0001:142311025|142311285",1,"NW_017738931.1:9382427|9396957",1
"ITPR2","",0,"scaffold0001:35968320|35978995;scaffold0001:36050222|36053768",2,"",0,"6:146058467|146060515;6:146212484|146214465;6:146246554|146248731;6:146246554|146260985;6:146251520|146260985;6:146256127|146260985",6,"scaffold0001:138974187|138974965;scaffold0001:139016258|139026238;scaffold0001:139230664|139232049",3,"",0
"TM7SF3","",0,"scaffold0001:36281567|36296394",1,"11:28302494|28303353",1,"",0,"scaffold0001:138721564|138727145;scaffold0001:138725831|138727145",2,"",0
"CCDC91","",0,"scaffold0001:37330866|37332994",1,"",0,"6:147491884|147493713",1,"",0,"NW_017738931.1:4963952|4965966",1
"FAR2","",0,"scaffold0001:38040620|38042942;scaffold0001:38052376|38057877",2,"",0,"",0,"scaffold0001:136975285|136978985",1,"NW_017738931.1:4250810|4269447",1
"ARFGAP3","",0,"scaffold0001:4369558|4374807",1,"",0,"15:83191081|83192377;15:83214719|83218810",2,"",0,"NW_017739557.1:54012|56141;NW_017739557.1:60068|63944",2
"ARID2","",0,"scaffold0001:47035840|47038898;scaffold0001:47035840|47044238;scaffold0001:47035840|47045739;scaffold0001:47044544|47056938;scaffold0001:47054150|47056938;scaffold0001:47068550|47091701",6,"",0,"15:96288756|96289070;15:96288756|96290545",2,"scaffold0001:127975613|127977748;scaffold0001:127975613|127991019",2,"",0
"ATF1","",0,"scaffold0001:51046203|51048931;scaffold0001:51046203|51062562;scaffold0001:51048830|51062562",3,"",0,"",0,"scaffold0001:124020877|124061537",1,"NW_017738956.1:3236390|3236819",1
"TFCP2","",0,"scaffold0001:51332891|51334356;scaffold0001:51335603|51337670",2,"",0,"",0,"scaffold0001:123799937|123801342",1,"NW_017738956.1:3045228|3048187",1
"EIF4B","",0,"scaffold0001:52956291|52957915;scaffold0001:52960939|52963766;scaffold0001:52967570|52967983",3,"",0,"",0,"scaffold0001:122258977|122260572",1,"NW_017738956.1:1655489|1661613",1
"MON2","",0,"scaffold0001:61047681|61051113;scaffold0001:61050321|61051113",2,"",0,"",0,"scaffold0001:113822631|113824795;scaffold0001:113879748|113888329",2,"NW_017739010.1:1679669|1697991",1
"PPM1H","",0,"scaffold0001:61213774|61245906;scaffold0001:61245787|61296341;scaffold0001:61245787|61305835;scaffold0001:61261198|61305835;scaffold0001:61296228|61305835;scaffold0001:61296228|61325559",6,"",0,"10:122739996|122756750",1,"",0,"NW_017739010.1:1823286|1852105",1
"TNRC6B","",0,"scaffold0001:6154414|6162474;scaffold0001:6154414|6164181;scaffold0001:6160028|6162474;scaffold0001:6160028|6164181;scaffold0001:6174205|6184981",5,"",0,"",0,"scaffold0032:3172971|3178494;scaffold0032:3318120|3318867",2,"NW_017739024.1:1275187|1275991",1
"CNOT2","",0,"scaffold0001:67639159|67650656;scaffold0001:67661741|67665162",2,"",0,"10:116333990|116335371;10:116353221|116385080;10:116363731|116385080",3,"",0,"NW_017739194.1:2375348|2401055;NW_017739194.1:2375348|2411820;NW_017739194.1:2431154|2436054",3
"TBC1D15","",0,"scaffold0001:68968813|68969571;scaffold0001:68968813|68976308;scaffold0001:68971239|68976308",3,"",0,"",0,"scaffold0001:105448308|105451257",1,"NW_017739194.1:3640619|3641209",1
"BRD1","",0,"scaffold0001:710241|720297;scaffold0001:710241|726271;scaffold0001:716884|720297",3,"",0,"15:88573711|88576087",1,"scaffold0032:8080316|8082171;scaffold0032:8095320|8098577;scaffold0032:8095320|8102199",3,"",0
"DDX17","",0,"scaffold0001:7322732|7325531",1,"",0,"15:79421197|79421746;15:79425234|79426787;15:79425234|79428057",3,"scaffold0032:2028906|2029410",1,"",0
"NAV3","",0,"scaffold0001:74073524|74073932;scaffold0001:74453465|74454638;scaffold0001:74453465|74467797",3,"",0,"10:109652114|109660542",1,"scaffold0001:100759284|100759686",1,"",0
"PPP1R12A","",0,"scaffold0001:76072653|76081202;scaffold0001:76122450|76131555;scaffold0001:76131436|76149575",3,"",0,"10:108075965|108078991;10:108104432|108110049",2,"scaffold0001:98691033|98695936",1,"",0
"MYH9","",0,"scaffold0001:8991165|8995921;scaffold0001:8991165|9012318;scaffold0001:9012224|9016971;scaffold0001:9028507|9029981",4,"",0,"",0,"scaffold0032:348428|350192;scaffold0032:372300|373372",2,"NW_017739495.1:479573|484783;NW_017739495.1:479573|498905",2
"WNK1","",0,"scaffold0001:93955557|93955778;scaffold0001:94000567|94006340;scaffold0001:94006190|94010348",3,"",0,"6:119967052|119969521",1,"scaffold0001:81169837|81171364",1,"",0
"OXCT1","",0,"scaffold0002:101414090|101431576",1,"",0,"15:4076946|4089478",1,"",0,"NW_017739188.1:771667|788891",1
"SNX29","",0,"scaffold0002:11684673|11708175;scaffold0002:11727683|11731954;scaffold0002:11727683|11735468;scaffold0002:11727683|11749088;scaffold0002:11741308|11749088;scaffold0002:11741308|11789180;scaffold0002:11786691|11789180;scaffold0002:11997472|12029809;scaffold0002:12025604|12029809",9,"",0,"16:11263028|11265372",1,"scaffold0003:92333815|92376444;scaffold0003:92495876|92498691;scaffold0003:92537513|92544061;scaffold0003:92537513|92555422;scaffold0003:92549743|92555422",5,"",0
"LUC7L","",0,"scaffold0002:1290651|1299588;scaffold0002:1294437|1297219",2,"",0,"17:26485256|26486332",1,"scaffold0003:103216769|103223924",1,"",0
"BFAR","",0,"scaffold0002:13856478|13856810",1,"",0,"16:13505254|13506789;16:13515196|13516939",2,"scaffold0003:90427467|90434159;scaffold0003:90436614|90437686",2,"",0
"XYLT1","",0,"scaffold0002:15523998|15524506;scaffold0002:15577728|15579011",2,"20:16960771|16961282",1,"",0,"scaffold0003:88707379|88708656",1,"",0
"SMG1","",0,"scaffold0002:16095236|16100800;scaffold0002:16098243|16100800;scaffold0002:16134727|16144632",3,"",0,"7:117753394|117755339;7:117777587|117779704;7:117792672|117795258",3,"scaffold0003:88138040|88139514;scaffold0003:88141641|88142128;scaffold0003:88155893|88157227;scaffold0003:88155893|88163213",4,"",0
"GTF2I","",0,"scaffold0002:21407561|21433385;scaffold0002:21418818|21428197;scaffold0002:21423992|21433385",3,"",0,"5:134311640|134315897;5:134318140|134324467",2,"scaffold0003:82899287|82916570",1,"",0
"BAZ1B","",0,"scaffold0002:22406801|22408810;scaffold0002:22418970|22420339",2,"3:45820499|45822201",1,"",0,"scaffold0003:81970659|81982772;scaffold0003:81977304|81978499;scaffold0003:81977304|81982772;scaffold0003:81981996|81982772;scaffold0003:82001046|82014539;scaffold0003:82008298|82008500;scaffold0003:82008298|82014539",7,"",0
"CRAMP1","",0,"scaffold0002:2742921|2755332;scaffold0002:2742921|2762058;scaffold0002:2755138|2762058;scaffold0002:2755138|2772107;scaffold0002:2761904|2772107",5,"",0,"",0,"scaffold0003:101537874|101544412",1,"NW_017739486.1:319252|325215",1
"ZNF608","",0,"scaffold0002:29602281|29602537",1,"6:122108684|122171499;6:122113026|122171499;6:122171243|122171499",3,"",0,"scaffold0003:74881559|74881815",1,"",0
"EPB41L4A","",0,"scaffold0002:39044124|39051629",1,"",0,"18:33943271|33965738",1,"scaffold0003:65551369|65559255",1,"",0
"XPO6","",0,"scaffold0002:396594|401140;scaffold0002:410616|412691;scaffold0002:421460|425259;scaffold0002:430371|444679;scaffold0002:450837|461579;scaffold0002:454647|461579;scaffold0002:469876|475932",7,"",0,"",0,"scaffold0003:104038223|104039425;scaffold0003:104041917|104047648;scaffold0003:104081565|104091600;scaffold0003:104099481|104101523;scaffold0003:104108497|104113091",5,"NW_017739325.1:676668|680607;NW_017739325.1:696809|700581;NW_017739325.1:696809|705151;NW_017739325.1:722861|732096",4
"PJA2","",0,"scaffold0002:41117289|41117475;scaffold0002:41122433|41130915",2,"",0,"",0,"scaffold0003:63502319|63504149",1,"NW_017738973.1:10613582|10618833",1
"LNPEP","",0,"scaffold0002:49798701|49800268",1,"6:93828016|93858593",1,"",0,"scaffold0003:55231624|55239862;scaffold0003:55257568|55259183",2,"",0
"MEF2C","",0,"scaffold0002:56304343|56313816;scaffold0002:56329634|56333061;scaffold0002:56332200|56333061",3,"",0,"",0,"scaffold0003:48873824|48877641;scaffold0003:48893394|48902974",2,"NW_017739021.1:836118|838449",1
"RASA1","",0,"scaffold0002:57434607|57445042;scaffold0002:57435541|57449115;scaffold0002:57440565|57456792;scaffold0002:57449083|57456792;scaffold0002:57452295|57456792;scaffold0002:57454847|57456792",6,"",0,"",0,"scaffold0003:47838009|47851208;scaffold0003:47864448|47865420",2,"NW_017739154.1:3938182|3957797",1
"TENT2","",0,"scaffold0002:62700866|62716148;scaffold0002:62712792|62716148",2,"6:76449776|76453727;6:76449776|76498869",2,"",0,"scaffold0003:42865011|42865309",1,"",0
"SCAMP1","",0,"scaffold0002:63520447|63534112",1,"",0,"13:94361402|94369688",1,"",0,"NW_017738975.1:5798822|5805600",1
"AP3B1","",0,"scaffold0002:63627847|63631098;scaffold0002:63727181|63732886;scaffold0002:63727181|63749504;scaffold0002:63769755|63790446",4,"",0,"13:94664672|94668574",1,"",0,"NW_017738975.1:5582413|5585291;NW_017738975.1:5662860|5663734",2
"IQGAP2","",0,"scaffold0002:64753019|64754545;scaffold0002:64760600|64767812;scaffold0002:64802475|64831005",3,"",0,"",0,"scaffold0003:40578832|40595311;scaffold0003:40719921|40723916",2,"NW_017738975.1:4405665|4416935",1
"GFM2","",0,"scaffold0002:66005067|66010747;scaffold0002:66006343|66010747",2,"",0,"",0,"scaffold0003:39556507|39560779",1,"NW_017738975.1:3195854|3199477;NW_017738975.1:3195854|3200263",2
"ZSWIM6","",0,"scaffold0002:73986299|73995143;scaffold0002:73990050|73995143;scaffold0002:74016431|74019757;scaffold0002:74016431|74034590",4,"",0,"",0,"scaffold0003:31610601|31610958;scaffold0003:31610601|31635210;scaffold0003:31631734|31635210;scaffold0003:31665522|31671141",4,"NW_017738935.1:5032549|5049643;NW_017738935.1:5046317|5049643",2
"MARCH6","",0,"scaffold0002:82454069|82455895;scaffold0002:82454069|82460930;scaffold0002:82454069|82467295;scaffold0002:82469696|82475799;scaffold0002:82478816|82481486",5,"",0,"",0,"scaffold0003:12801892|12807002;scaffold0003:12804831|12807002;scaffold0003:12804831|12809690",3,"NW_017739148.1:1283164|1284697",1
"NIPBL","",0,"scaffold0002:98168462|98172120;scaffold0002:98270867|98272364",2,"6:36815572|36817198",1,"",0,"scaffold0003:6052344|6058582;scaffold0003:6064454|6066930",2,"",0
"RICTOR","",0,"scaffold0002:99546679|99553061;scaffold0002:99558121|99576728;scaffold0002:99563665|99576728",3,"6:38819331|38822777",1,"",0,"scaffold0003:7331428|7344948;scaffold0003:7351495|7366728;scaffold0003:7357665|7366728",3,"",0
"RUNX1","",0,"scaffold0003:100626218|100656805;scaffold0003:100626218|100676886;scaffold0003:100656613|100676886;scaffold0003:100656613|100693485;scaffold0003:100656613|100699836;scaffold0003:100676781|100693485;scaffold0003:100676781|100699836;scaffold0003:100693328|100699836",8,"",0,"16:92441041|92465700",1,"scaffold0002:2625460|2650159;scaffold0002:2643973|2650159;scaffold0002:2643973|2655801",3,"",0
"PAXBP1","",0,"scaffold0003:101509168|101516866;scaffold0003:101521098|101522533",2,"",0,"16:90813733|90820347",1,"scaffold0002:1463537|1466476",1,"",0
"HUNK","",0,"scaffold0003:101850098|101852914;scaffold0003:101858640|101863865;scaffold0003:101858640|101880318;scaffold0003:101863729|101880318;scaffold0003:101880025|101880318",5,"",0,"",0,"scaffold0002:1221832|1222125",1,"NW_017738988.1:957831|958124",1
"SCAF4","",0,"scaffold0003:101996914|102002106;scaffold0003:102006218|102006850;scaffold0003:102008408|102009168",3,"",0,"16:90048762|90049338",1,"scaffold0002:1137647|1140220",1,"",0
"TIAM1","",0,"scaffold0003:102254639|102256479;scaffold0003:102254639|102263102;scaffold0003:102261247|102284294;scaffold0003:102272622|102275765",4,"",0,"",0,"scaffold0002:906998|914009;scaffold0002:941640|946601",2,"NW_017738988.1:426075|432451",1
"LTN1","",0,"scaffold0003:103334409|103337449",1,"",0,"16:87217060|87217870",1,"scaffold0002:146607|150576;scaffold0002:146607|153116;scaffold0002:182059|182290",3,"",0
"ATR","",0,"scaffold0003:1560596|1561018;scaffold0003:1574293|1581819;scaffold0003:1577787|1591494;scaffold0003:1616505|1631827",4,"",0,"",0,"scaffold0002:112995176|113010016;scaffold0002:113004233|113006743;scaffold0002:113004233|113010016;scaffold0002:113032183|113036163;scaffold0002:113109087|113112729",5,"NW_017739298.1:1109960|1117704;NW_017739298.1:1118460|1121757",2
"ARL13B","",0,"scaffold0003:26330228|26336626;scaffold0003:26369403|26369629",2,"",0,"16:62647526|62651176",1,"scaffold0002:84182635|84192840",1,"",0
"CRYBG3","",0,"scaffold0003:29359722|29367073;scaffold0003:29384783|29388197;scaffold0003:29384783|29407850",3,"",0,"16:59323487|59326683",1,"scaffold0002:80567912|80568343",1,"",0
"TOMM70","",0,"scaffold0003:30589146|30590977",1,"",0,"",0,"scaffold0002:79139487|79152820;scaffold0002:79152646|79152820",2,"NW_017739366.1:1725456|1730623",1
"TBC1D23","",0,"scaffold0003:30642469|30651605;scaffold0003:30667976|30670645",2,"",0,"",0,"scaffold0002:79025343|79028173;scaffold0002:79041757|79044950",2,"NW_017739366.1:1647729|1649395",1
"BOC","",0,"scaffold0003:42172322|42173472",1,"",0,"16:44340587|44341698",1,"",0,"NW_017739026.1:4633929|4635072",1
"CD80","",0,"scaffold0003:47755222|47775765;scaffold0003:47767501|47767819",2,"",0,"",0,"scaffold0002:60083040|60093894",1,"NW_017738984.1:8867462|8867780",1
"OSBPL11","",0,"scaffold0003:52542760|52555913",1,"",0,"",0,"scaffold0002:54579348|54583626;scaffold0002:54579348|54603767",2,"NW_017738953.1:4742606|4747321;NW_017738953.1:4747175|4751480;NW_017738953.1:4758671|4775796",3
"TFRC","",0,"scaffold0003:53127476|53129453;scaffold0003:53128396|53129453",2,"",0,"16:32437035|32437994;16:32439183|32440115",2,"scaffold0002:53882792|53884565",1,"",0
"PAK2","",0,"scaffold0003:53763940|53767133;scaffold0003:53768360|53774097;scaffold0003:53769875|53774097",3,"",0,"16:31841906|31850519;16:31846529|31850519",2,"scaffold0002:53185166|53196670;scaffold0002:53203924|53209222",2,"",0
"SENP5","",0,"scaffold0003:53813648|53815180",1,"",0,"",0,"scaffold0002:53134198|53136851",1,"NW_017738953.1:3567994|3570654",1
"CCDC50","",0,"scaffold0003:57853501|57854295;scaffold0003:57866331|57878835;scaffold0003:57873856|57878835",3,"",0,"",0,"scaffold0002:48917917|48933209;scaffold0002:48945760|48946548;scaffold0002:48945760|48950233;scaffold0002:48945760|48954394",4,"NW_017739468.1:243196|249974",1
"KLHL24","",0,"scaffold0003:63880412|63881859;scaffold0003:63885906|63886855",2,"",0,"",0,"scaffold0002:41997615|41998949;scaffold0002:42003375|42004824",2,"NW_017739033.1:2334458|2349137",1
"ATP11B","",0,"scaffold0003:64447106|64465839",1,"",0,"",0,"scaffold0002:41343404|41355332",1,"NW_017739033.1:2970404|2982596",1
"NCEH1","",0,"scaffold0003:72160347|72162476;scaffold0003:72160347|72171601",2,"",0,"",0,"scaffold0002:32909537|32911894",1,"NW_017738930.1:695114|697286",1
"TNIK","",0,"scaffold0003:73249822|73255322",1,"",0,"3:28587036|28596247",1,"scaffold0002:31699811|31704501",1,"",0
"PHC3","",0,"scaffold0003:73891072|73893353;scaffold0003:73891072|73900075;scaffold0003:73913944|73914195",3,"2:75075317|75088409;2:75084645|75088409;2:75109809|75117361",3,"",0,"scaffold0002:30936802|30941303;scaffold0002:30953862|30963511;scaffold0002:30953862|30966319;scaffold0002:30963412|30966319",4,"",0
"IFT80","",0,"scaffold0003:80128615|80131401;scaffold0003:80195165|80198454",2,"",0,"",0,"scaffold0002:24130751|24133229",1,"NW_017739004.1:797395|812305",1
"DYRK1A","",0,"scaffold0003:95251744|95298724;scaffold0003:95298527|95307151;scaffold0003:95317710|95319968;scaffold0003:95325683|95326593",4,"",0,"",0,"scaffold0002:4141343|4180376;scaffold0002:4141343|4190473;scaffold0002:4141343|4195906",3,"NW_017738989.1:1225783|1271802",1
"BACE2","",0,"scaffold0003:97352286|97364701",1,"",0,"",0,"scaffold0002:6325317|6326898",1,"NW_017739146.1:1228406|1254304",1
"KANSL1L","",0,"scaffold0004:18662435|18689543;scaffold0004:18662435|18708867;scaffold0004:18708662|18730118",3,"12:97434039|97475083;12:97473966|97475083",2,"",0,"",0,"NW_017738968.1:6927394|6928511",1
"CREB1","",0,"scaffold0004:19990295|19997772",1,"",0,"1:64590007|64615488",1,"scaffold0012:14435843|14452410",1,"",0
"BMPR2","",0,"scaffold0004:23822358|23826678;scaffold0004:23855456|23857107",2,"",0,"",0,"scaffold0012:10434988|10436513",1,"NW_017738968.1:1272800|1274257;NW_017738968.1:1304312|1317926",2
"CLK1","",0,"scaffold0004:25084443|25084819",1,"",0,"1:58456171|58456542",1,"",0,"NW_017738968.1:119830|120202",1
"DGKD","",0,"scaffold0004:3613943|3618709",1,"",0,"1:87808089|87809661",1,"scaffold0012:32114948|32116758",1,"",0
"CCDC141","",0,"scaffold0004:40079864|40090889;scaffold0004:40131891|40142925",2,"",0,"2:76919413|76938823",1,"",0,"NW_017739068.1:2513328|2525528",1
"DIS3L2","",0,"scaffold0004:4265445|4289673;scaffold0004:4303607|4332929;scaffold0004:4356393|4421718;scaffold0004:4370427|4373096;scaffold0004:4394383|4413025;scaffold0004:4394383|4421718;scaffold0004:4407788|4421718;scaffold0004:4420907|4421718",8,"",0,"",0,"scaffold0012:31160888|31161955;scaffold0012:31228659|31231256;scaffold0012:31361704|31361938",3,"NW_017739074.1:1230105|1235938;NW_017739074.1:1302847|1319384",2
"TANK","",0,"scaffold0004:53947337|53948513;scaffold0004:53947337|53964873",2,"",0,"2:61443994|61458183;2:61443994|61474766",2,"scaffold0012:53809177|53835083",1,"",0
"GTDC1","",0,"scaffold0004:68316274|68338466",1,"",0,"",0,"scaffold0012:67924133|67927267",1,"NW_017739034.1:3049837|3053571",1
"RAB3GAP1","",0,"scaffold0004:76691389|76691936;scaffold0004:76733251|76734424",2,"",0,"1:127852464|127855858",1,"",0,"NW_017738997.1:2982998|2985624;NW_017738997.1:2982998|2998018;NW_017738997.1:3003458|3006257",3
"PTPN4","",0,"scaffold0004:85123370|85164237;scaffold0004:85123370|85173468;scaffold0004:85169336|85173468;scaffold0004:85208533|85225443;scaffold0004:85246186|85249755;scaffold0004:85259347|85262514;scaffold0004:85259347|85268997",7,"",0,"",0,"scaffold0026:8666429|8681006;scaffold0026:8698895|8701575;scaffold0026:8806957|8816042",3,"NW_017739576.1:460685|465211",1
"CUL3","",0,"scaffold0004:8574989|8594906",1,"",0,"",0,"scaffold0012:26193418|26216044",1,"NW_017739302.1:21491|41595",1
"CLASP1","",0,"scaffold0004:86573059|86575011;scaffold0004:86573059|86582567;scaffold0004:86613026|86618611;scaffold0004:86613026|86632488;scaffold0004:86737383|86746671;scaffold0004:86800859|86801339",6,"",0,"",0,"scaffold0026:7144156|7144635;scaffold0026:7293666|7300390;scaffold0026:7297061|7300390",3,"NW_017739200.1:1845898|1855819;NW_017739200.1:2032425|2032905",2
"DDX46","",0,"scaffold0005:1793413|1798249;scaffold0005:1797410|1798249;scaffold0005:1808996|1810405;scaffold0005:1820286|1822439;scaffold0005:1822250|1822439",5,"",0,"13:55813999|55818166",1,"",0,"NW_017739078.1:894626|896322",1
"SEC24A","",0,"scaffold0005:1846996|1850204;scaffold0005:1848061|1854008;scaffold0005:1861542|1870554;scaffold0005:1870395|1887150;scaffold0005:1871334|1873659;scaffold0005:1871334|1887150;scaffold0005:1881939|1887150;scaffold0005:1884400|1887150;scaffold0005:1889297|1892199;scaffold0005:1892989|1894784;scaffold0005:1899061|1899538",11,"",0,"",0,"scaffold0005:33439856|33444017;scaffold0005:33456171|33459731;scaffold0005:33457848|33459731;scaffold0005:33457848|33462892;scaffold0005:33464312|33467903;scaffold0005:33473041|33473518",6,"NW_017739078.1:835194|850520;NW_017739078.1:857719|859803",2
"SETD7","",0,"scaffold0005:19381653|19385690;scaffold0005:19385488|19395305",2,"",0,"3:51443886|51457785",1,"scaffold0005:48679337|48682977",1,"",0
