"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"DNM1L","",0,"scaffold0001:40147068|40149435",1,"",0,"",0,"scaffold0001:134858795|134860652",1,"",0
"SLC2A13","",0,"scaffold0001:42108086|42113371;scaffold0001:42262114|42283442",2,"",0,"",0,"scaffold0001:132742113|132761787;scaffold0001:132899165|132905086",2,"",0
"SCAF11","",0,"scaffold0001:47134114|47135500;scaffold0001:47167973|47170844;scaffold0001:47167973|47178651",3,"11:45436278|45438996",1,"",0,"",0,"",0
"SLC38A2","",0,"scaffold0001:47434690|47435504",1,"",0,"",0,"scaffold0001:127574680|127574967",1,"",0
"VDR","",0,"scaffold0001:48591638|48595046",1,"",0,"15:97782674|97786369",1,"",0,"",0
"CCNT1","",0,"scaffold0001:49226940|49234824",1,"",0,"",0,"",0,"NW_017738956.1:4784803|4792912",1
"SLC11A2","",0,"scaffold0001:51238861|51240206",1,"",0,"",0,"",0,"NW_017738956.1:3123885|3142087",1
"BIN2","",0,"scaffold0001:51460742|51464721",1,"",0,"",0,"scaffold0001:123661364|123663810",1,"",0
"SLC4A8","",0,"scaffold0001:51623962|51625171",1,"",0,"",0,"scaffold0001:123500740|123503462",1,"",0
"XRCC6","",0,"scaffold0001:5186445|5196098",1,"",0,"",0,"scaffold0032:4286772|4289346",1,"",0
"CSAD","",0,"scaffold0001:53066168|53067888",1,"",0,"",0,"",0,"NW_017738956.1:1555836|1558393;NW_017738956.1:1564580|1566288",2
"XPNPEP3","",0,"scaffold0001:5720623|5728253",1,"",0,"15:81314890|81322381",1,"",0,"",0
"MRTFA","",0,"scaffold0001:6022768|6026101",1,"",0,"15:81001591|81001853",1,"",0,"",0
"USP15","",0,"scaffold0001:60856876|60860098;scaffold0001:60903216|60909343",2,"",0,"",0,"scaffold0001:114001179|114009040;scaffold0001:114031253|114051769",2,"",0
"RASSF3","",0,"scaffold0001:62599039|62603307",1,"",0,"",0,"",0,"NW_017739010.1:3121718|3126472",1
"MSRB3","",0,"scaffold0001:63152374|63172003;scaffold0001:63152374|63203221",2,"",0,"",0,"scaffold0001:111739567|111741355",1,"",0
"GRAP2","",0,"scaffold0001:6391078|6394426",1,"",0,"",0,"scaffold0032:3050554|3056107",1,"",0
"IRAK3","",0,"scaffold0001:63961316|63980717",1,"11:65773821|65797524",1,"",0,"",0,"",0
"TAB1","",0,"scaffold0001:6770986|6771658",1,"",0,"",0,"scaffold0032:2654866|2655674",1,"",0
"ZFC3H1","",0,"scaffold0001:68741190|68742221",1,"",0,"10:115242257|115242803",1,"",0,"",0
"GTPBP1","",0,"scaffold0001:7174981|7176034;scaffold0001:7174981|7176727;scaffold0001:7180506|7184657;scaffold0001:7183585|7184657",4,"",0,"",0,"scaffold0032:2191454|2192528",1,"",0
"OSBPL8","",0,"scaffold0001:72893975|72929958",1,"",0,"",0,"",0,"NW_017739332.1:1511673|1544382;NW_017739332.1:1511673|1568676",2
"TPTEP2-CSNK1E","",0,"scaffold0001:7426072|7426418",1,"",0,"",0,"scaffold0032:1922868|1923308",1,"",0
"EIF3L","",0,"scaffold0001:7743912|7745701",1,"",0,"",0,"scaffold0032:1603846|1604826",1,"",0
"ATP2B1","",0,"scaffold0001:85303041|85304421;scaffold0001:85317980|85318142;scaffold0001:85325223|85325691;scaffold0001:85344249|85344667",4,"",0,"",0,"scaffold0001:89907201|89907363",1,"",0
"PLXNC1","",0,"scaffold0001:89878028|89904646;scaffold0001:89878028|89928897;scaffold0001:89936541|89942701",3,"",0,"",0,"scaffold0001:85502453|85508700;scaffold0001:85502453|85516465;scaffold0001:85536996|85540585",3,"",0
"CCDC77","",0,"scaffold0001:93539245|93541306;scaffold0001:93555727|93556097",2,"",0,"",0,"",0,"NW_017739440.1:513423|516760",1
"WNT5B","",0,"scaffold0001:94766923|94774360;scaffold0001:94774067|94774360",2,"",0,"",0,"scaffold0001:80326775|80327068;scaffold0001:80326775|80334542;scaffold0001:80332223|80334542",3,"",0
"NUP58","",0,"scaffold0001:96525231|96528641",1,"",0,"",0,"scaffold0001:78653075|78653636",1,"",0
"LNX2","",0,"scaffold0001:98590473|98590990",1,"",0,"",0,"",0,"NW_017739040.1:8056759|8078735",1
"PARP8","",0,"scaffold0002:103823078|103835426;scaffold0002:103831216|103835426",2,"",0,"",0,"scaffold0003:3341842|3344301;scaffold0003:3350798|3362343",2,"",0
"ITGA1","",0,"scaffold0002:105215361|105229393;scaffold0002:105225196|105229393;scaffold0002:105228126|105229393",3,"",0,"",0,"scaffold0003:2167526|2172187;scaffold0003:2167526|2180614",2,"",0
"NDUFS4","",0,"scaffold0002:105744493|105768402;scaffold0002:105744493|105771311;scaffold0002:105768229|105771311",3,"",0,"",0,"scaffold0003:1676257|1678857",1,"",0
"ARL15","",0,"scaffold0002:105987737|106049190;scaffold0002:105987737|106086772;scaffold0002:106018699|106086772",3,"",0,"",0,"scaffold0003:1475308|1491462",1,"",0
"MTREX","",0,"scaffold0002:106776962|106778925;scaffold0002:106778822|106780437;scaffold0002:106783095|106788288;scaffold0002:106783095|106796210",4,"",0,"",0,"scaffold0003:1060727|1062299",1,"",0
"CIITA","",0,"scaffold0002:10783289|10783797",1,"",0,"",0,"scaffold0003:93485214|93491232",1,"",0
"NPRL3","",0,"scaffold0002:1209326|1210786;scaffold0002:1210648|1222352;scaffold0002:1222270|1231005",3,"",0,"",0,"",0,"NW_017739715.1:233033|234550",1
"PARN","",0,"scaffold0002:13732258|13732448",1,"",0,"",0,"scaffold0003:90508101|90529166",1,"",0
"AXIN1","",0,"scaffold0002:1385738|1389580;scaffold0002:1385738|1396036;scaffold0002:1389483|1396036",3,"",0,"",0,"scaffold0003:103061322|103062278;scaffold0003:103120808|103126467",2,"",0
"PDXDC1","",0,"scaffold0002:13979320|13980609",1,"",0,"",0,"scaffold0003:90282834|90283527",1,"",0
"ABCC1","",0,"scaffold0002:14530248|14535739",1,"",0,"",0,"scaffold0003:89714803|89715889;scaffold0003:89762477|89764453;scaffold0003:89762477|89774996",3,"",0
"ZNF713","",0,"scaffold0002:16667928|16670497",1,"",0,"",0,"",0,"NW_017739845.1:282171|283437;NW_017739845.1:293014|293924",2
"NIPSNAP2","",0,"scaffold0002:16691238|16697049;scaffold0002:16691238|16703881;scaffold0002:16694396|16703881;scaffold0002:16702250|16703881",4,"",0,"",0,"scaffold0003:87521231|87523769;scaffold0003:87533168|87537044",2,"",0
"LMF1","",0,"scaffold0002:2036396|2068050;scaffold0002:2050858|2068050",2,"",0,"",0,"scaffold0003:102541685|102555487",1,"",0
"ZCWPW1","",0,"scaffold0002:24907511|24907961",1,"",0,"",0,"scaffold0003:79526735|79528732",1,"",0
"NXPE5","",0,"scaffold0002:25118870|25119542",1,"",0,"",0,"scaffold0003:79357479|79358123",1,"",0
"GNPTG","",0,"scaffold0002:2523571|2524040",1,"",0,"17:25454155|25454601",1,"",0,"",0
"TRIM4","",0,"scaffold0002:25401638|25402625",1,"",0,"",0,"scaffold0003:79080431|79086368;scaffold0003:79085399|79086368",2,"",0
"UNKL","",0,"scaffold0002:2540322|2559051;scaffold0002:2547195|2559051;scaffold0002:2550229|2554114;scaffold0002:2553062|2554114;scaffold0002:2558333|2559051",5,"",0,"",0,"",0,"NW_017739486.1:117831|142361",1
"ARPC1A","",0,"scaffold0002:25870049|25871587",1,"3:41447689|41453150",1,"",0,"",0,"",0
"CEP120","",0,"scaffold0002:30578202|30583498;scaffold0002:30578202|30588142",2,"",0,"",0,"scaffold0003:73840887|73842066",1,"",0
"PKD1","",0,"scaffold0002:3243180|3245112",1,"",0,"17:24796723|24797003",1,"",0,"",0
"DMXL1","",0,"scaffold0002:33713487|33718699;scaffold0002:33802259|33807134",2,"",0,"",0,"scaffold0003:70661579|70676550;scaffold0003:70668458|70670672;scaffold0003:70675218|70676550;scaffold0003:70688655|70691966",4,"",0
"PGGT1B","",0,"scaffold0002:36889433|36890825",1,"",0,"",0,"scaffold0003:67582962|67584961",1,"",0
"KCTD5","",0,"scaffold0002:3712295|3716301",1,"",0,"",0,"",0,"NW_017739979.1:71786|79106",1
"CLUAP1","",0,"scaffold0002:4481622|4483585;scaffold0002:4481622|4484867",2,"",0,"",0,"scaffold0003:99726585|99734717",1,"",0
"ST8SIA4","",0,"scaffold0002:47341172|47351830;scaffold0002:47341172|47374856;scaffold0002:47351572|47351830",3,"",0,"",0,"scaffold0003:57587632|57587890",1,"",0
"ERAP1","",0,"scaffold0002:49953651|49953835",1,"",0,"",0,"scaffold0003:55062180|55067604",1,"",0
"SLF1","",0,"scaffold0002:51687948|51689592",1,"",0,"13:77231559|77232579",1,"",0,"",0
"TFAP4","",0,"scaffold0002:5171780|5173563",1,"20:4319128|4320043",1,"",0,"",0,"",0
"CORO7-PAM16","",0,"scaffold0002:5258297|5261470;scaffold0002:5303093|5303865",2,"",0,"",0,"scaffold0003:98945724|98947011",1,"",0
"GLYR1","",0,"scaffold0002:5770433|5777011;scaffold0002:5770433|5783365;scaffold0002:5775190|5777011;scaffold0002:5782425|5783365",4,"",0,"",0,"scaffold0003:98491685|98492615",1,"",0
"HOMER1","",0,"scaffold0002:62801950|62809766;scaffold0002:62801950|62815016",2,"",0,"13:93478263|93492587",1,"",0,"",0
"POLK","",0,"scaffold0002:65464370|65470032",1,"",0,"",0,"scaffold0003:40095165|40099071",1,"",0
"COL4A3BP","",0,"scaffold0002:65598118|65617091;scaffold0002:65621382|65627834;scaffold0002:65627034|65627834;scaffold0002:65627034|65629152",4,"",0,"",0,"scaffold0003:39944898|39945694;scaffold0003:40004870|40006610",2,"",0
"ARHGEF28","",0,"scaffold0002:66979679|66983125",1,"",0,"13:98180307|98190482;13:98211506|98213828",2,"",0,"",0
"PIK3R1","",0,"scaffold0002:69807518|69808234",1,"",0,"13:101893833|101894547",1,"",0,"",0
"TENT4A","",0,"scaffold0002:80375117|80380320",1,"",0,"13:69658738|69664022;13:69661008|69664022",2,"",0,"",0
"KIAA0556","",0,"scaffold0002:807353|807621;scaffold0002:828252|831671",2,"",0,"",0,"scaffold0003:103685665|103688916;scaffold0003:103732791|103735380",2,"",0
"OTULIN","",0,"scaffold0002:85299504|85308401;scaffold0002:85304082|85308401;scaffold0002:85308257|85314610",3,"",0,"",0,"",0,"NW_017739295.1:1807866|1816724",1
"CARHSP1","",0,"scaffold0002:9121501|9122435",1,"",0,"",0,"scaffold0003:95185415|95186318",1,"",0
"USP7","",0,"scaffold0002:9169804|9171741",1,"",0,"",0,"",0,"NW_017739805.1:31870|40371;NW_017739805.1:31870|48505",2
"ZFR","",0,"scaffold0002:95544906|95549880;scaffold0002:95544906|95550798",2,"6:32536623|32541368",1,"",0,"",0,"",0
"CPLANE1","",0,"scaffold0002:98359360|98360908",1,"",0,"",0,"scaffold0003:6151833|6153535",1,"",0
"NUP155","",0,"scaffold0002:98395877|98400579",1,"",0,"",0,"scaffold0003:6217860|6220424",1,"",0
"WDR70","",0,"scaffold0002:98451707|98459466;scaffold0002:98459345|98460890;scaffold0002:98459345|98489389;scaffold0002:98485100|98489389;scaffold0002:98485100|98501719;scaffold0002:98561574|98599776;scaffold0002:98595210|98599776;scaffold0002:98616797|98622908",8,"",0,"15:8006448|8049146",1,"",0,"",0
"EGFLAM","",0,"scaffold0002:99099484|99102596;scaffold0002:99099484|99119248",2,"",0,"",0,"",0,"NW_017739046.1:1895195|1897915",1
"FYB1","",0,"scaffold0002:99645387|99659509",1,"",0,"",0,"scaffold0003:7437218|7438048",1,"",0
"SYNJ1","",0,"scaffold0003:101552570|101554370",1,"",0,"",0,"scaffold0002:1416926|1417831",1,"",0
"MED12L","",0,"scaffold0003:10837714|10840374;scaffold0003:10837714|10846394;scaffold0003:10844951|10846394;scaffold0003:10862380|10870020",4,"",0,"",0,"scaffold0002:101743909|101762385",1,"",0
"ROBO1","",0,"scaffold0003:16097281|16105341;scaffold0003:16198063|16200774",2,"",0,"",0,"scaffold0002:95736788|95737115;scaffold0002:95976970|95981681",2,"",0
"IQSEC1","",0,"scaffold0003:178945|185949;scaffold0003:201559|208400",2,"",0,"",0,"",0,"NW_017739674.1:288474|294580",1
"SENP7","",0,"scaffold0003:29687111|29707524;scaffold0003:29729774|29738802;scaffold0003:29729774|29753963;scaffold0003:29738607|29738802",4,"",0,"",0,"scaffold0002:80080789|80086106;scaffold0002:80176806|80187549",2,"",0
"DIPK2A","",0,"scaffold0003:3170117|3170421",1,"",0,"",0,"scaffold0002:110799405|110799709",1,"",0
"CBLB","",0,"scaffold0003:35714542|35724811;scaffold0003:35740267|35760166;scaffold0003:35855023|35855274",3,"",0,"",0,"scaffold0002:73312695|73319226",1,"",0
"CD47","",0,"scaffold0003:37770310|37772775;scaffold0003:37785172|37791439",2,"",0,"",0,"",0,"NW_017739110.1:4722426|4726285",1
"AC112128.1","",0,"scaffold0003:42392746|42409673;scaffold0003:42403111|42409673",2,"",0,"",0,"scaffold0002:65724475|65738768;scaffold0002:65724475|65742091",2,"",0
"ATP6V1A","",0,"scaffold0003:42696145|42696751;scaffold0003:42702998|42703786",2,"",0,"",0,"scaffold0002:65431975|65435299",1,"",0
"GRAMD1C","",0,"scaffold0003:42774850|42786727",1,"",0,"",0,"",0,"NW_017739026.1:4136207|4146889;NW_017739026.1:4136207|4149700",2
"GOLGB1","",0,"scaffold0003:49260491|49262022",1,"",0,"",0,"",0,"NW_017738984.1:7415923|7417337",1
"KPNA1","",0,"scaffold0003:49825357|49829273",1,"",0,"",0,"scaffold0002:57875652|57881940",1,"",0
"HSPBAP1","",0,"scaffold0003:50049755|50059607;scaffold0003:50059425|50066885",2,"",0,"",0,"scaffold0002:57284079|57290069",1,"",0
"MYLK","",0,"scaffold0003:50783823|50786915",1,"",0,"",0,"",0,"NW_017739064.1:1278754|1290066",1
"KALRN","",0,"scaffold0003:51735198|51736741",1,"",0,"",0,"",0,"NW_017739064.1:725641|731294",1
"BDH1","",0,"scaffold0003:54382778|54383638",1,"",0,"",0,"scaffold0002:52545084|52546014",1,"",0
"LSG1","",0,"scaffold0003:55372690|55374683",1,"",0,"",0,"scaffold0002:51662872|51665457",1,"",0
"LPP","",0,"scaffold0003:60037049|60037739",1,"",0,"",0,"",0,"NW_017739267.1:1472257|1472947",1
"EIF4A2","",0,"scaffold0003:61503748|61504346",1,"",0,"",0,"",0,"NW_017739267.1:42699|43287;NW_017739267.1:43149|43627",2
"AC131160.1","",0,"scaffold0003:63739250|63740061",1,"",0,"",0,"scaffold0002:42162232|42163035",1,"",0
"NUP210","",0,"scaffold0003:644555|661416;scaffold0003:659834|661416",2,"",0,"",0,"scaffold0002:114281169|114282779;scaffold0002:114281169|114297485;scaffold0002:114281169|114303224;scaffold0002:114309068|114314225;scaffold0002:114316615|114323749;scaffold0002:114364026|114367668",6,"",0
"ACTL6A","",0,"scaffold0003:66906547|66908767",1,"",0,"",0,"scaffold0002:38634654|38637350",1,"",0
"MECOM","",0,"scaffold0003:74569776|74570114",1,"",0,"",0,"scaffold0002:30272099|30272437",1,"",0
"NMD3","",0,"scaffold0003:79572114|79572609",1,"",0,"3:69637737|69638988",1,"",0,"",0
"MRPL39","",0,"scaffold0003:91231028|91234248",1,"",0,"",0,"scaffold0002:12174211|12175292",1,"",0
"DIP2A","",0,"scaffold0003:93328461|93332055",1,"",0,"",0,"scaffold0002:9862488|9864221",1,"",0
"MCM3AP","",0,"scaffold0003:93473457|93481078;scaffold0003:93477327|93481078",2,"",0,"10:76346853|76348402",1,"",0,"",0
"BRWD1","",0,"scaffold0003:96413858|96423823;scaffold0003:96413858|96426252;scaffold0003:96421792|96423823;scaffold0003:96421792|96426252",4,"",0,"",0,"scaffold0002:5236212|5236914;scaffold0002:5260127|5263685;scaffold0002:5260127|5266360",3,"",0
"DSCAM","",0,"scaffold0003:96954205|96968410;scaffold0003:97132317|97135872",2,"",0,"",0,"scaffold0002:5786571|5800822;scaffold0002:6041971|6049058",2,"",0
"TRAPPC10","",0,"scaffold0003:99021902|99025548;scaffold0003:99021902|99041093;scaffold0003:99031687|99041093;scaffold0003:99048803|99051481",4,"",0,"",0,"",0,"NW_017739146.1:3123831|3128516;NW_017739146.1:3123831|3148773;NW_017739146.1:3157941|3161922",3
"IFNAR1","",0,"scaffold0003:99776170|99780456;scaffold0003:99778018|99780205;scaffold0003:99781452|99785984",3,"",0,"",0,"scaffold0002:1727746|1730266",1,"",0
"ING5","",0,"scaffold0004:125449|128194",1,"",0,"",0,"scaffold0012:36627662|36629302",1,"",0
"USP37","",0,"scaffold0004:12642078|12643749;scaffold0004:12643525|12643749;scaffold0004:12658842|12662639;scaffold0004:12658842|12669705;scaffold0004:12658842|12670931;scaffold0004:12659688|12662639;scaffold0004:12659688|12669705",7,"",0,"",0,"scaffold0012:21826263|21834276",1,"",0
"XRCC5","",0,"scaffold0004:14389677|14405011;scaffold0004:14389677|14418485;scaffold0004:14389677|14423331",3,"",0,"",0,"scaffold0012:20057713|20086348",1,"",0
"INO80D","",0,"scaffold0004:21201664|21202410",1,"",0,"",0,"",0,"NW_017738968.1:4156071|4158008",1
"PARD3B","",0,"scaffold0004:21686158|21686461;scaffold0004:21803595|21804653",2,"",0,"",0,"scaffold0012:12635430|12636577",1,"",0
"CYP20A1","",0,"scaffold0004:23402222|23413341;scaffold0004:23403590|23407219",2,"",0,"",0,"scaffold0012:11044132|11048932",1,"",0
"CARF","",0,"scaffold0004:23600740|23608878",1,"",0,"",0,"scaffold0012:10838393|10842073;scaffold0012:10842731|10846621",2,"",0
"NOP58","",0,"scaffold0004:23993685|23995705;scaffold0004:23994646|23995705;scaffold0004:23996795|23998659",3,"",0,"",0,"scaffold0012:10326140|10326636",1,"",0
"TRAK2","",0,"scaffold0004:24684483|24684754;scaffold0004:24684483|24690714",2,"",0,"",0,"scaffold0012:9690333|9692523",1,"",0
"CASP8","",0,"scaffold0004:24773789|24775665;scaffold0004:24777035|24778109;scaffold0004:24781593|24781927",3,"",0,"1:58863073|58872933",1,"",0,"",0
"ANKRD44","",0,"scaffold0004:28060965|28096593;scaffold0004:28106380|28110988",2,"",0,"",0,"scaffold0012:6683579|6687058",1,"",0
