"circ_id","gene_id","gene_name","width","strand","type","mpi1_ID","mpi1_length","mpi1_state","mpi2_ID","mpi2_length","mpi2_state","mpi3_ID","mpi3_length","mpi3_state"
"scaffold0001:119366170|119366602","ENSMPIG00001073223243","AC023055.1",433,"+","exon","mpi1_3035",227,"Full","mpi2_1759",227,"Full","mpi3_2921",227,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",359,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",359,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",359,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",359,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",322,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",322,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",322,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",322,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",322,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",423,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",423,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",423,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",423,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",423,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",359,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",359,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",359,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",359,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",359,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",322,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",322,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",322,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",322,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",322,"Full","mpi2_4759",322,"Full","mpi3_3909",269,"Full"
"scaffold0010:16921947|16922235","ENSMPIG00010011024241","BCL10",289,"+","exon","mpi1_2753",289,"Full","mpi2_4025",289,"Full","mpi3_2649",289,"Full"
"scaffold0012:35400164|35400390","ENSMPIG00012033400244","evm.TU.scaffold0012.390",227,"-","exon","mpi1_660",227,"Full","mpi2_2768",227,"Full","mpi3_623",173,"Full"
"scaffold0012:43199956|43209627","ENSMPIG00012042418243","CHN1",9672,"+","exon","mpi1_2138",237,"Full","mpi2_1241",237,"Full","mpi3_2033",237,"Full"
"scaffold0012:48228057|48230787","ENSMPIG00012047300244","evm.TU.scaffold0012.538",2731,"+","exon","mpi1_837",346,"Full","mpi2_500",346,"Full","mpi3_797",346,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",254,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",254,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",327,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",327,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",386,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",386,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",346,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",346,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",294,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",418,"Full","mpi2_3583",294,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",254,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",254,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",327,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",327,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",386,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",386,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",346,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",346,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",294,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",482,"Full","mpi2_3583",294,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",254,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",254,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",327,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",327,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",386,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",386,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",346,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",346,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",294,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",254,"Full","mpi2_3583",294,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",254,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",254,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",327,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",327,"Full","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",386,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",386,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",346,"Break","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",346,"Break","mpi3_1916",254,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",294,"Full","mpi3_1916",327,"Full"
"scaffold0012:75275652|75292341","ENSMPIG00012058623233","DARS",16690,"+","exon","mpi1_2010",327,"Full","mpi2_3583",294,"Full","mpi3_1916",254,"Full"
"scaffold0013:69712537|69712935","ENSMPIG00013061700244","evm.TU.scaffold0013.692",399,"-","exon","mpi1_1457",304,"Full","mpi2_3260",304,"Full","mpi3_1413",304,"Full"
"scaffold0017:51614025|51615290","ENSMPIG00017083923243","EHBP1L1",1266,"-","exon","mpi1_3038",530,"Full","mpi2_1762",522,"Full","mpi3_2925",344,"Break"
"scaffold0017:51614025|51615290","ENSMPIG00017083923243","EHBP1L1",1266,"-","exon","mpi1_3038",530,"Full","mpi2_1762",522,"Full","mpi3_2925",352,"Break"
"scaffold0017:51614025|51615290","ENSMPIG00017083923243","EHBP1L1",1266,"-","exon","mpi1_3038",530,"Full","mpi2_1762",530,"Full","mpi3_2925",344,"Break"
"scaffold0017:51614025|51615290","ENSMPIG00017083923243","EHBP1L1",1266,"-","exon","mpi1_3038",530,"Full","mpi2_1762",530,"Full","mpi3_2925",352,"Break"
"scaffold0020:7539294|7540648","ENSMPIG00020004723233","RWDD4",1355,"-","exon","mpi1_2043",376,"Full","mpi2_1185",376,"Full","mpi3_1945",376,"Full"
"scaffold0022:2236046|2244011","ENSMPIG00022006417243","ZNF181",7966,"-","exon","mpi1_1126",429,"Full","mpi2_674",165,"Break","mpi3_1097",429,"Full"
"scaffold0022:2236046|2244011","ENSMPIG00022006417243","ZNF181",7966,"-","exon","mpi1_1126",429,"Full","mpi2_674",177,"Break","mpi3_1097",429,"Full"
"scaffold0022:7463354|7463572","ENSMPIG00022013800244","novel_gene_314_62831269",219,"-","exon","mpi1_137",219,"Full","mpi2_2460",219,"Full","mpi3_131",219,"Full"
"scaffold0028:12896623|12908373","ENSMPIG00028006800244","novel_gene_270_627a1eab",11751,"-","exon","mpi1_1083",256,"Full","mpi2_648",256,"Full","mpi3_1054",256,"Full"
"scaffold0029:6092717|6092982","ENSMPIG00029020923243","BCL2L12",266,"+","exon","mpi1_1809",179,"Full","mpi2_3457",266,"Full","mpi3_1732",266,"Full"
"scaffold0029:6092717|6092982","ENSMPIG00029020923243","BCL2L12",266,"+","exon","mpi1_1809",179,"Full","mpi2_3457",266,"Full","mpi3_1732",179,"Full"
"scaffold0029:6092717|6092982","ENSMPIG00029020923243","BCL2L12",266,"+","exon","mpi1_1809",179,"Full","mpi2_3457",179,"Full","mpi3_1732",266,"Full"
"scaffold0029:6092717|6092982","ENSMPIG00029020923243","BCL2L12",266,"+","exon","mpi1_1809",179,"Full","mpi2_3457",179,"Full","mpi3_1732",179,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",231,"Full","mpi2_1052",322,"Full","mpi3_1700",322,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",231,"Full","mpi2_1052",322,"Full","mpi3_1700",231,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",231,"Full","mpi2_1052",231,"Full","mpi3_1700",322,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",231,"Full","mpi2_1052",231,"Full","mpi3_1700",231,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",322,"Full","mpi2_1052",322,"Full","mpi3_1700",322,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",322,"Full","mpi2_1052",322,"Full","mpi3_1700",231,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",322,"Full","mpi2_1052",231,"Full","mpi3_1700",322,"Full"
"scaffold0031:2255404|2256630","ENSMPIG00031004623233","FAM169B",1227,"+","exon","mpi1_1773",322,"Full","mpi2_1052",231,"Full","mpi3_1700",231,"Full"
"scaffold0031:8634185|8634675","ENSMPIG00031010820243","SLC28A1",491,"+","exon","mpi1_93",367,"Full","mpi2_52",367,"Full","mpi3_93",367,"Full"
"scaffold0044:1866419|1868457","ENSMPIG00044001400244","evm.TU.scaffold0044.28",2039,"-","exon","mpi1_1129",396,"Full","mpi2_677",396,"Full","mpi3_1100",396,"Full"
"scaffold0053:494821|495039","ENSMPIG00053000814143","PUDP",219,"-","exon","mpi1_1015",219,"Full","mpi2_2988",219,"Full","mpi3_982",219,"Full"
