"","circ_id","rsi1","rsi2","rsi3","rsi4"
"1","NW_017738920.1:1196056|1197220",NA,NA,2,NA
"97","NW_017738923.1:11986534|11997712",NA,2,NA,NA
"98","NW_017738923.1:12433877|12472887",NA,2,NA,NA
"99","NW_017738923.1:12453700|12462688",6,NA,NA,NA
"100","NW_017738923.1:14193179|14193374",NA,3,NA,NA
"101","NW_017738923.1:1422756|1427775",NA,4,NA,NA
"102","NW_017738923.1:14562041|14574944",2,2,NA,NA
"103","NW_017738923.1:14718984|14746882",NA,3,NA,NA
"104","NW_017738923.1:14751183|14789617",NA,NA,4,NA
"105","NW_017738923.1:14772274|14789617",26,16,17,15
"106","NW_017738923.1:14779292|14789617",NA,3,NA,12
"107","NW_017738923.1:14786073|14789617",2,NA,NA,NA
"108","NW_017738923.1:14786073|14816325",3,NA,NA,NA
"109","NW_017738923.1:14980927|14981797",NA,5,NA,NA
"110","NW_017738923.1:14980927|14991496",NA,NA,2,NA
"111","NW_017738923.1:15002604|15019176",NA,3,NA,NA
"112","NW_017738923.1:15035507|15048180",NA,2,2,NA
"113","NW_017738923.1:15035507|15081970",NA,NA,NA,4
"114","NW_017738923.1:15044638|15053257",4,NA,NA,NA
"115","NW_017738923.1:15044638|15081970",NA,NA,4,NA
"116","NW_017738923.1:15052554|15081970",NA,4,NA,NA
"117","NW_017738923.1:15059269|15081970",10,5,NA,NA
"118","NW_017738923.1:15059269|15110491",NA,NA,NA,2
"119","NW_017738923.1:15059269|15130820",NA,NA,2,NA
"120","NW_017738923.1:15071110|15081970",4,NA,NA,NA
"121","NW_017738923.1:15071110|15110491",4,4,NA,NA
"122","NW_017738923.1:15107216|15110491",NA,5,NA,NA
"123","NW_017738923.1:15182903|15185854",NA,5,NA,NA
"124","NW_017738923.1:15205275|15213975",NA,3,NA,NA
"125","NW_017738923.1:15232715|15238606",NA,5,NA,NA
"126","NW_017738923.1:15238448|15243820",NA,4,NA,NA
"127","NW_017738923.1:15261061|15262636",NA,NA,3,NA
"128","NW_017738923.1:15279994|15280639",NA,NA,NA,4
"129","NW_017738923.1:15833349|15843702",NA,NA,NA,2
"130","NW_017738923.1:16045357|16045980",NA,2,NA,NA
"131","NW_017738923.1:16046057|16046294",3,NA,NA,NA
"132","NW_017738923.1:16051297|16051754",NA,NA,8,NA
"133","NW_017738923.1:16117322|16117674",3,NA,NA,NA
"134","NW_017738923.1:16157777|16171152",NA,NA,NA,3
"135","NW_017738923.1:2165289|2175168",2,NA,NA,NA
"136","NW_017738923.1:2384555|2385835",34,18,22,7
"137","NW_017738923.1:2409675|2448025",4,2,NA,NA
"138","NW_017738923.1:2438742|2448025",33,10,21,2
"139","NW_017738923.1:2653433|2658639",NA,NA,NA,6
"140","NW_017738923.1:2923154|2962241",NA,NA,9,NA
"141","NW_017738923.1:3009256|3061590",2,NA,NA,NA
"142","NW_017738923.1:3170443|3241511",NA,NA,NA,2
"143","NW_017738923.1:3204641|3241511",3,6,NA,14
"144","NW_017738923.1:3241438|3304841",NA,2,NA,NA
"145","NW_017738923.1:3304607|3309849",NA,NA,NA,2
"146","NW_017738923.1:4597518|4600270",3,NA,NA,NA
"147","NW_017738923.1:4597518|4611045",NA,NA,2,NA
"148","NW_017738923.1:4639767|4640203",NA,3,NA,NA
"149","NW_017738923.1:4669486|4670320",NA,5,NA,NA
"150","NW_017738923.1:4708518|4711999",2,NA,NA,NA
"151","NW_017738923.1:4836105|4837641",NA,7,8,3
"152","NW_017738923.1:4886684|4892050",NA,4,2,NA
"153","NW_017738923.1:4941799|4956932",NA,2,NA,NA
"154","NW_017738923.1:528989|531178",5,9,NA,6
"155","NW_017738923.1:5523695|5524170",NA,NA,NA,2
"156","NW_017738923.1:5529156|5552285",NA,NA,2,NA
"157","NW_017738923.1:5567607|5567770",4,NA,NA,NA
"158","NW_017738923.1:5576470|5591436",NA,NA,2,NA
"159","NW_017738923.1:5576470|5592882",NA,3,NA,NA
"160","NW_017738923.1:5969951|5973461",NA,NA,NA,2
"161","NW_017738923.1:6390776|6391028",2,NA,NA,NA
"162","NW_017738923.1:6577779|6582161",2,NA,NA,NA
"163","NW_017738923.1:6596989|6598143",2,NA,NA,NA
"164","NW_017738923.1:7744850|7745186",NA,NA,NA,8
"165","NW_017738923.1:7840343|7840705",2,9,2,NA
"166","NW_017738923.1:8005390|8020443",3,NA,NA,4
"167","NW_017738923.1:9178434|9201628",NA,NA,2,NA
"168","NW_017738923.1:9189662|9219254",NA,NA,NA,3
"169","NW_017738923.1:9403989|9420868",2,NA,NA,NA
"170","NW_017738924.1:4229|8141",NA,4,NA,NA
"171","NW_017738924.1:4291186|4291946",NA,2,2,NA
"172","NW_017738924.1:4291186|4343664",NA,NA,4,NA
"173","NW_017738924.1:4351718|4359024",NA,7,3,NA
"174","NW_017738924.1:4588969|4616693",2,11,NA,3
"175","NW_017738924.1:4599426|4616693",NA,3,NA,NA
"176","NW_017738924.1:4612297|4616693",10,12,5,NA
"177","NW_017738924.1:4696464|4696772",8,NA,NA,NA
"178","NW_017738924.1:4696464|4710239",4,4,3,2
"179","NW_017738924.1:573757|579427",NA,NA,NA,4
"180","NW_017738924.1:6614124|6627682",3,4,NA,NA
"181","NW_017738924.1:7274660|7277225",NA,3,NA,2
"182","NW_017738924.1:7290930|7307692",NA,NA,NA,2
"183","NW_017738924.1:7290930|7318035",2,NA,NA,NA
"184","NW_017738924.1:7328075|7328682",NA,6,NA,NA
"185","NW_017738924.1:8342322|8356719",2,NA,NA,NA
"186","NW_017738924.1:8883461|8897898",NA,NA,4,NA
"187","NW_017738924.1:8892673|8893224",NA,5,NA,NA
"188","NW_017738924.1:8969067|8971002",4,5,NA,6
"189","NW_017738924.1:8978508|8987651",2,12,3,12
"190","NW_017738924.1:9112863|9113127",NA,NA,NA,3
"191","NW_017738924.1:9305675|9305937",4,NA,NA,NA
"192","NW_017738924.1:9320775|9322927",NA,2,NA,NA
"193","NW_017738924.1:9389751|9395408",NA,3,NA,NA
"194","NW_017738924.1:9422821|9432937",NA,NA,2,NA
"195","NW_017738924.1:9460218|9467957",NA,3,NA,NA
"196","NW_017738924.1:9562995|9564290",NA,2,NA,NA
"197","NW_017738925.1:10507056|10518718",NA,6,NA,NA
"198","NW_017738925.1:10772715|10774923",NA,3,NA,NA
"199","NW_017738925.1:10777942|10787507",NA,NA,4,NA
"200","NW_017738925.1:10820902|10821306",NA,5,NA,2
"201","NW_017738925.1:10820902|10835414",2,8,NA,4
"202","NW_017738925.1:10846419|10857406",2,NA,NA,NA
"203","NW_017738925.1:10888476|10896350",NA,NA,NA,2
"204","NW_017738925.1:2285811|2291247",2,NA,NA,NA
"205","NW_017738925.1:5277312|5315196",2,6,NA,NA
"206","NW_017738925.1:5295539|5387931",2,NA,NA,NA
"207","NW_017738925.1:5373185|5387931",3,13,4,2
"208","NW_017738925.1:5387654|5387931",NA,NA,2,NA
"209","NW_017738925.1:5668844|5673205",2,NA,NA,NA
"210","NW_017738925.1:5993479|5993667",2,NA,NA,NA
"211","NW_017738925.1:6510091|6513303",NA,NA,NA,4
"212","NW_017738925.1:6510091|6518810",17,9,6,5
"213","NW_017738925.1:6510091|6538839",NA,2,2,NA
"214","NW_017738925.1:9827376|9829878",4,NA,NA,NA
"215","NW_017738925.1:9859181|9888515",NA,2,NA,NA
"216","NW_017738925.1:9888389|9897797",NA,3,NA,NA
"217","NW_017738925.1:9888389|9900023",NA,4,NA,NA
"218","NW_017738925.1:9888389|9922775",NA,3,NA,NA
"219","NW_017738925.1:9888389|9942527",NA,NA,NA,2
"220","NW_017738925.1:9888389|9952712",NA,NA,2,NA
"221","NW_017738925.1:9888389|9954295",NA,2,NA,NA
"222","NW_017738925.1:9888389|9960474",NA,16,2,NA
"223","NW_017738925.1:9922726|9954295",NA,2,7,4
"224","NW_017738925.1:9942460|9954295",14,22,2,6
"225","NW_017738925.1:9942460|9983172",NA,3,NA,NA
"226","NW_017738925.1:9952543|9954295",15,56,20,13
"227","NW_017738925.1:9952543|9960474",16,19,2,5
"228","NW_017738925.1:9958604|9960474",4,NA,NA,NA
"229","NW_017738926.1:1701636|1710789",NA,2,NA,NA
"230","NW_017738926.1:1701636|1717798",NA,9,NA,NA
"231","NW_017738926.1:1710601|1718649",4,NA,NA,3
"232","NW_017738926.1:1853164|1857286",NA,3,NA,NA
"233","NW_017738926.1:1905513|1907560",NA,2,NA,NA
"234","NW_017738926.1:1905513|1909804",NA,4,NA,NA
"235","NW_017738926.1:2169620|2178673",NA,NA,3,NA
"236","NW_017738926.1:2274675|2288018",NA,2,NA,NA
"237","NW_017738926.1:2308014|2311451",2,3,NA,NA
"238","NW_017738926.1:2914941|2915392",2,NA,NA,NA
"239","NW_017738926.1:3379168|3385576",NA,4,NA,NA
"240","NW_017738926.1:3821875|3825401",NA,2,NA,NA
"241","NW_017738926.1:4025229|4048986",NA,NA,NA,7
"242","NW_017738926.1:4025229|4094977",3,NA,NA,NA
"243","NW_017738926.1:4048645|4048986",2,4,NA,NA
"244","NW_017738926.1:4102697|4119157",NA,NA,2,NA
"245","NW_017738926.1:4115690|4119157",4,NA,3,2
"246","NW_017738926.1:4134112|4137008",NA,2,NA,NA
"247","NW_017738926.1:4175191|4182622",2,4,NA,NA
"248","NW_017738926.1:4318311|4320243",87,76,48,31
"249","NW_017738926.1:4368910|4369193",NA,NA,4,NA
"250","NW_017738926.1:4560914|4561170",9,8,10,3
"251","NW_017738926.1:4677459|4680842",NA,NA,NA,2
"252","NW_017738926.1:4677459|4697718",NA,2,NA,NA
"253","NW_017738926.1:5106247|5113352",3,9,6,NA
"254","NW_017738926.1:5106247|5136727",2,4,NA,4
"255","NW_017738926.1:534297|540448",5,NA,NA,NA
"256","NW_017738926.1:910134|914260",2,NA,NA,NA
"257","NW_017738926.1:926432|939322",NA,NA,2,NA
"258","NW_017738926.1:935306|939322",9,NA,NA,NA
"259","NW_017738927.1:145800|171406",7,NA,NA,NA
"260","NW_017738927.1:1474799|1526387",2,NA,NA,NA
"261","NW_017738927.1:1644837|1671139",NA,2,NA,NA
"262","NW_017738927.1:1671013|1710610",NA,2,NA,NA
"263","NW_017738927.1:1671013|1711575",12,20,14,8
"264","NW_017738927.1:1671013|1732109",9,30,13,7
"265","NW_017738927.1:1710503|1711575",NA,2,NA,NA
"266","NW_017738927.1:1710503|1732109",3,7,6,NA
"267","NW_017738927.1:1720448|1732109",2,2,4,NA
"268","NW_017738927.1:1866848|1867945",30,32,27,5
"269","NW_017738927.1:2081118|2083005",NA,2,NA,NA
"270","NW_017738927.1:2082909|2133522",NA,2,NA,NA
"271","NW_017738927.1:2113774|2133522",NA,2,NA,NA
"272","NW_017738927.1:2330808|2346078",NA,2,NA,NA
"273","NW_017738927.1:2342321|2346078",NA,2,NA,NA
"274","NW_017738927.1:2342321|2364625",2,NA,NA,NA
"275","NW_017738927.1:236266|240983",9,NA,NA,NA
"276","NW_017738927.1:309433|311948",NA,2,NA,NA
"277","NW_017738927.1:319097|319476",NA,NA,4,NA
"278","NW_017738927.1:3833026|3847196",3,NA,NA,NA
"279","NW_017738927.1:385708|412955",NA,NA,NA,10
"280","NW_017738927.1:4129032|4138592",NA,2,NA,NA
"281","NW_017738927.1:4362952|4417018",NA,2,NA,NA
"282","NW_017738927.1:439123|442560",2,12,3,12
"283","NW_017738927.1:4411951|4455648",3,NA,NA,NA
"284","NW_017738927.1:4455517|4483557",2,NA,NA,NA
"285","NW_017738927.1:4479164|4483557",NA,NA,3,NA
"286","NW_017738927.1:448258|452899",NA,3,NA,NA
"287","NW_017738927.1:448258|468188",3,7,NA,NA
"288","NW_017738927.1:4504721|4522690",NA,9,NA,NA
"289","NW_017738927.1:4517936|4522690",3,NA,NA,NA
"290","NW_017738927.1:4522545|4577845",4,NA,NA,NA
"291","NW_017738927.1:4728499|4729400",NA,2,NA,NA
"292","NW_017738927.1:5105933|5116874",NA,2,NA,NA
"293","NW_017738927.1:5105933|5124374",9,14,13,3
"294","NW_017738927.1:5568719|5572420",4,15,NA,9
"295","NW_017738927.1:5593003|5593303",NA,NA,NA,3
"296","NW_017738927.1:5701996|5702167",2,NA,NA,NA
"297","NW_017738927.1:6628090|6630899",NA,4,NA,NA
"298","NW_017738927.1:6630800|6636191",NA,5,5,14
"299","NW_017738927.1:6641065|6661225",NA,7,NA,NA
"300","NW_017738927.1:77669|77815",2,NA,NA,NA
"301","NW_017738927.1:77669|95402",NA,4,NA,NA
"302","NW_017738927.1:822090|823201",NA,NA,2,NA
"303","NW_017738927.1:83399|95402",4,NA,NA,NA
"304","NW_017738927.1:995898|1000242",2,NA,NA,NA
"305","NW_017738928.1:1109791|1127628",NA,NA,NA,2
"306","NW_017738928.1:1109791|1132811",4,NA,NA,NA
"307","NW_017738928.1:1120079|1132811",NA,2,NA,3
"308","NW_017738928.1:1508120|1518553",NA,17,NA,9
"309","NW_017738928.1:1509016|1518553",NA,12,NA,NA
"310","NW_017738928.1:1518410|1527924",NA,NA,2,NA
"311","NW_017738928.1:1523015|1527924",NA,NA,NA,4
"312","NW_017738928.1:1523015|1530960",2,16,NA,NA
"313","NW_017738928.1:1523015|1530962",18,67,23,42
"314","NW_017738928.1:1523015|1540372",NA,2,NA,NA
"315","NW_017738928.1:1740678|1771234",3,NA,NA,NA
"316","NW_017738928.1:1814093|1818620",NA,NA,2,NA
"317","NW_017738928.1:1838555|1843999",2,NA,NA,NA
"318","NW_017738928.1:2442724|2446291",NA,3,NA,NA
"319","NW_017738928.1:2597297|2606382",NA,2,NA,NA
"320","NW_017738928.1:3675010|3680153",2,NA,NA,NA
"321","NW_017738928.1:4067877|4069416",NA,5,NA,NA
"322","NW_017738928.1:4109715|4110016",NA,NA,NA,2
"323","NW_017738928.1:4118881|4125453",NA,3,NA,NA
"324","NW_017738928.1:4723210|4741477",NA,6,NA,2
"325","NW_017738928.1:5783076|5785365",NA,NA,NA,2
"326","NW_017738928.1:663447|663647",NA,NA,NA,3
"327","NW_017738928.1:863338|884347",NA,3,NA,NA
"328","NW_017738929.1:1101017|1127816",2,NA,NA,NA
"329","NW_017738929.1:1168616|1172607",NA,4,NA,NA
"330","NW_017738929.1:1322468|1322692",NA,NA,NA,4
"331","NW_017738929.1:1353262|1356692",3,4,NA,NA
"332","NW_017738929.1:1353262|1363046",NA,2,NA,NA
"333","NW_017738929.1:1360963|1387345",2,NA,NA,NA
"334","NW_017738929.1:1789556|1790229",23,12,12,15
"335","NW_017738929.1:1795370|1812804",NA,NA,2,NA
"336","NW_017738929.1:1807421|1812804",9,10,4,4
"337","NW_017738929.1:1818960|1820554",NA,NA,2,NA
"338","NW_017738929.1:1946504|1949098",NA,5,NA,NA
"339","NW_017738929.1:2062704|2063012",4,NA,NA,NA
"340","NW_017738929.1:214471|214706",NA,6,NA,NA
"341","NW_017738929.1:2287985|2292782",NA,6,NA,NA
"342","NW_017738929.1:2335288|2335902",NA,8,NA,NA
"343","NW_017738929.1:284431|288360",5,NA,7,6
"344","NW_017738929.1:3604073|3615771",3,NA,NA,NA
"345","NW_017738929.1:3627628|3654173",NA,NA,NA,2
"346","NW_017738929.1:3654046|3678563",NA,2,NA,NA
"347","NW_017738929.1:3672989|3675369",2,NA,NA,NA
"348","NW_017738929.1:3702792|3770792",NA,NA,NA,8
"349","NW_017738929.1:3708740|3730504",NA,2,NA,NA
"350","NW_017738929.1:3743619|3749790",4,NA,NA,NA
"351","NW_017738929.1:3753418|3770635",2,NA,NA,NA
"352","NW_017738929.1:3757929|3762419",3,NA,NA,NA
"353","NW_017738929.1:3757929|3770792",NA,2,NA,NA
"354","NW_017738929.1:3767992|3770792",10,8,10,5
"355","NW_017738929.1:3792693|3804906",2,NA,NA,NA
"356","NW_017738929.1:3796842|3797118",2,NA,NA,NA
"357","NW_017738929.1:3799146|3801964",10,34,8,12
"358","NW_017738929.1:3799146|3804906",NA,7,5,NA
"359","NW_017738929.1:3799146|3819976",NA,2,NA,4
"360","NW_017738929.1:3799154|3799354",NA,NA,NA,2
"361","NW_017738929.1:3799349|3801964",3,4,NA,5
"362","NW_017738929.1:3799349|3804906",2,NA,NA,NA
"363","NW_017738929.1:3799351|3801964",8,7,10,NA
"364","NW_017738929.1:3799351|3804906",NA,2,NA,NA
"365","NW_017738929.1:3801841|3819976",NA,2,NA,NA
"366","NW_017738929.1:3804718|3819976",5,NA,NA,NA
"367","NW_017738929.1:3819857|3845141",NA,NA,NA,2
"368","NW_017738929.1:3837456|3837634",NA,NA,5,NA
"369","NW_017738929.1:3925594|3930657",NA,2,NA,2
"370","NW_017738929.1:3927381|3930657",NA,2,NA,NA
"371","NW_017738929.1:3957132|3958131",NA,NA,2,3
"372","NW_017738929.1:3986158|3994073",5,NA,6,NA
"373","NW_017738929.1:4157153|4167812",NA,2,4,2
"374","NW_017738929.1:4157153|4179475",NA,NA,NA,2
"375","NW_017738929.1:4208769|4218004",NA,2,NA,NA
"376","NW_017738929.1:4223301|4238336",NA,NA,NA,5
"377","NW_017738929.1:4239087|4262402",NA,NA,2,NA
"378","NW_017738929.1:4243894|4262402",NA,2,4,4
"379","NW_017738929.1:4425516|4429858",2,NA,NA,NA
"380","NW_017738929.1:4451029|4455932",NA,NA,10,NA
"381","NW_017738929.1:513574|513813",NA,NA,NA,2
"382","NW_017738929.1:517834|555954",NA,NA,4,NA
"383","NW_017738929.1:540761|563332",NA,2,NA,2
"384","NW_017738929.1:552920|563332",2,NA,6,NA
"385","NW_017738929.1:736379|745130",NA,5,NA,NA
"386","NW_017738929.1:761009|761288",NA,2,NA,NA
"387","NW_017738929.1:801155|802536",9,22,10,5
"388","NW_017738929.1:801155|805160",NA,NA,NA,3
"389","NW_017738929.1:865615|877941",NA,NA,NA,4
"390","NW_017738929.1:869241|869479",NA,3,NA,NA
"391","NW_017738930.1:1075270|1098672",18,12,NA,9
"392","NW_017738930.1:1428089|1430655",2,NA,NA,NA
"393","NW_017738930.1:1920179|1930710",NA,2,NA,NA
"394","NW_017738930.1:3805008|3808486",2,NA,NA,NA
"395","NW_017738930.1:4157606|4161702",NA,6,NA,NA
"396","NW_017738930.1:695114|697286",3,4,NA,3
"397","NW_017738930.1:887070|906462",3,NA,NA,NA
"398","NW_017738930.1:943234|976578",2,NA,NA,NA
"399","NW_017738930.1:976287|979874",7,37,11,9
"400","NW_017738930.1:976287|996204",NA,2,NA,NA
"401","NW_017738931.1:10409557|10443107",2,NA,NA,3
"402","NW_017738931.1:10519958|10522357",NA,NA,NA,2
"403","NW_017738931.1:122117|124883",2,NA,NA,NA
"404","NW_017738931.1:2421652|2434403",15,3,NA,9
"405","NW_017738931.1:3183150|3199757",7,NA,NA,NA
"406","NW_017738931.1:3290213|3293529",NA,NA,NA,3
"407","NW_017738931.1:3441796|3464956",NA,2,NA,NA
"408","NW_017738931.1:4244019|4260639",3,NA,NA,NA
"409","NW_017738931.1:4250810|4254193",NA,12,NA,NA
"410","NW_017738931.1:4250810|4269447",NA,21,NA,2
"411","NW_017738931.1:4267109|4269447",NA,NA,NA,6
"412","NW_017738931.1:4963952|4965966",5,6,4,6
"413","NW_017738931.1:5248210|5254330",4,2,2,NA
"414","NW_017738931.1:5431174|5442986",NA,3,NA,NA
"415","NW_017738931.1:5499702|5505992",3,NA,NA,NA
"416","NW_017738931.1:5712001|5720269",NA,3,NA,13
"417","NW_017738931.1:5726674|5736008",NA,NA,NA,3
"418","NW_017738931.1:596050|596448",NA,NA,9,NA
"419","NW_017738931.1:5977585|5979105",15,12,2,10
"420","NW_017738931.1:6296870|6316778",NA,NA,2,NA
"421","NW_017738931.1:6311287|6323090",NA,NA,2,NA
"422","NW_017738931.1:6322981|6388892",NA,NA,2,NA
"423","NW_017738931.1:6430282|6465506",2,NA,NA,NA
"424","NW_017738931.1:6898903|6899097",NA,NA,2,NA
"425","NW_017738931.1:6898903|6954379",NA,NA,NA,4
"426","NW_017738931.1:7324563|7336621",2,NA,NA,NA
"427","NW_017738931.1:7440577|7441579",NA,NA,NA,3
"428","NW_017738931.1:8504494|8520458",NA,NA,NA,2
"429","NW_017738931.1:869751|871825",4,12,18,11
"430","NW_017738931.1:9382427|9396957",NA,3,4,NA
"431","NW_017738931.1:9491679|9498346",NA,3,NA,NA
"432","NW_017738931.1:9530207|9555359",NA,5,NA,NA
"433","NW_017738931.1:9540010|9543478",NA,NA,NA,3
"434","NW_017738932.1:1817394|1818247",4,6,4,NA
"435","NW_017738932.1:1905896|1965522",2,NA,NA,NA
"436","NW_017738932.1:1947482|1965522",NA,NA,2,NA
"437","NW_017738932.1:1947482|1999062",2,NA,NA,NA
"438","NW_017738932.1:2131723|2131921",NA,2,NA,NA
"439","NW_017738932.1:2285678|2294905",NA,2,NA,NA
"440","NW_017738932.1:2289227|2289467",NA,NA,NA,7
"441","NW_017738932.1:2377557|2431992",NA,3,NA,NA
"442","NW_017738932.1:2377557|2447042",NA,2,NA,NA
"443","NW_017738932.1:2424210|2431992",NA,NA,NA,9
"444","NW_017738932.1:2429947|2431992",NA,19,6,NA
"445","NW_017738932.1:2429947|2454517",NA,NA,NA,2
"446","NW_017738932.1:3720056|3720409",7,25,NA,2
"447","NW_017738932.1:5317730|5320240",NA,2,NA,NA
"448","NW_017738932.1:5317730|5344782",NA,NA,4,3
"449","NW_017738932.1:5320103|5326182",NA,NA,NA,4
"450","NW_017738932.1:5320103|5344782",2,NA,NA,NA
"451","NW_017738932.1:5322445|5329647",NA,NA,NA,2
"452","NW_017738932.1:5340805|5344782",NA,2,NA,NA
"453","NW_017738932.1:5350220|5357146",NA,NA,NA,4
"454","NW_017738932.1:5446028|5505929",3,3,NA,5
"455","NW_017738932.1:5465267|5467419",5,NA,NA,NA
"456","NW_017738932.1:5465267|5505929",6,5,NA,NA
"457","NW_017738932.1:5993187|6002865",6,2,NA,NA
"458","NW_017738932.1:6010991|6023729",NA,NA,5,NA
