"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100288339|100300837","2.000",NA,NA
"184","scaffold0001:106113204|106137013",NA,NA,"2.000"
"185","scaffold0001:106113204|106138243","2.000",NA,NA
"186","scaffold0001:106116790|106129807",NA,NA,"7.000"
"187","scaffold0001:106116790|106137013","82.000","17.000","18.000"
"188","scaffold0001:106116790|106138240","1.000",NA,NA
"189","scaffold0001:106116790|106138243","9.000",NA,"4.000"
"190","scaffold0001:106116790|106139534","12.000","3.000","7.000"
"191","scaffold0001:106116790|106152789",NA,"8.000",NA
"192","scaffold0001:106129926|106137013",NA,"2.000",NA
"193","scaffold0001:106129926|106139534","1.000",NA,"9.000"
"194","scaffold0001:106131175|106137013","1.000",NA,NA
"195","scaffold0001:106210026|106214190","1.000",NA,NA
"196","scaffold0001:106245320|106260324","2.000",NA,NA
"197","scaffold0001:106258958|106265617","18.000","5.000","14.000"
"198","scaffold0001:106265400|106298899","37.000","9.000","2.000"
"199","scaffold0001:10627960|10628132","3.000",NA,NA
"200","scaffold0001:106298715|106301568","4.000",NA,"7.000"
"201","scaffold0001:106382013|106403354",NA,NA,"1.000"
"202","scaffold0001:106382855|106403354","24.000","6.000",NA
"203","scaffold0001:106403142|106403354","6.000","10.000",NA
"204","scaffold0001:10703980|10727840","9.000",NA,NA
"205","scaffold0001:10775355|10780132","2.000",NA,NA
"206","scaffold0001:108063912|108125855",NA,"4.000",NA
"207","scaffold0001:108081535|108125855","2.000",NA,NA
"208","scaffold0001:108094615|108125855",NA,"14.000",NA
"209","scaffold0001:108095018|108125855",NA,NA,"2.000"
"210","scaffold0001:108118803|108125855","25.000","15.000","23.000"
"211","scaffold0001:108118803|108130517","13.000","46.000","21.000"
"212","scaffold0001:108125758|108130517","4.000",NA,NA
"213","scaffold0001:108190254|108192557","1.000",NA,NA
"214","scaffold0001:108190254|108194060",NA,"3.000",NA
"215","scaffold0001:108190254|108194218","18.000","12.000","26.000"
"216","scaffold0001:108530151|108549986","6.000",NA,NA
"217","scaffold0001:108549115|108612353",NA,"2.000",NA
"218","scaffold0001:108549799|108561131","21.000","27.000","3.000"
"219","scaffold0001:108560199|108561131","22.000",NA,NA
"220","scaffold0001:108598070|108598266","7.000",NA,NA
"221","scaffold0001:108598070|108606991","6.000",NA,NA
"222","scaffold0001:108606764|108612353",NA,NA,"4.000"
"223","scaffold0001:108612290|108617240","4.000",NA,NA
"224","scaffold0001:108716866|108813171","6.000",NA,NA
"225","scaffold0001:108730014|108731921","1.000",NA,NA
"226","scaffold0001:108731522|108731921","3.000",NA,NA
"227","scaffold0001:108731839|108760508","3.000",NA,NA
"228","scaffold0001:108732452|108760508","2.000",NA,NA
"229","scaffold0001:108744353|108744803",NA,"4.000",NA
"230","scaffold0001:108744659|108760508","94.000","45.000",NA
"231","scaffold0001:108744659|108765885",NA,NA,"1.000"
"232","scaffold0001:108744659|108767868","73.000","17.000","30.000"
"233","scaffold0001:108744659|108769326",NA,NA,"1.000"
"234","scaffold0001:108744659|108813171","16.000","8.000","5.000"
"235","scaffold0001:108744667|108760508","19.000",NA,NA
"236","scaffold0001:108744667|108763342",NA,NA,"1.000"
"237","scaffold0001:108744667|108767868","8.000","3.000","1.000"
"238","scaffold0001:108758019|108760508","5.000",NA,NA
"239","scaffold0001:108758037|108760508","3.000","14.000","1.000"
"240","scaffold0001:108758037|108767868",NA,"7.000",NA
"241","scaffold0001:108758335|108760508","2.000",NA,NA
"242","scaffold0001:108760438|108767868","33.000",NA,"10.000"
"243","scaffold0001:108765728|108813171","3.000",NA,NA
"244","scaffold0001:108767760|108813171",NA,NA,"2.000"
"245","scaffold0001:108769169|108813171","1.000",NA,"2.000"
"246","scaffold0001:108804302|108813171","37.000","23.000","44.000"
"247","scaffold0001:108812090|108813171","4.000",NA,"2.000"
"248","scaffold0001:108813003|108814579","6.000",NA,"2.000"
"249","scaffold0001:108813003|108817013",NA,NA,"5.000"
"250","scaffold0001:108860732|108864665",NA,NA,"3.000"
"251","scaffold0001:108864555|108866470","2.000",NA,"3.000"
"252","scaffold0001:108878320|108883927","1.000","2.000",NA
"253","scaffold0001:108878320|108885765","3.000",NA,NA
"254","scaffold0001:108888900|108891416","1.000",NA,NA
"255","scaffold0001:108888900|108893892","5.000",NA,NA
"256","scaffold0001:108896855|108907576",NA,"13.000","7.000"
"257","scaffold0001:108926029|108969622","3.000",NA,NA
"258","scaffold0001:108926113|108969622",NA,"9.000",NA
"259","scaffold0001:108946233|108946387",NA,"2.000",NA
"260","scaffold0001:108946233|108947858",NA,"6.000",NA
"261","scaffold0001:108946233|108955620","6.000","19.000","18.000"
"262","scaffold0001:108946233|108959290",NA,NA,"7.000"
"263","scaffold0001:108946233|108962971",NA,"1.000","5.000"
"264","scaffold0001:108946233|108964015","13.000","5.000","4.000"
"265","scaffold0001:108946233|108969622","172.000","63.000","55.000"
"266","scaffold0001:108955536|108961172","3.000","8.000","5.000"
"267","scaffold0001:108955536|108962971","3.000",NA,"2.000"
"268","scaffold0001:108955536|108964015",NA,NA,"2.000"
"269","scaffold0001:108955536|108969622","3.000","6.000","2.000"
"270","scaffold0001:108955536|108989513","1.000",NA,NA
"271","scaffold0001:108959224|108969622",NA,"6.000",NA
"272","scaffold0001:108963965|108969622","1.000",NA,NA
"273","scaffold0001:108967072|108969622","13.000","16.000","20.000"
"274","scaffold0001:108967072|108989513","4.000",NA,NA
"275","scaffold0001:108967906|108969622","1.000",NA,NA
"276","scaffold0001:108989418|109034964","40.000","10.000",NA
"277","scaffold0001:108989418|109047462",NA,NA,"4.000"
"278","scaffold0001:109028991|109034964","9.000",NA,NA
"279","scaffold0001:109298388|109304123",NA,NA,"3.000"
"280","scaffold0001:109298388|109304466",NA,NA,"1.000"
"281","scaffold0001:109298388|109306066","8.000",NA,"1.000"
"282","scaffold0001:109298388|109323584",NA,NA,"2.000"
"283","scaffold0001:109300888|109304466",NA,"41.000",NA
"284","scaffold0001:109300888|109306066",NA,NA,"14.000"
"285","scaffold0001:109301759|109303350",NA,"2.000",NA
"286","scaffold0001:109362267|109366059","137.000","13.000","57.000"
"287","scaffold0001:109362267|109367636","3.000",NA,NA
"288","scaffold0001:109362267|109369455","11.000","8.000","11.000"
"289","scaffold0001:109362267|109372141","1.000",NA,NA
"290","scaffold0001:109364060|109369455","1.000",NA,NA
"291","scaffold0001:109364060|109384147","1.000",NA,NA
"292","scaffold0001:109365965|109369455",NA,NA,"6.000"
"293","scaffold0001:109374881|109375173",NA,NA,"8.000"
"294","scaffold0001:109435083|109435580",NA,"3.000",NA
"295","scaffold0001:109435083|109438351","2.000",NA,NA
"296","scaffold0001:109440835|109442182","1.000",NA,"1.000"
"297","scaffold0001:109556178|109557281",NA,NA,"5.000"
"298","scaffold0001:109557148|109557701","1.000",NA,NA
"299","scaffold0001:109557822|109558206",NA,"12.000",NA
"300","scaffold0001:109875591|109877754","2.000",NA,NA
"301","scaffold0001:109893648|109938623","7.000",NA,"4.000"
"302","scaffold0001:109907223|109938623","14.000",NA,"4.000"
"303","scaffold0001:110075034|110078441","4.000",NA,NA
"304","scaffold0001:110138337|110139483","2.000",NA,NA
"305","scaffold0001:110147736|110148123",NA,"6.000","5.000"
"306","scaffold0001:110149579|110164712","3.000",NA,NA
"307","scaffold0001:110152818|110158970","5.000",NA,NA
"308","scaffold0001:11296065|11315946",NA,NA,"2.000"
"309","scaffold0001:11298609|11315946","6.000",NA,NA
"310","scaffold0001:11300097|11307375",NA,NA,"2.000"
"311","scaffold0001:11311454|11315946","3.000",NA,NA
"312","scaffold0001:11378995|11380665",NA,"5.000","4.000"
"313","scaffold0001:11428169|11430444","3.000",NA,NA
"314","scaffold0001:11429028|11430444",NA,NA,"2.000"
"315","scaffold0001:11433837|11439103","15.000","7.000","1.000"
"316","scaffold0001:11433837|11443983",NA,NA,"3.000"
"317","scaffold0001:11438373|11443983",NA,NA,"1.000"
"318","scaffold0001:11505110|11505331",NA,"8.000",NA
"319","scaffold0001:11582441|11589525","11.000",NA,NA
"320","scaffold0001:11926988|11930109",NA,"14.000",NA
"321","scaffold0001:11927652|11928189","2.000",NA,NA
"322","scaffold0001:12008820|12037747","3.000",NA,NA
"323","scaffold0001:12018073|12037747",NA,NA,"3.000"
"324","scaffold0001:12018073|12091450","2.000",NA,NA
"325","scaffold0001:12032069|12037747","1.000",NA,NA
"326","scaffold0001:12032069|12091450",NA,NA,"3.000"
"327","scaffold0001:12036668|12037747","14.000","10.000","4.000"
"328","scaffold0001:12053199|12091450",NA,"5.000",NA
"329","scaffold0001:12063936|12064545","1.000","19.000",NA
"330","scaffold0001:12063936|12091450","2.000","1.000","2.000"
"331","scaffold0001:12105989|12107112","29.000","54.000","25.000"
"332","scaffold0001:12337900|12354394",NA,NA,"4.000"
"333","scaffold0001:12354302|12363235","3.000",NA,NA
"334","scaffold0001:12393562|12401526","3.000",NA,NA
"335","scaffold0001:12434233|12438685","2.000",NA,NA
"336","scaffold0001:1245684|1245834",NA,"1.000",NA
"337","scaffold0001:12536837|12556182",NA,"4.000","1.000"
"338","scaffold0001:13156527|13157172","4.000",NA,NA
"339","scaffold0001:13191603|13195377",NA,"3.000",NA
"340","scaffold0001:13198221|13200891",NA,"3.000",NA
"341","scaffold0001:13203654|13206196","10.000","3.000","3.000"
"342","scaffold0001:13208008|13215339","6.000",NA,"6.000"
"343","scaffold0001:13258904|13268550",NA,"4.000",NA
"344","scaffold0001:13260417|13260824","5.000",NA,NA
"345","scaffold0001:13260417|13268550","3.000",NA,NA
"346","scaffold0001:13274681|13275476","8.000",NA,NA
"347","scaffold0001:13292978|13293266",NA,"3.000",NA
"348","scaffold0001:13354444|13373232",NA,"6.000",NA
"349","scaffold0001:13355229|13355954",NA,NA,"2.000"
"350","scaffold0001:13355229|13359962","2.000",NA,NA
"351","scaffold0001:13355229|13373232",NA,NA,"1.000"
"352","scaffold0001:13355229|13385909",NA,"9.000","1.000"
"353","scaffold0001:13359854|13373232",NA,NA,"4.000"
"354","scaffold0001:13366171|13373232","17.000","12.000","10.000"
"355","scaffold0001:13380987|13385909","20.000","43.000","10.000"
"356","scaffold0001:13440325|13441110","2.000",NA,NA
"357","scaffold0001:13560548|13577306",NA,"4.000",NA
"358","scaffold0001:13560548|13580039","8.000","4.000",NA
"359","scaffold0001:13560548|13593962","7.000",NA,"2.000"
"360","scaffold0001:13644118|13653064","6.000",NA,NA
"361","scaffold0001:13767159|13768738","19.000","5.000","5.000"
"362","scaffold0001:13767159|13786120","2.000",NA,NA
"363","scaffold0001:13786010|13811010","4.000",NA,"3.000"
"364","scaffold0001:13896082|13902312",NA,NA,"2.000"
"365","scaffold0001:1391703|1391974",NA,NA,"20.000"
"366","scaffold0001:1391703|1391980",NA,NA,"4.000"
"367","scaffold0001:13922317|13923602","12.000","10.000","4.000"
"368","scaffold0001:13935004|13945795",NA,"6.000",NA
"369","scaffold0001:13941519|13941923","56.000","26.000","17.000"
"370","scaffold0001:13941519|13944574","55.000","61.000","23.000"
"371","scaffold0001:13941519|13945795",NA,NA,"1.000"
"372","scaffold0001:13941523|13941923","416.000","251.000","127.000"
"373","scaffold0001:13941523|13944574","496.000","450.000","111.000"
"374","scaffold0001:13941523|13945795","33.000","10.000","18.000"
"375","scaffold0001:13941523|13951680","1.000","23.000","7.000"
"376","scaffold0001:13944489|13951680",NA,"1.000",NA
"377","scaffold0001:13954808|13962175",NA,"2.000",NA
"378","scaffold0001:13957839|13962175",NA,"1.000",NA
"379","scaffold0001:13997472|14002914","3.000",NA,NA
"380","scaffold0001:14002771|14005176",NA,NA,"4.000"
"381","scaffold0001:14027555|14027873",NA,"11.000","11.000"
"382","scaffold0001:14145393|14150135","1.000",NA,NA
"383","scaffold0001:14193837|14201290",NA,"11.000",NA
"384","scaffold0001:15182598|15204011","1.000",NA,NA
"385","scaffold0001:15182654|15204011","8.000","7.000",NA
"386","scaffold0001:15216994|15227409","4.000",NA,"4.000"
"387","scaffold0001:15227327|15232833","3.000",NA,NA
"388","scaffold0001:15240172|15241550",NA,NA,"1.000"
"389","scaffold0001:15251743|15254162","7.000",NA,NA
"390","scaffold0001:15257066|15266500","4.000",NA,NA
"391","scaffold0001:15282924|15287640","30.000","27.000","24.000"
"392","scaffold0001:15282924|15287651",NA,NA,"1.000"
"393","scaffold0001:15309859|15314192",NA,"1.000",NA
"394","scaffold0001:15393244|15402053","8.000","12.000","9.000"
"395","scaffold0001:15407712|15408931","8.000",NA,"3.000"
"396","scaffold0001:15408863|15413962","10.000",NA,"2.000"
"397","scaffold0001:15482714|15489002","19.000",NA,"5.000"
"398","scaffold0001:15488534|15489204",NA,NA,"2.000"
"399","scaffold0001:15504694|15507942","37.000","37.000","10.000"
"400","scaffold0001:15526636|15531175","2.000",NA,NA
"401","scaffold0001:15543642|15548650","13.000","5.000",NA
"402","scaffold0001:15546671|15548650",NA,NA,"2.000"
"403","scaffold0001:15601850|15611742","2.000",NA,NA
"404","scaffold0001:15619488|15625478",NA,"6.000",NA
"405","scaffold0001:15764111|15765065",NA,"10.000",NA
"406","scaffold0001:15794931|15798363",NA,"6.000",NA
"407","scaffold0001:15805802|15806011","3.000",NA,NA
"408","scaffold0001:15805802|15809919","9.000",NA,NA
"409","scaffold0001:15805802|15810806","9.000",NA,NA
"410","scaffold0001:15823967|15837209","1.000",NA,NA
"411","scaffold0001:15828040|15828384",NA,"6.000",NA
"412","scaffold0001:15905337|15906565","12.000",NA,NA
"413","scaffold0001:15913572|15922188","2.000",NA,NA
"414","scaffold0001:15979048|15988489","1.000",NA,NA
"415","scaffold0001:16044723|16054270","5.000","5.000",NA
"416","scaffold0001:16044723|16078658","5.000",NA,NA
"417","scaffold0001:16078499|16081548","1.000",NA,NA
"418","scaffold0001:16078499|16091187","16.000",NA,"2.000"
"419","scaffold0001:16081411|16085354","3.000",NA,NA
"420","scaffold0001:16235462|16241842","7.000",NA,NA
"421","scaffold0001:16308851|16324561",NA,NA,"2.000"
"422","scaffold0001:16309643|16322659",NA,NA,"4.000"
"423","scaffold0001:16318916|16324561","2.000",NA,NA
"424","scaffold0001:16322490|16324561",NA,NA,"3.000"
"425","scaffold0001:16506062|16507962","2.000",NA,NA
"426","scaffold0001:16517733|16524221","4.000",NA,NA
"427","scaffold0001:16562640|16562783","1.000",NA,NA
"428","scaffold0001:16568125|16574993","1.000",NA,NA
"429","scaffold0001:16569664|16573464","1.000",NA,NA
"430","scaffold0001:16613477|16615526","258.000","30.000","43.000"
"431","scaffold0001:16614996|16623854","4.000",NA,NA
"432","scaffold0001:16625189|16626907","92.000","3.000","7.000"
"433","scaffold0001:16625189|16627692","7.000","5.000",NA
"434","scaffold0001:16625189|16629256",NA,NA,"10.000"
"435","scaffold0001:16627573|16633364","5.000",NA,NA
"436","scaffold0001:16629137|16633364",NA,NA,"1.000"
"437","scaffold0001:16657382|16657591","2.000",NA,NA
"438","scaffold0001:16765854|16779623","2.000",NA,NA
"439","scaffold0001:16765854|16784175","18.000","19.000","4.000"
"440","scaffold0001:16765854|16830745","9.000",NA,NA
"441","scaffold0001:16769332|16769508",NA,"4.000",NA
"442","scaffold0001:16776547|16779623","4.000",NA,NA
"443","scaffold0001:16889352|16933871","5.000",NA,NA
"444","scaffold0001:16905803|16933871","11.000",NA,NA
"445","scaffold0001:17025986|17091174",NA,"4.000",NA
"446","scaffold0001:17147831|17171682","1.000",NA,NA
"447","scaffold0001:17427062|17459364",NA,"1.000","6.000"
"448","scaffold0001:17506155|17512014",NA,NA,"1.000"
"449","scaffold0001:17506155|17513763",NA,NA,"3.000"
"450","scaffold0001:17506155|17520479","4.000",NA,"1.000"
"451","scaffold0001:17511894|17513763","122.000","45.000","39.000"
"452","scaffold0001:17511894|17516848",NA,"2.000",NA
"453","scaffold0001:17542144|17542490",NA,NA,"2.000"
"454","scaffold0001:17542144|17543355",NA,NA,"1.000"
"455","scaffold0001:17551685|17551883",NA,"2.000",NA
"456","scaffold0001:17552763|17553400","8.000",NA,NA
"457","scaffold0001:17581942|17582446",NA,NA,"5.000"
"458","scaffold0001:175890|176964",NA,"2.000",NA
"459","scaffold0001:17596604|17603447",NA,NA,"4.000"
"460","scaffold0001:17612401|17617822",NA,NA,"3.000"
"461","scaffold0001:17612401|17622296","123.000","50.000","54.000"
"462","scaffold0001:182279|185366",NA,"6.000",NA
"463","scaffold0001:18332749|18394924","3.000",NA,NA
"464","scaffold0001:1849703|1896017","5.000",NA,NA
"465","scaffold0001:1849703|1964823","1.000","5.000",NA
"466","scaffold0001:1872731|1883748","1.000",NA,NA
"467","scaffold0001:1872731|1884582","3.000",NA,NA
"468","scaffold0001:1872731|1896017","38.000","42.000","15.000"
"469","scaffold0001:1872731|1920378",NA,"4.000","2.000"
"470","scaffold0001:1872731|1964823","19.000","23.000","12.000"
"471","scaffold0001:1883672|1896017","7.000",NA,NA
"472","scaffold0001:1883672|1920378",NA,NA,"3.000"
"473","scaffold0001:1884506|1896017","1.000",NA,NA
