"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100323660|100333636",2,NA,8
"97","scaffold0001:105611977|105627173",NA,1,6
"98","scaffold0001:10569361|10579892",3,NA,NA
"99","scaffold0001:10569361|10593086",4,5,NA
"100","scaffold0001:10569361|10628132",3,NA,NA
"101","scaffold0001:105740879|105752659",NA,3,NA
"102","scaffold0001:105745949|105746243",7,13,5
"103","scaffold0001:105749165|105752659",5,NA,NA
"104","scaffold0001:105783425|105784007",3,NA,3
"105","scaffold0001:105834688|105840238",9,11,13
"106","scaffold0001:105890423|105893432",8,NA,NA
"107","scaffold0001:105890423|105895155",13,24,18
"108","scaffold0001:105890423|105899374",2,NA,NA
"109","scaffold0001:105893249|105895155",5,NA,NA
"110","scaffold0001:105894572|105897363",NA,2,NA
"111","scaffold0001:105949103|105949636",NA,NA,4
"112","scaffold0001:106050669|106052678",NA,10,8
"113","scaffold0001:106050669|106058053",13,NA,21
"114","scaffold0001:106090615|106093140",NA,4,4
"115","scaffold0001:106090615|106096758",7,NA,NA
"116","scaffold0001:106090615|106101913",9,NA,16
"117","scaffold0001:106093050|106101913",43,15,10
"118","scaffold0001:106096631|106101913",5,NA,8
"119","scaffold0001:106248786|106301568",NA,4,NA
"120","scaffold0001:10627960|10628132",3,NA,NA
"121","scaffold0001:10703980|10727840",10,NA,NA
"122","scaffold0001:10775355|10780132",1,NA,NA
"123","scaffold0001:108069883|108072513",5,NA,NA
"124","scaffold0001:108118803|108125855",28,15,23
"125","scaffold0001:108190254|108192557",1,NA,NA
"126","scaffold0001:108190254|108194218",21,11,26
"127","scaffold0001:108244907|108245331",9,NA,NA
"128","scaffold0001:108530151|108549986",4,NA,NA
"129","scaffold0001:108531911|108549986",2,NA,NA
"130","scaffold0001:108549799|108561131",18,NA,NA
"131","scaffold0001:108560199|108561131",23,NA,NA
"132","scaffold0001:108598070|108598266",7,NA,NA
"133","scaffold0001:108598070|108606991",6,NA,NA
"134","scaffold0001:108615785|108616190",1,NA,NA
"135","scaffold0001:108744659|108760508",93,56,17
"136","scaffold0001:108744659|108765885",NA,NA,5
"137","scaffold0001:108744659|108767868",79,32,29
"138","scaffold0001:108744659|108813171",17,8,5
"139","scaffold0001:108760438|108767868",29,NA,11
"140","scaffold0001:108765728|108813171",NA,NA,1
"141","scaffold0001:108767760|108813171",NA,NA,2
"142","scaffold0001:108860732|108864665",NA,NA,3
"143","scaffold0001:108864555|108866470",8,NA,5
"144","scaffold0001:108878320|108883927",18,2,NA
"145","scaffold0001:108926029|108969622",3,NA,NA
"146","scaffold0001:108926113|108969622",NA,9,NA
"147","scaffold0001:108946233|108946387",NA,2,NA
"148","scaffold0001:108946233|108955620",5,19,12
"149","scaffold0001:108946233|108961172",12,15,23
"150","scaffold0001:108946233|108962971",9,10,4
"151","scaffold0001:108946233|108964015",36,5,7
"152","scaffold0001:108946233|108969622",183,67,65
"153","scaffold0001:108955536|108961172",23,9,18
"154","scaffold0001:108955536|108962971",19,5,13
"155","scaffold0001:108955536|108964015",32,NA,NA
"156","scaffold0001:108955536|108969622",NA,6,2
"157","scaffold0001:108961002|108969622",3,NA,NA
"158","scaffold0001:108962801|108969622",4,NA,NA
"159","scaffold0001:108963965|108969622",1,NA,NA
"160","scaffold0001:108967072|108969622",19,16,36
"161","scaffold0001:108967906|108969622",1,NA,NA
"162","scaffold0001:109298388|109304123",NA,NA,2
"163","scaffold0001:109298388|109304466",28,9,15
"164","scaffold0001:109300888|109304466",16,38,12
"165","scaffold0001:109303192|109304466",3,NA,NA
"166","scaffold0001:109362267|109366059",141,130,57
"167","scaffold0001:109362267|109369455",11,8,11
"168","scaffold0001:109364060|109369455",1,NA,NA
"169","scaffold0001:109365965|109369455",NA,NA,6
"170","scaffold0001:109435083|109438351",2,NA,NA
"171","scaffold0001:109556178|109557281",NA,NA,3
"172","scaffold0001:109557148|109557281",2,NA,NA
"173","scaffold0001:109557148|109557701",1,NA,NA
"174","scaffold0001:109907223|109938623",14,NA,NA
"175","scaffold0001:110138337|110139483",2,NA,NA
"176","scaffold0001:110147736|110148123",NA,6,5
"177","scaffold0001:110149644|110150151",1,NA,NA
"178","scaffold0001:11296065|11315946",NA,NA,2
"179","scaffold0001:11298609|11307375",11,2,1
"180","scaffold0001:11298609|11315946",2,NA,NA
"181","scaffold0001:11311454|11315946",3,NA,NA
"182","scaffold0001:11378995|11380665",NA,5,4
"183","scaffold0001:11418627|11419258",NA,3,NA
"184","scaffold0001:11433837|11439103",13,NA,1
"185","scaffold0001:11433837|11443983",NA,NA,3
"186","scaffold0001:11438373|11443983",NA,NA,1
"187","scaffold0001:11505110|11505331",NA,8,NA
"188","scaffold0001:11582441|11589525",11,NA,NA
"189","scaffold0001:11926988|11930109",NA,14,NA
"190","scaffold0001:11927652|11928189",2,NA,NA
"191","scaffold0001:12008820|12037747",3,NA,NA
"192","scaffold0001:12018073|12037747",NA,NA,3
"193","scaffold0001:12032069|12037747",1,NA,NA
"194","scaffold0001:12032069|12091450",NA,NA,3
"195","scaffold0001:12036668|12037747",25,17,4
"196","scaffold0001:12063936|12064545",1,19,NA
"197","scaffold0001:12063936|12091450",6,NA,2
"198","scaffold0001:12337900|12354394",NA,NA,4
"199","scaffold0001:12395793|12396805",6,NA,NA
"200","scaffold0001:13156527|13157172",4,NA,NA
"201","scaffold0001:13174522|13175828",NA,4,NA
"202","scaffold0001:13191603|13195377",NA,3,NA
"203","scaffold0001:13203654|13206196",10,3,3
"204","scaffold0001:13208008|13215339",NA,NA,6
"205","scaffold0001:13258904|13268550",NA,4,NA
"206","scaffold0001:13260417|13260824",11,NA,NA
"207","scaffold0001:13260417|13268550",3,NA,NA
"208","scaffold0001:13266214|13268550",4,NA,NA
"209","scaffold0001:13274681|13275476",7,NA,NA
"210","scaffold0001:13359854|13373232",NA,NA,5
"211","scaffold0001:13366171|13373232",17,12,NA
"212","scaffold0001:13380987|13384629",4,10,10
"213","scaffold0001:13380987|13385909",21,43,10
"214","scaffold0001:13767159|13768738",25,5,8
"215","scaffold0001:13786010|13811010",4,NA,3
"216","scaffold0001:13896082|13902312",NA,6,2
"217","scaffold0001:13904157|13904848",NA,NA,4
"218","scaffold0001:13935004|13945795",NA,6,NA
"219","scaffold0001:13941523|13941923",470,250,163
"220","scaffold0001:13941523|13944574",508,452,112
"221","scaffold0001:13941523|13945795",35,10,19
"222","scaffold0001:13941523|13951680",1,23,7
"223","scaffold0001:13944489|13951680",NA,1,NA
"224","scaffold0001:14026410|14026900",NA,3,NA
"225","scaffold0001:14027555|14027873",NA,11,11
"226","scaffold0001:14145393|14150135",1,NA,NA
"227","scaffold0001:15227327|15232833",3,NA,NA
"228","scaffold0001:15240172|15241550",NA,NA,1
"229","scaffold0001:15257066|15266500",4,NA,NA
"230","scaffold0001:15482714|15489002",18,NA,5
"231","scaffold0001:15504694|15507942",25,35,9
"232","scaffold0001:15543642|15548650",13,5,NA
"233","scaffold0001:15546671|15548650",NA,NA,2
"234","scaffold0001:15805802|15806011",3,NA,NA
"235","scaffold0001:15805802|15809919",9,NA,NA
"236","scaffold0001:15805802|15810806",9,NA,NA
"237","scaffold0001:15823967|15837209",1,NA,NA
"238","scaffold0001:15828040|15828384",NA,6,NA
"239","scaffold0001:15905337|15906565",11,NA,NA
"240","scaffold0001:15997079|16044855",1,NA,NA
"241","scaffold0001:16044723|16054270",5,5,NA
"242","scaffold0001:16044723|16078658",5,NA,NA
"243","scaffold0001:16078499|16081548",2,NA,NA
"244","scaffold0001:16078499|16091187",18,NA,NA
"245","scaffold0001:16322490|16324561",NA,NA,3
"246","scaffold0001:16506062|16507962",2,NA,NA
"247","scaffold0001:16517733|16524221",4,NA,NA
"248","scaffold0001:16568125|16573530",8,NA,NA
"249","scaffold0001:16613477|16615526",237,25,43
"250","scaffold0001:16625189|16626907",372,88,46
"251","scaffold0001:16625189|16627692",6,5,10
"252","scaffold0001:16625189|16629256",2,11,5
"253","scaffold0001:16627573|16633364",2,NA,NA
"254","scaffold0001:16629137|16633364",3,NA,NA
"255","scaffold0001:16765854|16779623",2,NA,NA
"256","scaffold0001:16765854|16784175",19,NA,NA
"257","scaffold0001:16765854|16830745",9,NA,NA
"258","scaffold0001:16770500|16830745",2,NA,NA
"259","scaffold0001:16776547|16779623",2,NA,NA
"260","scaffold0001:16889352|16933871",5,NA,NA
"261","scaffold0001:16905803|16933871",11,NA,NA
"262","scaffold0001:17025986|17091174",NA,3,NA
"263","scaffold0001:17431770|17459364",NA,NA,4
"264","scaffold0001:17506155|17512014",NA,NA,1
"265","scaffold0001:17506155|17513763",NA,NA,7
"266","scaffold0001:17506155|17520479",2,NA,1
"267","scaffold0001:17511894|17513763",121,49,40
"268","scaffold0001:17511894|17516848",NA,2,NA
"269","scaffold0001:17551685|17551883",NA,2,NA
"270","scaffold0001:17552763|17553400",8,NA,NA
"271","scaffold0001:17612401|17617822",NA,NA,3
"272","scaffold0001:17612401|17622296",117,42,52
"273","scaffold0001:182279|185366",NA,6,NA
"274","scaffold0001:182558|182736",48,NA,25
"275","scaffold0001:182559|182736",5,9,4
"276","scaffold0001:1849703|1896017",5,NA,NA
"277","scaffold0001:1872731|1883748",5,NA,2
"278","scaffold0001:1872731|1896017",77,68,34
"279","scaffold0001:1872731|1920378",NA,4,8
"280","scaffold0001:1872731|1964823",30,67,17
"281","scaffold0001:1883672|1912693",NA,NA,3
"282","scaffold0001:18857975|18872696",2,NA,NA
"283","scaffold0001:1895907|1912693",2,NA,2
"284","scaffold0001:1895907|1964823",NA,4,NA
"285","scaffold0001:1912578|1916246",NA,7,3
"286","scaffold0001:1912578|1920378",NA,12,4
"287","scaffold0001:1912578|1964823",9,NA,1
"288","scaffold0001:1914983|1920378",NA,26,NA
"289","scaffold0001:1915965|1916117",NA,2,NA
"290","scaffold0001:1920307|1964823",8,NA,NA
"291","scaffold0001:19264446|19272684",8,NA,9
"292","scaffold0001:19264446|19278403",19,27,10
"293","scaffold0001:19286422|19292003",NA,NA,2
"294","scaffold0001:19325737|19326517",8,NA,NA
"295","scaffold0001:19529397|19534320",19,5,1
"296","scaffold0001:1961449|1964823",212,171,113
"297","scaffold0001:19830012|19832324",NA,NA,3
"298","scaffold0001:19942710|19947462",10,NA,9
"299","scaffold0001:19956677|19963673",NA,NA,2
"300","scaffold0001:2007169|2009324",NA,226,203
"301","scaffold0001:2007169|2021932",NA,8,NA
"302","scaffold0001:2012047|2016763",27,137,99
"303","scaffold0001:2012047|2020839",NA,9,NA
"304","scaffold0001:2019834|2021932",NA,9,NA
"305","scaffold0001:2031187|2032123",5,NA,NA
"306","scaffold0001:2060568|2064719",48,20,31
"307","scaffold0001:20797504|20844049",2,NA,NA
"308","scaffold0001:20843984|20867299",3,NA,NA
"309","scaffold0001:20970221|20971844",NA,6,NA
"310","scaffold0001:21180074|21190496",3,NA,NA
"311","scaffold0001:21275686|21275927",7,NA,NA
"312","scaffold0001:21369770|21371569",6,7,NA
"313","scaffold0001:21374936|21376952",NA,1,NA
"314","scaffold0001:21384079|21384562",2,NA,NA
"315","scaffold0001:21410000|21410584",40,12,19
"316","scaffold0001:21413604|21417101",8,8,6
"317","scaffold0001:21424171|21424532",2,8,11
"318","scaffold0001:21437581|21439600",1,NA,NA
"319","scaffold0001:21438330|21440214",1,NA,NA
"320","scaffold0001:21438330|21441986",3,NA,NA
"321","scaffold0001:21440455|21441986",1,NA,NA
"322","scaffold0001:21440688|21442376",NA,NA,4
"323","scaffold0001:21440866|21442536",2,NA,NA
"324","scaffold0001:21441301|21441472",3,NA,NA
"325","scaffold0001:21441301|21441478",1,NA,NA
"326","scaffold0001:21444914|21449418",1,NA,NA
"327","scaffold0001:21464915|21465303",80,63,22
"328","scaffold0001:21465904|21467141",6,NA,NA
"329","scaffold0001:21477882|21478723",5,NA,NA
"330","scaffold0001:21482397|21482639",4,NA,NA
"331","scaffold0001:21491722|21491947",NA,3,NA
"332","scaffold0001:21511084|21511392",11,NA,2
"333","scaffold0001:21511754|21512273",NA,5,NA
"334","scaffold0001:21515147|21515269",NA,3,NA
"335","scaffold0001:21585477|21585660",NA,4,NA
"336","scaffold0001:21630332|21630730",1,NA,NA
"337","scaffold0001:21708636|21708882",12,NA,NA
"338","scaffold0001:21719476|21719628",5,NA,NA
"339","scaffold0001:21728817|21729053",NA,6,NA
"340","scaffold0001:21758680|21758972",3,NA,NA
"341","scaffold0001:21803446|21803669",8,NA,NA
"342","scaffold0001:21818523|21818713",2,NA,NA
"343","scaffold0001:21821524|21823457",NA,NA,2
"344","scaffold0001:21830473|21831194",2,NA,NA
"345","scaffold0001:21831650|21832062",4,NA,NA
"346","scaffold0001:2194437|2195076",2,NA,7
"347","scaffold0001:2194437|2206111",NA,NA,2
"348","scaffold0001:2194437|2211605",24,NA,NA
"349","scaffold0001:21984495|21986757",NA,1,NA
"350","scaffold0001:2205888|2211605",62,19,36
"351","scaffold0001:2205888|2230643",6,NA,NA
"352","scaffold0001:22079812|22080127",1,NA,NA
"353","scaffold0001:22210256|22210577",NA,NA,3
"354","scaffold0001:22210256|22212401",NA,NA,1
"355","scaffold0001:2234640|2236596",1,NA,NA
"356","scaffold0001:2234640|2241530",11,NA,NA
"357","scaffold0001:22380113|22383059",2,NA,NA
"358","scaffold0001:22422663|22423952",7,14,1
"359","scaffold0001:22422663|22438667",NA,1,NA
"360","scaffold0001:22463966|22467814",2,NA,NA
"361","scaffold0001:2251650|2255075",NA,NA,2
"362","scaffold0001:22516751|22516950",17,18,10
"363","scaffold0001:22618608|22619229",54,79,44
"364","scaffold0001:22618608|22620886",11,22,NA
"365","scaffold0001:22620401|22620886",7,6,NA
"366","scaffold0001:2270243|2271618",NA,NA,17
"367","scaffold0001:2272916|2283686",1,NA,NA
"368","scaffold0001:2279084|2283686",30,9,15
"369","scaffold0001:2279084|2284606",16,6,5
"370","scaffold0001:23083628|23085438",NA,1,NA
"371","scaffold0001:23083628|23090256",3,10,2
"372","scaffold0001:23083628|23090954",NA,1,NA
"373","scaffold0001:23083628|23092326",1,2,1
"374","scaffold0001:23092146|23092326",NA,NA,1
"375","scaffold0001:2329415|2332676",6,NA,NA
"376","scaffold0001:233250|233409",2,NA,NA
"377","scaffold0001:233250|233598",1,NA,NA
"378","scaffold0001:2335155|2335917",13,NA,2
"379","scaffold0001:233598|234188",1,NA,5
"380","scaffold0001:234188|234957",NA,NA,2
"381","scaffold0001:234427|238553",NA,NA,1
"382","scaffold0001:2368944|2369392",NA,NA,3
"383","scaffold0001:23713682|23717250",20,24,5
"384","scaffold0001:23745930|23751172",NA,NA,1
"385","scaffold0001:23747037|23751172",4,4,NA
"386","scaffold0001:23747911|23751172",5,2,2
"387","scaffold0001:23749620|23751172",67,NA,29
"388","scaffold0001:2375744|2377094",48,6,5
"389","scaffold0001:2375744|2379705",NA,1,NA
"390","scaffold0001:2375744|2385665",NA,1,NA
"391","scaffold0001:2376955|2413467",5,NA,NA
"392","scaffold0001:2379544|2385665",4,NA,NA
"393","scaffold0001:23887894|23891324",1,NA,NA
"394","scaffold0001:239454|239871",NA,15,NA
"395","scaffold0001:239666|239871",NA,NA,2
"396","scaffold0001:239950|241173",1,NA,NA
"397","scaffold0001:241173|241426",NA,NA,1
"398","scaffold0001:241173|241428",2,NA,NA
"399","scaffold0001:242150|242323",4,NA,NA
"400","scaffold0001:242550|242746",5,NA,NA
"401","scaffold0001:242746|242964",NA,NA,6
"402","scaffold0001:24303511|24308468",NA,8,NA
"403","scaffold0001:24306507|24308468",7,NA,NA
"404","scaffold0001:24306507|24312374",22,NA,11
"405","scaffold0001:243844|244292",NA,NA,5
"406","scaffold0001:24833926|24913360",1,NA,NA
"407","scaffold0001:24833926|24947738",5,NA,5
"408","scaffold0001:24913258|24947738",NA,NA,1
"409","scaffold0001:249229|249559",NA,NA,3
"410","scaffold0001:24947573|24960283",12,1,NA
"411","scaffold0001:24972709|24973252",NA,24,3
"412","scaffold0001:24972709|24988447",2,NA,NA
"413","scaffold0001:24986148|24988447",31,5,14
"414","scaffold0001:25139605|25142116",4,NA,NA
"415","scaffold0001:25147304|25149015",26,4,NA
"416","scaffold0001:25147304|25151488",3,NA,NA
"417","scaffold0001:25151278|25151488",4,NA,NA
"418","scaffold0001:25169981|25170208",18,9,NA
"419","scaffold0001:25194925|25201368",29,7,3
"420","scaffold0001:25213284|25213482",12,7,NA
"421","scaffold0001:25242568|25242962",205,97,50
"422","scaffold0001:25316453|25317911",NA,NA,2
"423","scaffold0001:25317911|25357857",5,NA,1
"424","scaffold0001:25317911|25384498",3,NA,NA
"425","scaffold0001:25775671|25783256",2,NA,NA
"426","scaffold0001:25834982|25838982",NA,NA,4
"427","scaffold0001:25844946|25845620",3,NA,NA
"428","scaffold0001:259667|264227",NA,1,NA
"429","scaffold0001:262458|274972",1,NA,NA
"430","scaffold0001:263476|263772",NA,8,NA
"431","scaffold0001:263538|263772",NA,NA,5
"432","scaffold0001:2635587|2635772",9,NA,NA
"433","scaffold0001:26464907|26465506",NA,3,NA
"434","scaffold0001:265467|267208",NA,NA,1
"435","scaffold0001:265467|267826",NA,NA,8
"436","scaffold0001:265467|272027",NA,4,NA
"437","scaffold0001:267622|272027",6,15,8
"438","scaffold0001:2695980|2696150",3,NA,NA
"439","scaffold0001:2695980|2698184",NA,NA,10
"440","scaffold0001:2695980|2706533",20,4,4
"441","scaffold0001:2695980|2714159",5,NA,NA
"442","scaffold0001:2695980|2745133",7,4,8
"443","scaffold0001:2698075|2706533",37,26,29
"444","scaffold0001:26991422|26995047",1,4,NA
"445","scaffold0001:27002178|27005228",9,NA,2
"446","scaffold0001:27027396|27028756",8,NA,NA
"447","scaffold0001:27031925|27032573",NA,NA,6
"448","scaffold0001:27038049|27051080",20,NA,NA
"449","scaffold0001:27044232|27048631",4,9,9
"450","scaffold0001:27044232|27051080",28,32,NA
"451","scaffold0001:27048451|27051080",15,1,3
"452","scaffold0001:2706367|2714159",3,NA,NA
"453","scaffold0001:2706367|2726468",5,NA,1
"454","scaffold0001:2706367|2729068",146,52,37
"455","scaffold0001:2706367|2743479",NA,NA,3
"456","scaffold0001:2706367|2745133",9,NA,4
"457","scaffold0001:27087171|27095176",4,NA,2
"458","scaffold0001:27087171|27103675",5,NA,NA
"459","scaffold0001:27093620|27095176",51,45,59
"460","scaffold0001:2714078|2745133",20,4,15
"461","scaffold0001:271874|275445",NA,NA,11
"462","scaffold0001:271874|277076",NA,NA,2
"463","scaffold0001:2726309|2729068",81,54,42
"464","scaffold0001:2726309|2745133",53,19,20
"465","scaffold0001:2728971|2745133",33,NA,NA
"466","scaffold0001:2743396|2745133",579,386,444
"467","scaffold0001:274858|277076",1880,1491,965
"468","scaffold0001:274858|278776",23,NA,NA
"469","scaffold0001:27972192|27973318",1,NA,NA
"470","scaffold0001:27972192|27975996",1,NA,NA
"471","scaffold0001:28182235|28185410",NA,NA,1
"472","scaffold0001:28224621|28225989",2,NA,NA
"473","scaffold0001:2827773|2834570",6,NA,NA
"474","scaffold0001:2832735|2834570",95,36,NA
"475","scaffold0001:2839431|2842947",6,NA,NA
"476","scaffold0001:2846870|2851167",7,NA,NA
"477","scaffold0001:2968063|2975874",1,6,NA
"478","scaffold0001:2974869|2975874",4,NA,NA
"479","scaffold0001:29874611|29914972",NA,1,NA
"480","scaffold0001:3042198|3043619",2,NA,NA
"481","scaffold0001:30514237|30514702",9,9,NA
"482","scaffold0001:30519534|30520000",1,NA,NA
"483","scaffold0001:30549768|30556104",2,9,NA
"484","scaffold0001:30549768|30563132",5,NA,NA
"485","scaffold0001:30568544|30573411",1,NA,NA
"486","scaffold0001:30647175|30656800",43,32,19
"487","scaffold0001:30647175|30675561",1,NA,NA
"488","scaffold0001:30656692|30675561",8,NA,2
"489","scaffold0001:32189379|32199679",2,NA,NA
"490","scaffold0001:32306340|32306779",1,10,NA
"491","scaffold0001:32306340|32313279",NA,12,NA
"492","scaffold0001:3235362|3235963",NA,NA,2
"493","scaffold0001:32403974|32410042",NA,4,NA
"494","scaffold0001:32403974|32435551",NA,2,2
"495","scaffold0001:32533351|32552088",6,NA,NA
"496","scaffold0001:32536817|32552088",1,NA,NA
"497","scaffold0001:32557882|32569804",1,NA,1
"498","scaffold0001:32557882|32575571",46,33,21
"499","scaffold0001:32557882|32580764",NA,NA,3
"500","scaffold0001:32569695|32586027",NA,10,NA
"501","scaffold0001:32690007|32690267",4,NA,4
"502","scaffold0001:32701385|32719487",4,5,NA
"503","scaffold0001:33367574|33378589",9,NA,NA
"504","scaffold0001:33367574|33408924",NA,4,NA
"505","scaffold0001:33378411|33497646",2,NA,NA
"506","scaffold0001:33674697|33715310",62,NA,NA
"507","scaffold0001:34523194|34545707",NA,15,NA
"508","scaffold0001:34529700|34545707",5,6,5
"509","scaffold0001:34536826|34545707",NA,NA,2
"510","scaffold0001:34545543|34564542",NA,NA,8
"511","scaffold0001:34557193|34564542",2,2,NA
"512","scaffold0001:34559525|34564542",29,17,12
"513","scaffold0001:34675568|34678194",NA,NA,2
"514","scaffold0001:34675568|34679808",NA,NA,24
"515","scaffold0001:34678046|34679808",21,17,10
"516","scaffold0001:34734149|34739571",NA,NA,2
"517","scaffold0001:34736064|34739571",NA,NA,1
"518","scaffold0001:3530206|3541672",17,NA,NA
"519","scaffold0001:3548788|3560864",5,NA,10
"520","scaffold0001:35653913|35656863",NA,NA,2
"521","scaffold0001:35696444|35708368",7,NA,NA
"522","scaffold0001:35706984|35708368",12,NA,NA
"523","scaffold0001:35765387|35784633",NA,2,NA
"524","scaffold0001:35765387|35787427",NA,1,NA
"525","scaffold0001:35765387|35790364",NA,3,NA
"526","scaffold0001:35848131|35860475",5,NA,3
"527","scaffold0001:35848131|35864807",NA,NA,4
"528","scaffold0001:35914454|35919847",3,NA,NA
"529","scaffold0001:35918208|35947607",NA,NA,3
"530","scaffold0001:35949840|35950041",7,NA,NA
"531","scaffold0001:35968320|35978995",27,8,22
"532","scaffold0001:36009112|36011639",3,NA,NA
"533","scaffold0001:36039644|36045223",NA,NA,1
"534","scaffold0001:36044296|36052883",6,NA,NA
"535","scaffold0001:36050222|36053768",10,16,6
"536","scaffold0001:36052895|36053652",NA,NA,2
"537","scaffold0001:36229967|36234692",NA,6,1
"538","scaffold0001:3623451|3624980",5,NA,NA
"539","scaffold0001:3627353|3628636",13,NA,8
"540","scaffold0001:36281567|36296394",2,NA,2
"541","scaffold0001:36283166|36296394",NA,6,NA
"542","scaffold0001:3628529|3633368",2,NA,NA
"543","scaffold0001:36447472|36448258",NA,NA,1
"544","scaffold0001:36759194|36765159",53,NA,14
"545","scaffold0001:37330866|37332994",46,8,14
"546","scaffold0001:3778530|3828438",1,NA,NA
"547","scaffold0001:38040620|38042942",1,3,NA
"548","scaffold0001:38052376|38053893",52,NA,NA
"549","scaffold0001:38052376|38057877",13,11,NA
"550","scaffold0001:38053848|38057877",7,NA,NA
