"circ_id","mpi1","mpi2","mpi3"
"scaffold0001:105535895|105552281",28,54,17
"scaffold0002:24130752|24133229",10,21,23
"scaffold0002:2625461|2650159",197,216,301
"scaffold0002:2625461|2655801",19,31,36
"scaffold0002:2643974|2650159",308,443,429
"scaffold0002:2643974|2655801",29,56,47
"scaffold0002:2690359|2690573",97,153,226
"scaffold0002:30963413|30966319",41,71,55
"scaffold0002:31059183|31060938",30,21,33
"scaffold0002:31059183|31067103",64,34,48
"scaffold0002:31699812|31704501",16,36,16
"scaffold0002:32466852|32491358",46,76,52
"scaffold0002:32909538|32911894",272,292,191
"scaffold0002:3441933|3447585",350,629,331
"scaffold0002:36641383|36645857",33,38,28
"scaffold0002:3803627|3803898",16,30,18
"scaffold0002:38634655|38637350",13,29,22
"scaffold0002:41343405|41355332",31,98,36
"scaffold0002:4141344|4142926",18,27,14
"scaffold0002:4141344|4180376",51,83,34
"scaffold0002:4141344|4190473",29,37,13
"scaffold0002:41882390|41882839",33,60,69
"scaffold0002:42062516|42071680",18,39,13
"scaffold0002:42102188|42108146",10,22,15
"scaffold0002:43877523|43884213",80,109,68
"scaffold0002:45011010|45011601",15,18,15
"scaffold0002:48917918|48924153",28,22,44
"scaffold0002:48917918|48933209",41,75,52
"scaffold0002:48945761|48946548",78,124,42
"scaffold0002:48945761|48950233",77,101,71
"scaffold0002:48945761|48954394",101,254,201
"scaffold0002:50745540|50748201",17,20,31
"scaffold0002:52237522|52260969",23,32,12
"scaffold0002:52242965|52260969",56,73,42
"scaffold0002:52253862|52260969",34,63,22
"scaffold0002:52258850|52260969",10,47,21
"scaffold0002:52274696|52275656",35,105,66
"scaffold0002:52274696|52290806",16,15,36
"scaffold0002:5236213|5236914",29,54,14
"scaffold0002:52545085|52546014",13,26,24
"scaffold0002:5260128|5263685",69,146,92
"scaffold0002:5260128|5266360",11,23,11
"scaffold0002:52931020|52951416",28,34,15
"scaffold0002:53134199|53136851",60,79,47
"scaffold0002:53136153|53136851",36,119,53
"scaffold0002:53882793|53884565",29,72,37
"scaffold0002:54344696|54349128",70,73,48
"scaffold0002:54348170|54349128",23,61,38
"scaffold0002:54348170|54352616",10,32,34
"scaffold0002:54368332|54369238",26,11,13
"scaffold0002:54844978|54860075",23,68,46
"scaffold0002:54844978|54867688",51,123,94
"scaffold0002:54859940|54867688",18,50,19
"scaffold0002:54866251|54867688",43,89,64
"scaffold0002:57902074|57906043",32,69,41
"scaffold0002:58547967|58552757",21,17,16
"scaffold0002:58562351|58564141",15,43,40
"scaffold0002:59641519|59660836",68,99,71
"scaffold0002:6041972|6049058",36,78,31
"scaffold0002:6423628|6424158",11,20,21
"scaffold0002:65507912|65511646",12,14,10
"scaffold0002:65663959|65668657",16,36,60
"scaffold0002:65724476|65738768",59,87,47
"scaffold0002:65724476|65742091",50,108,68
"scaffold0002:66151774|66152502",13,16,25
"scaffold0002:66657812|66658231",37,51,23
"scaffold0002:70016027|70016352",11,14,22
"scaffold0002:7475910|7477099",14,54,29
"scaffold0002:7550373|7550683",211,252,277
"scaffold0002:76996410|76997462",17,22,44
"scaffold0002:7898353|7899470",140,217,148
"scaffold0002:79025344|79028173",172,266,139
"scaffold0002:79041758|79044950",22,21,10
"scaffold0002:80176807|80187549",94,155,68
"scaffold0002:80244298|80244559",13,33,10
"scaffold0002:80313129|80314435",1518,2597,1584
"scaffold0002:84182636|84192840",28,24,25
"scaffold0002:8418630|8419363",52,42,85
"scaffold0002:86251953|86255957",54,64,43
"scaffold0002:8965399|8967325",32,70,49
"scaffold0002:906999|914009",30,38,36
"scaffold0002:913906|915190",25,26,24
"scaffold0002:95976971|95981681",16,42,37
"scaffold0003:100371918|100372877",73,63,83
"scaffold0003:100636473|100641072",27,40,51
"scaffold0003:100636473|100647439",439,495,416
"scaffold0003:100636473|100662389",137,140,96
"scaffold0003:100636494|100647439",65,104,64
"scaffold0003:100636499|100641479",43,105,24
"scaffold0003:100641030|100647439",64,74,71
"scaffold0003:100647342|100657191",18,29,24
"scaffold0003:100657116|100662389",17,24,17
"scaffold0003:101135891|101139426",33,23,26
"scaffold0003:103170146|103170443",49,26,52
"scaffold0003:103685666|103688916",24,22,15
"scaffold0003:104099482|104101523",49,40,35
"scaffold0003:104108498|104113091",34,10,10
"scaffold0003:104366410|104367095",17,25,19
"scaffold0003:104440016|104440361",19,25,18
"scaffold0003:105106120|105106769",58,42,42
"scaffold0003:105123943|105124447",21,19,22
"scaffold0003:105251766|105251990",22,18,41
"scaffold0003:105787511|105787823",20,18,28
"scaffold0003:108289944|108303726",69,117,97
"scaffold0003:108684560|108697786",83,77,60
"scaffold0003:108730606|108743184",74,90,55
"scaffold0003:108736574|108743184",10,27,17
"scaffold0003:108782441|108783299",82,133,122
"scaffold0003:108782441|108812685",23,19,13
"scaffold0003:109097942|109106356",30,34,20
"scaffold0003:109157448|109158672",32,46,56
"scaffold0003:109193488|109193880",75,100,87
"scaffold0003:109249097|109249809",19,40,26
"scaffold0003:109541546|109546846",219,312,216
"scaffold0003:110617699|110618309",40,61,86
"scaffold0003:1117089|1118262",14,16,10
"scaffold0003:111763459|111764080",38,40,23
"scaffold0003:112612757|112648324",29,38,35
"scaffold0003:112616321|112647810",60,42,36
"scaffold0003:112626764|112628303",18,48,34
"scaffold0003:112647688|112648324",34,34,48
"scaffold0003:112664432|112671627",15,14,12
"scaffold0003:12794238|12809690",13,14,18
"scaffold0003:12801893|12807002",106,171,142
"scaffold0003:12804832|12809690",47,34,26
"scaffold0003:1475309|1491462",65,59,16
"scaffold0003:15310654|15311874",18,14,10
"scaffold0003:16113776|16124443",20,22,12
"scaffold0003:1676258|1678857",24,29,11
"scaffold0003:24873786|24884628",41,121,92
"scaffold0003:31517975|31519761",41,35,43
"scaffold0003:31610602|31610958",13,14,12
"scaffold0003:32485163|32501134",31,19,15
"scaffold0003:3350799|3362343",38,73,38
"scaffold0003:33547606|33555915",42,44,39
"scaffold0003:33554813|33559226",33,29,21
"scaffold0003:3358362|3362343",95,107,99
"scaffold0003:3358362|3369785",29,62,37
"scaffold0003:34375485|34378958",13,32,13
"scaffold0003:34375485|34382243",16,21,23
"scaffold0003:34382126|34395266",23,38,16
"scaffold0003:34427982|34430050",39,73,29
"scaffold0003:34918483|34944456",48,20,10
"scaffold0003:3532427|3540257",50,121,60
"scaffold0003:37005974|37013231",19,27,33
"scaffold0003:37167260|37168821",47,83,42
"scaffold0003:3780056|3787597",29,41,18
"scaffold0003:38060022|38060591",265,326,198
"scaffold0003:38201956|38211631",30,19,12
"scaffold0003:39556508|39560779",24,17,10
"scaffold0003:39944899|39945694",10,10,15
"scaffold0003:40095166|40099071",44,43,36
"scaffold0003:42865012|42865309",24,71,38
"scaffold0003:43468038|43476263",19,18,11
"scaffold0003:44111360|44126526",26,20,11
"scaffold0003:47838010|47851208",60,96,68
"scaffold0003:48893395|48902974",34,39,26
"scaffold0003:490735|491214",37,40,22
"scaffold0003:490735|498056",44,28,25
"scaffold0003:52853648|52858943",21,42,11
"scaffold0003:52897605|52903595",16,32,15
"scaffold0003:52897605|52914858",29,27,33
"scaffold0003:5406773|5408744",26,24,27
"scaffold0003:57587633|57587890",159,363,260
"scaffold0003:5994595|5997564",30,43,16
"scaffold0003:6052345|6058582",15,27,15
"scaffold0003:6151834|6153535",166,194,170
"scaffold0003:6217861|6220424",19,23,33
"scaffold0003:62864617|62878206",38,44,26
"scaffold0003:63203369|63220455",21,33,11
"scaffold0003:63796656|63799580",129,79,62
"scaffold0003:63796656|63817773",30,50,48
"scaffold0003:63796656|63829483",62,73,63
"scaffold0003:65551370|65559255",22,32,15
"scaffold0003:66172071|66174414",200,259,232
"scaffold0003:67582963|67584961",58,88,68
"scaffold0003:70675219|70676550",24,36,31
"scaffold0003:70893986|70895773",18,11,22
"scaffold0003:7331429|7344948",33,25,35
"scaffold0003:7346249|7359323",22,29,21
"scaffold0003:7351496|7366728",36,80,58
"scaffold0003:7357666|7366728",532,883,561
"scaffold0003:73840888|73842066",29,36,20
"scaffold0003:73994769|74011247",30,34,39
"scaffold0003:7437219|7438048",207,215,231
"scaffold0003:74881560|74881815",36,32,69
"scaffold0003:78362508|78364650",10,20,11
"scaffold0003:79073277|79086368",18,16,15
"scaffold0003:79080432|79092537",96,32,62
"scaffold0003:79085400|79086368",14,12,19
"scaffold0003:79357480|79358123",10,15,23
"scaffold0003:80106427|80106801",76,36,65
"scaffold0003:81764529|81767627",10,42,19
"scaffold0003:81970660|81982772",17,10,23
"scaffold0003:81977305|81978499",17,36,21
"scaffold0003:81977305|81982772",19,29,10
"scaffold0003:81981997|81982772",30,70,25
"scaffold0003:82001047|82014539",13,11,10
"scaffold0003:82008299|82014539",30,62,24
"scaffold0003:82899288|82916570",15,16,21
"scaffold0003:83033915|83036701",41,65,31
"scaffold0003:8438030|8440968",13,15,14
"scaffold0003:84836921|84837133",30,32,38
"scaffold0003:8544279|8553716",20,42,16
"scaffold0003:86980409|86988143",17,33,18
"scaffold0003:86987977|86990656",22,43,18
"scaffold0003:87203305|87209586",39,92,25
"scaffold0003:87521232|87523769",88,78,151
"scaffold0003:87645991|87648481",16,30,15
"scaffold0003:87817668|87818878",15,12,19
"scaffold0003:88141642|88142128",16,13,17
"scaffold0003:89714804|89715889",284,270,428
"scaffold0003:89762478|89764453",307,441,502
"scaffold0003:90072370|90074698",41,44,25
"scaffold0003:90282835|90283527",10,23,18
"scaffold0003:90288484|90289773",26,30,20
"scaffold0003:90288484|90291813",30,12,27
"scaffold0003:90508102|90529166",10,34,15
"scaffold0003:92820924|92824964",183,264,200
"scaffold0003:92820924|92831109",85,108,107
"scaffold0003:92820924|92839951",171,166,116
"scaffold0003:92830980|92839951",11,18,20
"scaffold0003:93357689|93393321",22,13,18
"scaffold0003:93389288|93393321",26,41,39
"scaffold0003:93485215|93491232",39,29,44
"scaffold0003:9391994|9464282",19,20,10
"scaffold0003:95122669|95123684",29,54,35
"scaffold0003:99254523|99255730",50,40,14
"scaffold0003:99726586|99734717",10,26,10
"scaffold0004:100366549|100366917",1661,1678,1628
"scaffold0004:101951876|101961800",235,438,486
"scaffold0004:103888047|103896778",18,50,39
"scaffold0004:104080808|104089060",15,14,18
"scaffold0004:104355767|104363691",26,58,29
"scaffold0004:104491020|104495222",21,20,22
"scaffold0004:104562965|104574544",99,36,53
"scaffold0004:11580463|11596709",84,125,80
"scaffold0004:11590419|11596709",10,15,12
"scaffold0004:15021758|15024679",92,37,62
"scaffold0004:1621383|1633419",144,143,84
"scaffold0004:1621383|1645317",27,36,24
"scaffold0004:17344597|17345241",13,11,23
"scaffold0004:17374868|17376798",24,45,12
"scaffold0004:17494159|17499311",108,122,103
"scaffold0004:17637003|17637281",53,51,36
"scaffold0004:17637003|17644633",11,12,14
"scaffold0004:17899598|17899927",33,62,22
"scaffold0004:1980147|1992200",24,48,26
"scaffold0004:20952576|20953824",15,15,17
"scaffold0004:2117778|2139336",70,88,69
"scaffold0004:21247220|21251654",25,32,16
"scaffold0004:21247220|21266608",37,61,46
"scaffold0004:21265230|21266608",129,203,161
"scaffold0004:30239889|30240637",40,62,37
"scaffold0004:30361416|30366390",158,246,200
"scaffold0004:31699279|31699407",13,139,14
"scaffold0004:31699279|31699425",19,123,13
"scaffold0004:35905389|35916590",69,93,70
"scaffold0004:37344598|37374242",46,47,22
"scaffold0004:39566229|39567273",26,27,35
"scaffold0004:39816078|39816898",10,24,11
"scaffold0004:39898091|39899753",42,56,25
"scaffold0004:40261242|40261446",10,20,19
"scaffold0004:40499884|40500744",172,276,200
"scaffold0004:40991790|40999180",16,32,14
"scaffold0004:41026959|41031103",17,22,14
"scaffold0004:41237191|41241382",20,24,24
"scaffold0004:41366637|41371694",33,35,13
"scaffold0004:41627460|41631609",16,15,11
"scaffold0004:41654769|41658877",21,33,15
"scaffold0004:41686477|41687992",11,17,11
"scaffold0004:41713170|41722312",19,35,21
"scaffold0004:41757258|41767507",13,17,19
"scaffold0004:41767115|41767507",137,218,130
"scaffold0004:41805446|41806647",28,52,28
"scaffold0004:42005634|42010001",13,10,15
"scaffold0004:42013756|42014256",12,11,19
"scaffold0004:42276284|42278460",88,158,126
"scaffold0004:42836488|42837617",22,14,20
"scaffold0004:42961098|42964954",32,31,18
"scaffold0004:4436403|4442790",25,40,23
"scaffold0004:4436403|4457419",27,32,22
"scaffold0004:46691802|46692810",15,29,16
"scaffold0004:46790018|46792079",15,43,25
"scaffold0004:46914732|46920586",11,19,13
"scaffold0004:47487410|47493239",59,37,15
"scaffold0004:47801791|47805903",19,49,18
"scaffold0004:47801791|47806776",12,17,19
"scaffold0004:47805759|47806776",95,132,52
"scaffold0004:47975663|47985946",11,40,36
"scaffold0004:48044711|48046882",54,127,81
"scaffold0004:48045547|48046882",58,153,134
"scaffold0004:48628899|48631584",24,43,21
"scaffold0004:48853609|48853940",403,568,539
"scaffold0004:51889031|51900643",233,156,87
"scaffold0004:52342043|52343678",25,48,36
"scaffold0004:52727593|52727898",119,127,175
"scaffold0004:52727593|52740446",103,127,88
"scaffold0004:52731825|52740446",17,17,11
"scaffold0004:54751549|54756880",1075,1758,815
"scaffold0004:54751549|54756901",13,24,12
"scaffold0004:54752511|54756880",63,71,36
"scaffold0004:54888431|54894708",38,43,50
"scaffold0004:57543128|57544085",54,76,51
"scaffold0004:58853004|58857964",195,364,174
"scaffold0004:58853004|58886840",29,16,12
"scaffold0004:58909610|58910164",11,18,27
"scaffold0004:59061909|59062322",34,35,21
"scaffold0004:59061909|59067706",10,22,22
"scaffold0004:59488311|59488817",136,341,221
"scaffold0004:59633769|59633931",11,20,21
"scaffold0004:60335867|60337897",62,50,51
"scaffold0004:60349037|60350239",104,114,142
"scaffold0004:61501087|61502892",29,29,37
"scaffold0004:61501087|61507757",111,112,75
"scaffold0004:62168811|62173286",54,55,43
"scaffold0004:62479292|62499159",23,24,15
"scaffold0004:62641123|62666748",13,12,17
"scaffold0004:62923017|62923461",28,57,32
"scaffold0004:62969597|62972083",32,74,31
"scaffold0004:6398243|6398528",18,28,12
"scaffold0004:6417142|6418868",58,93,72
"scaffold0004:6417142|6444128",294,529,299
"scaffold0004:6417142|6452079",26,24,18
"scaffold0004:64371131|64371353",29,81,34
"scaffold0004:6465231|6492580",10,19,11
"scaffold0004:65577406|65581843",23,25,31
"scaffold0004:66227365|66228624",32,35,21
"scaffold0004:66445652|66459972",29,93,45
"scaffold0004:66765597|66766369",91,179,69
"scaffold0004:68774381|68786173",166,240,81
"scaffold0004:6919615|7048550",182,175,90
"scaffold0004:6983930|7048550",33,13,12
"scaffold0004:70004898|70006539",78,140,68
"scaffold0004:7022896|7029354",17,20,15
"scaffold0004:7022896|7048550",66,101,80
"scaffold0004:7025845|7048550",400,629,513
"scaffold0004:7025845|7106719",21,28,29
"scaffold0004:7029212|7048550",1482,2853,1656
"scaffold0004:7029212|7106719",81,154,118
"scaffold0004:75216520|75217414",15,46,12
"scaffold0004:75217241|75217414",17,16,10
"scaffold0004:76384406|76398772",17,12,15
"scaffold0004:76476094|76476482",22,39,37
"scaffold0004:79260470|79260683",184,286,223
"scaffold0004:79277938|79284936",14,25,21
"scaffold0004:79567416|79568400",22,42,23
"scaffold0004:79719926|79720126",669,768,1027
"scaffold0004:79766551|79767862",69,73,66
"scaffold0004:80582919|80591882",19,40,46
"scaffold0004:81918674|81927412",14,18,14
"scaffold0004:82497374|82499810",10,20,11
"scaffold0004:82499682|82514318",17,41,25
"scaffold0004:82591522|82593184",44,45,43
"scaffold0004:82808616|82813471",17,16,19
"scaffold0004:83174846|83175248",33,20,18
"scaffold0004:83614352|83614507",13,33,41
"scaffold0004:83614352|83616634",157,35,27
"scaffold0004:83615622|83616634",57,95,54
"scaffold0004:85632587|85635781",32,30,34
"scaffold0004:85752091|85754254",22,10,18
"scaffold0004:8622453|8624604",26,24,12
"scaffold0004:88529006|88538971",15,18,17
"scaffold0004:88855242|88859275",16,24,16
"scaffold0004:89086107|89087171",32,33,26
"scaffold0004:93830748|93832619",10,50,20
"scaffold0004:94254285|94256982",19,40,18
"scaffold0004:94255038|94268951",18,23,10
"scaffold0004:94315113|94316162",22,39,29
"scaffold0004:95894786|95916491",24,52,24
"scaffold0004:95894786|95944154",15,38,18
"scaffold0004:95913103|95916491",10,20,17
"scaffold0004:95913103|95927391",44,56,21
"scaffold0004:95913103|95944154",62,107,48
"scaffold0004:95927173|95944154",681,1411,803
"scaffold0004:96640397|96645162",27,10,12
"scaffold0004:96645961|96648463",11,12,11
"scaffold0004:9695278|9701692",12,22,12
"scaffold0004:96980421|96989963",13,12,11
"scaffold0004:97586348|97587961",20,29,16
"scaffold0004:98220510|98224688",26,65,31
"scaffold0004:98224506|98225499",12,17,11
"scaffold0004:98452879|98459073",48,57,32
"scaffold0004:99678047|99686429",18,25,14
"scaffold0005:1008421|1010921",74,52,85
"scaffold0005:1311108|1313160",2477,3580,2447
"scaffold0005:14927740|14947299",24,24,20
"scaffold0005:17652604|17662024",15,10,11
"scaffold0005:17717829|17719323",69,74,71
"scaffold0005:17755059|17757316",36,30,18
"scaffold0005:18304754|18305894",35,56,35
"scaffold0005:20282497|20285858",106,181,155
"scaffold0005:20518058|20520706",40,27,61
"scaffold0005:21681225|21689816",68,26,21
"scaffold0005:24674107|24678382",104,167,75
"scaffold0005:2469477|2479810",34,11,22
"scaffold0005:2538525|2541236",28,54,14
"scaffold0005:2633091|2635970",35,64,33
"scaffold0005:2700986|2702904",21,35,26
"scaffold0005:27790345|27790702",198,167,82
"scaffold0005:28703666|28704660",15,19,13
"scaffold0005:29433991|29448959",23,23,36
"scaffold0005:29439689|29448959",57,85,35
"scaffold0005:29626798|29629583",78,67,72
"scaffold0005:29628117|29629583",579,1137,637
"scaffold0005:29778831|29790062",12,25,15
"scaffold0005:29783817|29790062",19,15,15
"scaffold0005:3036805|3037164",282,495,259
"scaffold0005:30404693|30405264",162,213,247
"scaffold0005:30744112|30747369",25,28,28
"scaffold0005:3184615|3189288",443,882,229
"scaffold0005:3184615|3194286",25,25,15
"scaffold0005:32231326|32231898",273,354,175
"scaffold0005:3251986|3253986",641,853,648
"scaffold0005:33439857|33444017",17,17,12
"scaffold0005:33473042|33473518",69,71,73
"scaffold0005:33979925|33981618",69,108,78
"scaffold0005:34010026|34010549",64,200,104
"scaffold0005:34767465|34768097",58,32,34
"scaffold0005:35795368|35797577",160,253,187
"scaffold0005:35795368|35804668",16,51,40
"scaffold0005:35795368|35832742",23,19,25
"scaffold0005:362905|364133",20,11,28
"scaffold0005:37451227|37452865",13,21,26
"scaffold0005:379775|381949",39,30,18
"scaffold0005:38570983|38571397",131,140,163
"scaffold0005:38598888|38602728",16,23,26
"scaffold0005:39226433|39249556",64,55,52
