"","circ_id","hsa1","hsa2","hsa3"
"1","1:10275427|10278128",NA,3,NA
"47","1:156333546|156334918",NA,NA,3
"48","1:15638306|15643650",NA,3,NA
"49","1:156853496|156853751",1,NA,NA
"50","1:156951572|156955799",NA,4,NA
"51","1:157835681|157835834",1,NA,NA
"52","1:15911100|15916279",NA,2,NA
"53","1:161131953|161132105",1,NA,NA
"54","1:161173452|161173604",NA,NA,1
"55","1:165598622|165598786",1,NA,NA
"56","1:166862202|166863921",NA,5,NA
"57","1:171523220|171532961",NA,1,NA
"58","1:172131174|172253682",NA,NA,2
"59","1:179120189|179121867",NA,1,NA
"60","1:179131310|179133374",NA,5,NA
"61","1:179335505|179337896",NA,NA,3
"62","1:180084017|180087717",NA,5,NA
"63","1:1804418|1806538",NA,4,NA
"64","1:1804418|1817875",NA,14,NA
"65","1:180863707|180873942",NA,1,NA
"66","1:186065429|186066432",NA,NA,2
"67","1:19178836|19179050",2,NA,NA
"68","1:19192187|19192540",NA,NA,2
"69","1:192184159|192184352",NA,NA,2
"70","1:1944178|1944330",NA,3,NA
"71","1:197642710|197658369",NA,1,1
"72","1:200914059|200914407",NA,NA,1
"73","1:203816925|203818689",NA,2,NA
"74","1:204040936|204041091",NA,NA,1
"75","1:204870700|204870873",1,NA,NA
"76","1:20770929|20773610",NA,17,NA
"77","1:20969473|21002808",1,NA,NA
"78","1:210400467|210418325",NA,2,NA
"79","1:21050865|21089213",NA,NA,2
"80","1:21050865|21111383",NA,7,NA
"81","1:211353238|211354467",NA,NA,1
"82","1:211422538|211426283",NA,1,NA
"83","1:215086367|215086678",NA,9,NA
"84","1:215086367|215124750",NA,6,NA
"85","1:215169198|215172183",NA,5,NA
"86","1:215586494|215595471",NA,13,7
"87","1:21701497|21703618",NA,3,3
"88","1:21715388|21721764",NA,17,NA
"89","1:21747066|21753119",NA,NA,1
"90","1:21748137|21751615",NA,1,NA
"91","1:222058737|222059005",NA,2,NA
"92","1:222632164|222645685",NA,4,NA
"93","1:223804173|223806947",NA,5,NA
"94","1:224393827|224399034",NA,1,NA
"95","1:225167938|225185425",NA,3,NA
"96","1:22601088|22601290",NA,NA,1
"97","1:226899555|226899722",NA,NA,1
"98","1:228215829|228216047",1,NA,NA
"99","1:23030468|23044486",NA,8,NA
"100","1:23030468|23050520",NA,16,2
"101","1:230498966|230499126",NA,NA,1
"102","1:23071224|23072197",NA,1,NA
"103","1:231370561|231374099",NA,4,NA
"104","1:231537212|231542611",NA,3,NA
"105","1:231818328|231818517",NA,8,NA
"106","1:235194012|235214026",1,NA,NA
"107","1:235434203|235437474",NA,5,NA
"108","1:23793930|23794092",1,NA,NA
"109","1:243293090|243330692",NA,1,NA
"110","1:243378720|243418076",NA,3,NA
"111","1:24514313|24514567",NA,1,NA
"112","1:245915529|245929937",NA,3,NA
"113","1:248750855|248751029",1,NA,NA
"114","1:26446315|26447660",NA,16,NA
"115","1:26446315|26460144",NA,5,NA
"116","1:26941456|26941818",NA,NA,4
"117","1:26942659|26943065",NA,3,5
"118","1:28476106|28480604",NA,NA,3
"119","1:28580559|28581229",NA,8,NA
"120","1:28691709|28691899",1,NA,NA
"121","1:28742402|28743986",NA,NA,1
"122","1:28887210|28887401",NA,3,NA
"123","1:29154695|29154910",NA,6,1
"124","1:30945345|30950261",NA,NA,1
"125","1:31005852|31007102",NA,NA,4
"126","1:31055312|31059577",NA,4,NA
"127","1:31337174|31339048",NA,2,NA
"128","1:31425775|31426823",NA,2,NA
"129","1:31428977|31429538",NA,3,NA
"130","1:31658308|31658487",NA,1,NA
"131","1:32030297|32031640",NA,6,NA
"132","1:32226170|32226530",NA,NA,3
"133","1:32326938|32327677",NA,1,NA
"134","1:32948221|32949774",NA,7,5
"135","1:35415465|35415714",NA,3,NA
"136","1:36321778|36321942",NA,NA,1
"137","1:36358238|36362656",NA,4,NA
"138","1:36361220|36362656",NA,20,7
"139","1:39370029|39372596",NA,3,NA
"140","1:39434413|39439500",NA,2,NA
"141","1:39568640|39568801",1,NA,NA
"142","1:39568801|39572586",NA,1,NA
"143","1:40406735|40409835",NA,7,NA
"144","1:41070405|41070594",NA,NA,1
"145","1:41070594|41075451",NA,4,3
"146","1:41484386|41484537",NA,NA,1
"147","1:42265114|42278672",NA,4,NA
"148","1:43553491|43569778",NA,3,NA
"149","1:43592601|43592765",1,NA,NA
"150","1:43920403|43920928",NA,NA,3
"151","1:45566568|45567020",NA,8,NA
"152","1:45640209|45642499",NA,8,NA
"153","1:45714245|45717017",NA,NA,1
"154","1:46273465|46273655",NA,NA,2
"155","1:47374985|47375143",NA,NA,2
"156","1:49175082|49175262",1,NA,NA
"157","1:50705785|50744775",NA,NA,1
"158","1:52477707|52481923",NA,NA,3
"159","1:55040403|55040560",1,NA,NA
"160","1:59321535|59346398",NA,4,NA
"161","1:59321535|59457076",NA,NA,2
"162","1:59339957|59378837",NA,8,3
"163","1:62577261|62578966",NA,2,NA
"164","1:63412061|63412269",NA,NA,3
"165","1:64676894|64679756",NA,2,NA
"166","1:64812737|64814840",NA,5,NA
"167","1:65913244|65918835",NA,1,NA
"168","1:75749418|75750546",NA,NA,4
"169","1:77711746|77715868",NA,3,NA
"170","1:7777159|7778169",NA,18,NA
"171","1:8495062|8557523",NA,6,NA
"172","1:8541213|8557523",NA,3,4
"173","1:8541213|8614686",NA,NA,4
"174","1:8614560|8624380",NA,2,NA
"175","1:86715723|86719635",NA,4,NA
"176","1:8875543|8875788",1,NA,NA
"177","1:91695671|91758750",NA,2,NA
"178","1:91734775|91758750",NA,3,NA
"179","1:91861470|91861644",NA,NA,2
"180","1:93894613|93901669",NA,NA,3
"181","1:94220257|94231643",NA,4,NA
"182","1:94324245|94324406",NA,NA,2
"183","1:97549559|97573970",NA,3,NA
"184","1:9931890|9934860",NA,NA,6
"185","1:99766442|99766606",1,NA,NA
"186","10:101672914|101676436",NA,NA,1
"187","10:101792838|101810314",NA,4,NA
"188","10:102227757|102227951",NA,1,NA
"189","10:102376934|102377128",NA,NA,1
"190","10:102685815|102705489",NA,1,NA
"191","10:103438014|103438808",NA,1,1
"192","10:103622469|103661114",NA,3,NA
"193","10:104032455|104032673",2,NA,NA
"194","10:109892302|109892488",NA,NA,3
"195","10:110124016|110130486",NA,4,NA
"196","10:110596397|110598290",NA,3,NA
"197","10:110917842|110918120",NA,NA,1
"198","10:113040024|113089540",NA,4,NA
"199","10:119038237|119038439",NA,7,3
"200","10:120980495|120980651",NA,NA,1
"201","10:122416002|122416204",1,NA,NA
"202","10:124408541|124408965",NA,2,NA
"203","10:127008731|127012374",NA,11,NA
"204","10:127024783|127025103",1,NA,NA
"205","10:127037718|127043164",NA,7,NA
"206","10:12824552|12824714",NA,1,NA
"207","10:129467296|129467503",NA,NA,2
"208","10:131775175|131775348",NA,1,NA
"209","10:132710456|132710738",NA,1,NA
"210","10:133302604|133302758",NA,1,NA
"211","10:13670405|13675044",NA,NA,2
"212","10:17704430|17705741",NA,9,NA
"213","10:18666635|18666897",NA,NA,4
"214","10:20957730|20961779",NA,1,NA
"215","10:24381067|24381271",NA,NA,3
"216","10:24494499|24513434",NA,NA,1
"217","10:2501305|2501494",NA,1,NA
"218","10:26503196|26511906",NA,2,NA
"219","10:27122840|27126786",NA,7,NA
"220","10:27134830|27136385",NA,3,NA
"221","10:27142115|27142386",NA,NA,3
"222","10:27158548|27161182",NA,3,NA
"223","10:29657968|29686651",NA,2,NA
"224","10:3158913|3160330",NA,4,NA
"225","10:31852516|31854206",NA,1,NA
"226","10:34269656|34284245",NA,NA,6
"227","10:35060873|35071339",NA,4,2
"228","10:37803832|37838111",NA,3,NA
"229","10:45071042|45071246",NA,NA,1
"230","10:45737982|45740246",NA,2,NA
"231","10:46014443|46016694",1,NA,NA
"232","10:46795805|46798168",NA,3,2
"233","10:4830674|4842504",NA,NA,3
"234","10:48401611|48404981",NA,1,NA
"235","10:48803359|48803519",2,NA,NA
"236","10:49500537|49506012",NA,NA,1
"237","10:50460672|50590247",NA,3,NA
"238","10:5794884|5800705",NA,9,NA
"239","10:5796762|5800705",NA,2,NA
"240","10:5916456|5916607",1,NA,NA
"241","10:59832524|59852702",NA,3,NA
"242","10:63380317|63380482",NA,3,NA
"243","10:63610186|63619800",NA,1,NA
"244","10:68296265|68306903",NA,NA,2
"245","10:68393137|68394451",NA,1,NA
"246","10:68468122|68470163",NA,4,NA
"247","10:68722454|68773099",NA,1,NA
"248","10:68749135|68749685",NA,2,NA
"249","10:68771205|68773099",NA,6,NA
"250","10:68786135|68786692",NA,6,NA
"251","10:68959805|68960249",NA,13,NA
"252","10:69483690|69485215",NA,6,NA
"253","10:69483690|69495689",NA,1,NA
"254","10:7197547|7285954",NA,2,NA
"255","10:7220410|7227937",NA,3,NA
"256","10:72340788|72341170",NA,6,NA
"257","10:72708282|72715902",NA,1,NA
"258","10:7276891|7285954",NA,3,NA
"259","10:72900376|72906718",NA,2,NA
"260","10:73210250|73233163",NA,1,NA
"261","10:73542802|73545672",NA,2,NA
"262","10:75283101|75283272",NA,NA,3
"263","10:76396590|76396741",NA,NA,2
"264","10:77816376|77816550",NA,NA,1
"265","10:77853353|77854370",NA,8,2
"266","10:79201583|79208449",NA,1,NA
"267","10:84417770|84425893",NA,4,NA
"268","10:84438511|84477664",NA,NA,2
"269","10:86875866|86876085",NA,NA,1
"270","10:87727283|87741370",NA,2,NA
"271","10:91951402|91953873",NA,1,NA
"272","10:92081319|92091944",NA,NA,1
"273","10:92143028|92145112",NA,6,NA
"274","10:93323077|93329834",NA,6,NA
"275","10:93381218|93389154",NA,7,1
"276","10:95632958|95633649",NA,NA,1
"277","10:97567913|97568141",NA,1,NA
"278","11:108227594|108229323",NA,2,NA
"279","11:108227594|108235834",NA,NA,1
"280","11:108317372|108332037",NA,NA,4
"281","11:1092442|1092607",NA,1,NA
"282","11:111753275|111753442",1,NA,NA
"283","11:111754498|111755450",NA,2,NA
"284","11:111913438|111913705",NA,NA,1
"285","11:113340733|113340928",1,NA,NA
"286","11:117161144|117163892",NA,2,NA
"287","11:117218465|117219164",NA,1,NA
"288","11:117244444|117246948",NA,NA,3
"289","11:117279907|117280259",NA,5,NA
"290","11:118583808|118584644",NA,NA,3
"291","11:118584644|118584823",NA,NA,2
"292","11:118632053|118632209",1,NA,NA
"293","11:118768222|118781184",NA,4,NA
"294","11:118786051|118786518",NA,NA,4
"295","11:119131646|119131811",NA,NA,1
"296","11:120469388|120469548",1,NA,NA
"297","11:121488031|121490110",NA,NA,1
"298","11:124647364|124648175",NA,NA,2
"299","11:12504313|12514065",NA,NA,1
"300","11:125948036|125948209",NA,NA,2
"301","11:12764178|12764434",NA,6,3
"302","11:1288623|1295794",NA,NA,3
"303","11:130260855|130261929",NA,17,NA
"304","11:14907994|14908147",NA,NA,2
"305","11:15177110|15190814",NA,18,6
"306","11:1778118|1778295",2,NA,NA
"307","11:18281949|18286710",NA,NA,2
"308","11:18291441|18292019",NA,2,NA
"309","11:18400836|18403811",NA,2,NA
"310","11:2570627|2572986",NA,NA,1
"311","11:2969802|2972243",NA,1,NA
"312","11:321620|322595",NA,NA,1
"313","11:34090178|34090678",NA,4,NA
"314","11:34451098|34451263",3,NA,NA
"315","11:34480771|34490059",NA,NA,3
"316","11:36227084|36227430",NA,34,21
"317","11:3744508|3753408",NA,6,NA
"318","11:3773631|3776021",NA,2,NA
"319","11:3781866|3782041",NA,NA,3
"320","11:409703|409867",NA,NA,3
"321","11:44075592|44075752",NA,NA,1
"322","11:45181760|45183123",NA,5,NA
"323","11:46312324|46312919",NA,23,17
"324","11:46665519|46667456",NA,NA,2
"325","11:47358843|47375732",NA,1,NA
"326","11:47422573|47422973",NA,5,1
"327","11:528337|528549",NA,NA,1
"328","11:562776|562948",NA,NA,1
"329","11:562776|563034",NA,NA,1
"330","11:581491|587464",NA,NA,1
"331","11:59639047|59643035",NA,NA,1
"332","11:59658865|59659469",NA,2,NA
"333","11:59669542|59669709",NA,2,NA
"334","11:60919685|60920988",NA,4,NA
"335","11:61366044|61367998",NA,NA,1
"336","11:6234416|6234543",NA,2,NA
"337","11:62638982|62639731",NA,8,NA
"338","11:63952237|63952839",NA,2,NA
"339","11:64925028|64925327",NA,NA,1
"340","11:65187954|65188746",NA,NA,1
"341","11:65387121|65387302",NA,2,NA
"342","11:6570100|6570288",3,NA,NA
"343","11:66059595|66059752",NA,NA,4
"344","11:66063627|66063729",NA,NA,1
"345","11:66271869|66272034",NA,NA,3
"346","11:66486539|66488007",NA,2,7
"347","11:66639699|66640123",NA,9,NA
"348","11:66701411|66701583",NA,NA,1
"349","11:67207509|67207688",NA,NA,1
"350","11:67406017|67406174",NA,NA,2
"351","11:68505144|68519651",NA,5,NA
"352","11:68803999|68812576",NA,1,NA
"353","11:70354300|70356254",NA,7,NA
"354","11:70362094|70362488",NA,NA,2
"355","11:70376531|70378195",NA,4,NA
"356","11:70659827|70661678",NA,24,NA
"357","11:70798442|70807171",NA,2,NA
"358","11:72709869|72711499",NA,4,NA
"359","11:72757766|72759381",NA,1,NA
"360","11:72867688|72867864",NA,2,NA
"361","11:72984087|72989097",NA,5,NA
"362","11:73707419|73718890",NA,NA,2
"363","11:74037264|74037477",1,NA,NA
"364","11:74965033|74969699",NA,2,NA
"365","11:75276838|75278744",NA,1,NA
"366","11:77197598|77197738",NA,1,NA
"367","11:77619605|77625818",NA,7,NA
"368","11:77624962|77625818",NA,21,2
"369","11:77624962|77629899",NA,1,2
"370","11:77683709|77693611",NA,4,1
"371","11:78113885|78121174",NA,NA,2
"372","11:83194034|83194208",1,NA,NA
"373","11:83206057|83211430",NA,4,NA
"374","11:834803|835007",1,NA,NA
"375","11:83532707|83541858",NA,5,NA
"376","11:86022366|86031611",NA,7,NA
"377","11:86068869|86069022",1,NA,NA
"378","11:86250295|86252240",NA,NA,6
"379","11:883706|884067",NA,4,NA
"380","11:94574998|94583569",NA,4,NA
"381","11:9738212|9740347",NA,2,NA
"382","12:10030972|10031186",2,NA,NA
"383","12:101714089|101716812",NA,NA,1
"384","12:103806625|103806854",NA,4,NA
"385","12:105189990|105195501",NA,1,NA
"386","12:106454711|106455075",NA,1,NA
"387","12:107743196|107746424",NA,1,NA
"388","12:108652271|108654410",NA,3,2
"389","12:108817037|108818313",NA,1,NA
"390","12:109166860|109168034",NA,NA,1
"391","12:109171804|109174230",NA,8,3
"392","12:109209164|109216920",NA,3,NA
"393","12:109212835|109216920",NA,3,NA
"394","12:110136775|110147048",NA,2,NA
"395","12:111658735|111659345",NA,5,NA
"396","12:111882789|111883768",NA,3,NA
"397","12:111883580|111883768",NA,2,NA
"398","12:112071894|112078741",NA,NA,2
"399","12:112410319|112411442",NA,NA,2
"400","12:112486474|112489175",NA,4,NA
"401","12:113103945|113104298",NA,2,NA
"402","12:113119127|113121638",NA,6,NA
"403","12:113121508|113130941",NA,NA,2
"404","12:113267842|113269845",NA,4,NA
"405","12:113304320|113307844",NA,1,NA
"406","12:118036337|118038388",NA,6,NA
"407","12:120154969|120155719",NA,16,3
"408","12:120516566|120522363",NA,NA,2
"409","12:120557281|120557682",NA,4,3
"410","12:120566824|120571291",NA,6,NA
"411","12:122173991|122174156",NA,2,NA
"412","12:122288488|122316855",NA,16,NA
"413","12:122327946|122333143",NA,12,NA
"414","12:12244261|12244655",NA,5,3
"415","12:123498543|123499536",NA,3,NA
"416","12:123747725|123747938",1,NA,NA
"417","12:124912865|124913320",NA,3,NA
"418","12:12500518|12500682",NA,NA,1
"419","12:125102678|125107268",NA,2,NA
"420","12:125114476|125118765",NA,2,NA
"421","12:12519861|12521463",NA,1,NA
"422","12:125650953|125651112",NA,NA,4
"423","12:128814774|128815070",NA,NA,5
"424","12:1289851|1290012",NA,NA,2
"425","12:1289851|1371977",NA,1,2
"426","12:131118451|131118669",NA,NA,3
"427","12:132148895|132148983",NA,1,NA
"428","12:132148895|132149027",NA,1,NA
"429","12:132148895|132149071",9,NA,1
"430","12:132148895|132149511",NA,NA,3
"431","12:132148895|132149555",NA,2,1
"432","12:132148895|132149643",NA,1,1
"433","12:132148895|132149731",NA,1,1
"434","12:132148895|132149863",NA,4,1
"435","12:132148895|132149951",NA,1,1
"436","12:132148895|132150562",NA,2,4
"437","12:132148895|132150606",NA,1,NA
"438","12:132148895|132150650",NA,NA,2
"439","12:132148895|132150738",NA,1,3
"440","12:132659165|132659294",NA,NA,1
"441","12:133191488|133192003",NA,NA,3
"442","12:133219107|133219282",NA,NA,2
"443","12:26064497|26067713",NA,3,NA
"444","12:26982772|26990627",NA,5,NA
"445","12:27714779|27724186",NA,8,NA
"446","12:2820085|2821792",NA,3,NA
"447","12:28305648|28307749",NA,8,NA
"448","12:28450160|28484165",NA,9,NA
"449","12:30669182|30674753",NA,1,NA
"450","12:32305696|32306122",NA,2,NA
"451","12:42646105|42646269",2,NA,NA
"452","12:49097565|49098105",NA,17,5
"453","12:49599290|49599468",1,NA,NA
"454","12:50094436|50096972",NA,NA,2
"455","12:50427761|50429090",NA,1,NA
"456","12:50640723|50683248",NA,3,NA
"457","12:51026148|51026309",NA,NA,1
"458","12:51055834|51056502",NA,1,NA
"459","12:51073822|51074082",NA,2,3
"460","12:53441800|53442100",NA,3,NA
"461","12:53754509|53754812",1,NA,NA
"462","12:54647883|54648245",1,NA,NA
"463","12:56169528|56170208",NA,2,NA
"464","12:56423091|56423273",NA,NA,3
"465","12:57106369|57106527",NA,NA,3
"466","12:57194012|57194186",NA,NA,1
"467","12:57535055|57535845",NA,4,NA
"468","12:57601348|57601521",2,NA,NA
"469","12:64042789|64043575",NA,3,NA
"470","12:6452312|6452477",NA,NA,3
"471","12:64691579|64691735",NA,NA,1
"472","12:64864667|64866903",NA,5,NA
"473","12:6724266|6724428",2,NA,NA
"474","12:69222611|69222886",NA,1,NA
"475","12:69260043|69262562",NA,3,NA
"476","12:69589484|69592159",NA,NA,1
"477","12:69800208|69801721",NA,8,1
"478","12:70285586|70285777",1,NA,NA
"479","12:71626259|71629037",NA,NA,1
"480","12:78440483|78440652",NA,NA,2
"481","12:813641|827262",NA,6,NA
"482","12:88154387|88154599",1,NA,NA
"483","12:8934012|8934171",NA,NA,2
"484","12:9009075|9009229",NA,NA,1
"485","12:93394608|93395533",NA,2,3
"486","12:95040475|95049233",NA,3,NA
"487","12:95134738|95141539",NA,4,NA
"488","12:95682706|95683711",NA,6,NA
"489","12:96323947|96334865",NA,NA,1
"490","12:96576761|96576941",1,NA,NA
"491","12:99772921|99782097",NA,NA,2
"492","13:100209331|100262831",NA,NA,1
"493","13:100257594|100273346",NA,5,NA
"494","13:100330560|100340259",NA,2,1
"495","13:100368471|100449305",NA,NA,2
"496","13:101258442|101292366",NA,5,1
"497","13:101395182|101399165",NA,2,NA
"498","13:113510237|113520733",NA,3,NA
"499","13:113511987|113512281",NA,NA,3
"500","13:114040999|114073837",NA,1,NA
"501","13:19751270|19759418",NA,1,NA
"502","13:21377332|21377666",NA,1,NA
"503","13:24469023|24475596",NA,4,NA
"504","13:26400452|26401624",NA,1,NA
"505","13:28174271|28177935",NA,7,NA
"506","13:28256291|28261458",NA,9,NA
"507","13:32224385|32224721",NA,NA,3
"508","13:32517856|32527532",NA,8,NA
"509","13:32538617|32538777",2,NA,NA
"510","13:35668519|35668690",NA,NA,1
"511","13:36312144|36312477",NA,7,NA
"512","13:36965574|36985740",NA,4,NA
"513","13:41865735|41868477",NA,8,NA
"514","13:45151686|45207505",NA,2,NA
"515","13:45479066|45479403",NA,NA,2
"516","13:45516142|45519094",NA,NA,1
"517","13:45516142|45530780",NA,3,NA
"518","13:45579781|45579932",2,NA,NA
"519","13:46356431|46359631",NA,NA,2
"520","13:49451552|49451909",NA,2,NA
"521","13:49705620|49706372",NA,1,2
"522","13:50928508|50928704",NA,NA,3
"523","13:51383328|51395483",NA,NA,1
"524","13:51675243|51675404",NA,NA,3
"525","13:59774188|59810923",NA,3,NA
"526","13:60439687|60467379",NA,NA,1
"527","13:75560752|75569507",NA,NA,1
"528","13:77018599|77021861",NA,4,NA
"529","13:77176496|77180318",NA,NA,1
"530","13:95723241|95725252",NA,3,NA
"531","13:95832926|95837202",NA,1,NA
"532","13:98409337|98412034",NA,NA,1
"533","13:99259987|99260138",1,NA,NA
"534","14:102019892|102022880",NA,4,NA
"535","14:102040235|102040673",NA,21,4
"536","14:102194937|102197847",NA,NA,1
"537","14:102376649|102376940",NA,2,NA
"538","14:102968252|102970261",NA,3,NA
"539","14:103571622|103574170",NA,5,NA
"540","14:103662115|103662927",NA,NA,5
"541","14:103778744|103797518",NA,11,3
"542","14:104022156|104026939",1,NA,NA
"543","14:20395449|20395949",NA,NA,1
"544","14:22906194|22911403",NA,7,NA
"545","14:22909482|22911403",NA,28,9
"546","14:22926132|22927660",NA,5,NA
"547","14:23061083|23061622",NA,3,NA
"548","14:23137920|23143204",NA,2,NA
"549","14:23324137|23324289",NA,3,NA
"550","14:23563199|23563379",1,NA,NA
"551","14:24065273|24065527",1,NA,NA
"552","14:24145480|24145709",NA,NA,1
"553","14:24146907|24147082",NA,NA,5
"554","14:24210347|24210768",NA,NA,4
"555","14:30670255|30675065",NA,7,NA
"556","14:31133237|31133675",NA,4,NA
"557","14:32090501|32117287",NA,1,NA
"558","14:34758703|34762223",NA,NA,1
"559","14:34862043|34862322",NA,4,NA
"560","14:34969169|34972064",NA,3,NA
"561","14:35018691|35019074",NA,6,NA
"562","14:35671388|35674709",NA,1,NA
"563","14:39158284|39159550",NA,2,NA
"564","14:39179090|39179462",NA,3,4
"565","14:39276933|39279537",NA,10,1
"566","14:49709158|49710381",NA,2,NA
"567","14:50150007|50150230",NA,4,1
"568","14:50560874|50561039",NA,4,NA
"569","14:51393256|51393459",NA,NA,2
"570","14:52711100|52711524",NA,1,NA
"571","14:52872798|52874226",NA,1,NA
"572","14:57246710|57247712",NA,2,NA
"573","14:58096555|58096723",NA,NA,2
"574","14:61720381|61721823",NA,4,NA
"575","14:67345767|67347453",NA,NA,1
"576","14:67467103|67467865",NA,2,NA
"577","14:67685014|67690421",NA,4,NA
"578","14:67767703|67769730",NA,3,1
"579","14:68890138|68893747",NA,3,NA
"580","14:69703394|69704742",NA,7,NA
"581","14:70742350|70742591",NA,1,3
"582","14:72674239|72693213",NA,1,NA
"583","14:72714422|72731934",NA,19,NA
"584","14:72993142|72993357",NA,3,NA
"585","14:73106285|73106443",3,NA,NA
"586","14:75087017|75088641",NA,7,NA
"587","14:76166662|76180849",NA,2,NA
"588","14:76171842|76180849",NA,6,NA
"589","14:79692262|79692649",1,NA,NA
"590","14:80497468|80530886",NA,6,1
"591","14:89924512|89932627",NA,2,NA
"592","14:90698912|90699157",1,NA,NA
"593","14:91128912|91129114",1,NA,NA
"594","14:91157690|91158018",NA,NA,1
"595","14:91297304|91303978",NA,3,NA
"596","14:96520054|96521072",NA,3,NA
"597","14:97670623|97671373",NA,NA,1
"598","14:99458278|99465813",NA,2,4
"599","15:100152611|100155320",NA,1,NA
"600","15:101015325|101022478",NA,NA,3
"601","15:101235081|101235577",NA,11,9
"602","15:101364998|101370523",NA,NA,2
"603","15:101366195|101370523",NA,8,6
"604","15:101427891|101443660",NA,NA,2
"605","15:101657629|101657784",1,NA,NA
"606","15:101843004|101843182",NA,3,NA
"607","15:101972694|101972848",NA,NA,1
"608","15:22872824|22873729",NA,5,NA
"609","15:25691714|25702100",NA,5,NA
"610","15:28143872|28146344",NA,3,NA
"611","15:30372672|30372977",NA,NA,1
"612","15:37036813|37083885",NA,2,NA
"613","15:40744046|40745259",NA,5,2
"614","15:41243666|41262883",NA,3,3
"615","15:41841571|41841779",2,NA,NA
"616","15:42811687|42817097",NA,NA,3
"617","15:43334944|43335826",NA,NA,2
"618","15:43560209|43560412",NA,1,NA
"619","15:43814500|43815074",NA,4,NA
"620","15:44550875|44551522",NA,3,NA
"621","15:49235850|49239367",NA,17,5
"622","15:50300788|50301368",NA,5,NA
"623","15:50458999|50459162",NA,NA,2
"624","15:50465046|50471795",NA,2,NA
"625","15:50586391|50592626",NA,1,NA
"626","15:52275391|52275561",NA,NA,1
"627","15:56391418|56391628",NA,NA,2
"628","15:57437984|57442478",NA,4,NA
"629","15:57451499|57461892",NA,3,NA
"630","15:57461679|57461892",NA,3,NA
"631","15:57516779|57518497",NA,8,NA
"632","15:58886974|58887540",NA,6,NA
"633","15:63553714|63563008",NA,5,NA
"634","15:63712774|63716473",NA,1,NA
"635","15:63971422|63983754",NA,3,NA
"636","15:64118116|64123546",NA,NA,1
"637","15:64974601|64983593",NA,NA,2
"638","15:65178933|65180204",NA,NA,1
"639","15:66435026|66436892",NA,4,1
"640","15:70059255|70059409",1,NA,NA
"641","15:77252366|77286504",NA,6,NA
"642","15:77252366|77365225",NA,3,NA
"643","15:78044899|78054187",NA,NA,2
"644","15:78098596|78098768",1,NA,NA
"645","15:78490421|78490761",NA,4,NA
"646","15:80120327|80122800",NA,1,1
"647","15:82178718|82178881",NA,NA,1
"648","15:84680712|84691644",NA,4,NA
"649","15:89113724|89116521",NA,4,NA
"650","15:89305409|89305595",NA,NA,3
"651","15:90217438|90221765",NA,4,NA
"652","15:90219792|90221765",NA,NA,2
"653","15:90441505|90443478",NA,2,NA
"654","15:90980883|90981981",1,NA,NA
"655","15:92924320|92927330",NA,2,NA
"656","15:92937517|92939718",NA,1,3
"657","15:92978233|92979283",NA,6,NA
"658","15:92996956|92998621",NA,4,2
"659","15:93856596|93856759",1,NA,NA
"660","15:95712657|95712839",2,NA,NA
"661","15:99598429|99633173",NA,1,NA
"662","16:10895428|10895614",1,NA,NA
"663","16:11020192|11061022",NA,NA,2
"664","16:11020192|11126146",NA,NA,4
"665","16:11553532|11556735",NA,2,NA
"666","16:14079289|14140760",NA,NA,1
"667","16:14853466|14854026",NA,1,NA
