"","circ_id","mma1","mma2","mma3"
"1","1:100007729|100007915",NA,NA,"15.000"
"124","1:15643833|15670901","4.000",NA,NA
"125","1:15657828|15670901","34.000",NA,"9.000"
"126","1:157191733|157275645","2.000",NA,NA
"127","1:15808022|15879315","1.000",NA,NA
"128","1:158162413|158181323","8.000","52.000",NA
"129","1:15817485|15879315",NA,NA,"11.000"
"130","1:159803810|159808742","2.000",NA,NA
"131","1:159803810|159857868",NA,NA,"16.000"
"132","1:159836090|159857868","6.000",NA,NA
"133","1:160322464|160414619","2.000",NA,NA
"134","1:160413207|160414619",NA,NA,"20.000"
"135","1:160413207|160438752","6.000",NA,NA
"136","1:160413207|160457443","44.000",NA,"33.000"
"137","1:160510490|160516138",NA,NA,"21.000"
"138","1:160629104|160631509",NA,NA,"17.000"
"139","1:160760307|160771834","3.000",NA,NA
"140","1:160764350|160771834","8.000",NA,NA
"141","1:160771648|160771834","3.000",NA,NA
"142","1:160900023|160935863","12.000",NA,NA
"143","1:160952547|160965298",NA,NA,"20.000"
"144","1:161611075|161649655","5.000",NA,NA
"145","1:161787809|161817811","3.000",NA,NA
"146","1:161801911|161803357","2.000",NA,NA
"147","1:161816514|161858590","3.000",NA,NA
"148","1:161850758|161860497","5.000",NA,NA
"149","1:161858451|161873978","5.000",NA,NA
"150","1:161886290|161903005","1.000",NA,NA
"151","1:161886290|161944411",NA,NA,"7.000"
"152","1:162415384|162463985","7.000",NA,NA
"153","1:162611216|162658086","4.000",NA,NA
"154","1:162635441|162658086","1.000",NA,NA
"155","1:162674280|162686229",NA,"14.000",NA
"156","1:162736952|162737344","4.000",NA,NA
"157","1:162736952|162752812","7.000",NA,NA
"158","1:164573799|164574409","2.000",NA,NA
"159","1:16564590|16584716",NA,"53.000",NA
"160","1:165891136|165903772","5.000",NA,NA
"161","1:165891136|165932078","7.000",NA,NA
"162","1:169548834|169549788",NA,"24.000","24.000"
"163","1:170133697|170176232",NA,NA,"22.000"
"164","1:170594397|170594651","1.000",NA,NA
"165","1:170595721|170604046","1.000",NA,NA
"166","1:171202098|171203403","2.000",NA,NA
"167","1:171949524|171970280",NA,NA,"22.000"
"168","1:17202628|17278029","3.000",NA,NA
"169","1:173007032|173012518","8.000",NA,NA
"170","1:173056775|173081078","1.000",NA,NA
"171","1:173071690|173077664","2.000",NA,NA
"172","1:173871085|173884105","2.000",NA,NA
"173","1:173871085|173899868",NA,NA,"16.000"
"174","1:176042313|176046531",NA,NA,"3.000"
"175","1:17612811|17616317","1.000",NA,NA
"176","1:177198728|177207932","4.000",NA,NA
"177","1:177210799|177217086","2.000",NA,NA
"178","1:177231868|177243894","7.000",NA,NA
"179","1:178259194|178348499","4.000",NA,NA
"180","1:178311256|178315090","12.000",NA,NA
"181","1:178777148|178778621","2.000",NA,"50.000"
"182","1:179530245|179571687","4.000",NA,NA
"183","1:179560753|179561118","8.000",NA,NA
"184","1:18029069|18036001","17.000",NA,NA
"185","1:181781396|181783951","12.000",NA,NA
"186","1:182058382|182084049","2.000",NA,NA
"187","1:182280665|182293218","1.000",NA,NA
"188","1:182280777|182293218","1.000",NA,NA
"189","1:182689298|182690352","5.000",NA,NA
"190","1:182983552|182993359","10.000",NA,NA
"191","1:183395992|183434510","11.000",NA,NA
"192","1:183414380|183434510","3.000",NA,NA
"193","1:183495411|183500226","31.000",NA,"18.000"
"194","1:183500099|183535996","1.000",NA,NA
"195","1:183557506|183563705","2.000",NA,NA
"196","1:183820946|183840813",NA,NA,"20.000"
"197","1:183826022|183857002","4.000",NA,NA
"198","1:183840700|183857002",NA,"13.000",NA
"199","1:183840700|183866051","2.000",NA,NA
"200","1:184061056|184062458","6.000",NA,NA
"201","1:184206528|184215387","4.000",NA,NA
"202","1:184265629|184285133","9.000",NA,NA
"203","1:1846952|1852256","3.000",NA,NA
"204","1:184733731|184737146","5.000",NA,NA
"205","1:1847474|1852256","21.000","40.000",NA
"206","1:1847528|1852256","87.000","31.000",NA
"207","1:185194733|185197960","6.000",NA,NA
"208","1:185211125|185243961","2.000",NA,NA
"209","1:185247550|185265105","6.000",NA,NA
"210","1:185591600|185594508","5.000",NA,NA
"211","1:185681698|185685221","2.000",NA,NA
"212","1:186606879|186608689","6.000",NA,NA
"213","1:186697201|186702075","5.000",NA,NA
"214","1:186739511|186758792","1.000",NA,NA
"215","1:188560148|188560808","2.000",NA,NA
"216","1:188750151|188788968","3.000",NA,NA
"217","1:189150504|189154583",NA,"6.000",NA
"218","1:189221558|189248986","2.000",NA,NA
"219","1:189242373|189244219","2.000",NA,NA
"220","1:189258751|189269960","3.000",NA,NA
"221","1:189266633|189269960","13.000",NA,NA
"222","1:189267111|189269960","3.000",NA,NA
"223","1:189267111|189309281","2.000",NA,NA
"224","1:189338442|189344934","1.000",NA,NA
"225","1:189450099|189450492","6.000",NA,NA
"226","1:189618140|189623668","3.000",NA,NA
"227","1:191347354|191347720","11.000",NA,NA
"228","1:191689301|191690859","12.000",NA,NA
"229","1:191689301|191695051",NA,"46.000",NA
"230","1:191816062|191821830","5.000",NA,NA
"231","1:192437657|192438369","3.000",NA,NA
"232","1:192440722|192441082","6.000",NA,NA
"233","1:192749702|192753447","19.000",NA,NA
"234","1:192749702|192753453","4.000",NA,NA
"235","1:193226284|193227476","2.000",NA,NA
"236","1:193239459|193276857",NA,NA,"9.000"
"237","1:193308436|193320289","1.000",NA,NA
"238","1:193680713|193687414","5.000",NA,"15.000"
"239","1:193680713|193697049",NA,"3.000",NA
"240","1:193707999|193716738","3.000",NA,NA
"241","1:19526995|19542957","3.000",NA,NA
"242","1:19526995|19553707","9.000",NA,NA
"243","1:19540027|19542957","2.000",NA,NA
"244","1:195527626|195534066","6.000",NA,NA
"245","1:195566145|195582943","6.000",NA,NA
"246","1:195566145|195584604","5.000",NA,NA
"247","1:195582814|195584604","2.000",NA,NA
"248","1:195582814|195618677",NA,NA,"24.000"
"249","1:195618500|195667359","4.000",NA,NA
"250","1:195664285|195698567","3.000",NA,NA
"251","1:195703712|195705151","4.000",NA,NA
"252","1:195942631|195944215","11.000",NA,"21.000"
"253","1:196066003|196078418","7.000",NA,NA
"254","1:1961560|1964149","12.000",NA,NA
"255","1:196206343|196208961","6.000",NA,NA
"256","1:196206343|196221870","3.000",NA,NA
"257","1:196221716|196229684","5.000","23.000",NA
"258","1:196226326|196229684","3.000",NA,NA
"259","1:196229086|196229684","2.000",NA,NA
"260","1:196237315|196246704","2.000",NA,NA
"261","1:196674070|196698410","4.000",NA,NA
"262","1:196685570|196706183","1.000",NA,NA
"263","1:196685570|196730491","6.000",NA,NA
"264","1:196878721|196881362","3.000",NA,NA
"265","1:196967989|196975238","4.000",NA,NA
"266","1:19702102|19719092","2.000",NA,NA
"267","1:197307339|197321439","10.000",NA,NA
"268","1:197328345|197328777","11.000",NA,NA
"269","1:197627748|197641353","10.000",NA,NA
"270","1:197634180|197641353","1.000",NA,NA
"271","1:197820468|197820829","4.000",NA,NA
"272","1:198033058|198036180","17.000","15.000","102.000"
"273","1:198044416|198044972","3.000",NA,NA
"274","1:198192977|198196129","10.000",NA,NA
"275","1:198204393|198204723","9.000",NA,NA
"276","1:198334211|198336144","2.000",NA,NA
"277","1:198533715|198538641","1.000",NA,NA
"278","1:198549359|198556103",NA,"24.000",NA
"279","1:198766054|198766560",NA,"36.000","25.000"
"280","1:198766054|198767647",NA,NA,"15.000"
"281","1:198808404|198811035","2.000",NA,NA
"282","1:198975367|198975894","4.000",NA,NA
"283","1:200066649|200066866",NA,NA,"26.000"
"284","1:200072934|200073494","4.000",NA,NA
"285","1:201352694|201353456",NA,NA,"14.000"
"286","1:201727466|201736663","16.000",NA,NA
"287","1:201727466|201756911","2.000","36.000","29.000"
"288","1:201728846|201732954","8.000",NA,NA
"289","1:202688806|202701862","21.000",NA,NA
"290","1:202688806|202726166","3.000",NA,NA
"291","1:203018950|203022387","1.000",NA,NA
"292","1:203038116|203051810","1.000",NA,NA
"293","1:203476749|203483234","3.000",NA,NA
"294","1:203561053|203665287",NA,NA,"11.000"
"295","1:203625274|203712455",NA,"14.000",NA
"296","1:203710088|203713967",NA,NA,"13.000"
"297","1:203712359|203745740","8.000",NA,NA
"298","1:203712359|203766575","3.000",NA,NA
"299","1:203712359|203837704","6.000",NA,NA
"300","1:203733632|203734534","2.000","7.000",NA
"301","1:203733632|203745740",NA,"43.000","12.000"
"302","1:203766466|203775405","3.000",NA,NA
"303","1:203766469|203775405","3.000",NA,"11.000"
"304","1:203930079|203955250","9.000",NA,NA
"305","1:203930079|203968478","4.000",NA,NA
"306","1:203937254|203955250","6.000",NA,NA
"307","1:203962719|203962879","2.000",NA,NA
"308","1:204061415|204061900","72.000","15.000","30.000"
"309","1:204069478|204070720","6.000",NA,NA
"310","1:204938507|204956351","3.000",NA,NA
"311","1:204983667|204984062",NA,NA,"7.000"
"312","1:205519930|205546463","6.000",NA,NA
"313","1:205548026|205550203",NA,NA,"17.000"
"314","1:205548026|205552269","3.000",NA,NA
"315","1:205600942|205602719","5.000",NA,NA
"316","1:205813877|205815287","5.000",NA,NA
"317","1:207758282|207759710","2.000",NA,NA
"318","1:208133042|208133185",NA,NA,"11.000"
"319","1:2085707|2091882",NA,"13.000",NA
"320","1:208839914|208840785","7.000",NA,NA
"321","1:208862383|208869035",NA,NA,"20.000"
"322","1:208867370|208869035","1.000",NA,NA
"323","1:208900898|208904753",NA,NA,"31.000"
"324","1:209018992|209021850",NA,NA,"13.000"
"325","1:209143607|209145797",NA,NA,"25.000"
"326","1:209145693|209163263","4.000",NA,NA
"327","1:209152494|209166352","7.000",NA,NA
"328","1:209258209|209260795","1.000",NA,NA
"329","1:211030457|211046352","5.000",NA,NA
"330","1:211138421|211148153","11.000","22.000","17.000"
"331","1:211172616|211194439","9.000",NA,NA
"332","1:211872299|211872992","1.000",NA,NA
"333","1:2119314|2120627","4.000",NA,NA
"334","1:2119314|2140639","10.000",NA,NA
"335","1:2119314|2147236","2.000",NA,NA
"336","1:212035629|212036072","4.000",NA,NA
"337","1:212062551|212063624",NA,NA,"6.000"
"338","1:212062551|212086281","6.000",NA,NA
"339","1:212128126|212134014",NA,NA,"31.000"
"340","1:212182145|212202647",NA,NA,"22.000"
"341","1:2122455|2140639",NA,NA,"47.000"
"342","1:212257656|212261963","5.000",NA,NA
"343","1:212461586|212464708","3.000",NA,NA
"344","1:213373400|213373795","7.000",NA,NA
"345","1:213373400|213377207","1.000",NA,NA
"346","1:213433939|213435604","4.000",NA,NA
"347","1:214049678|214059551","7.000",NA,NA
"348","1:214092601|214096199",NA,NA,"11.000"
"349","1:214111744|214119642","6.000",NA,NA
"350","1:214114839|214119642","3.000",NA,NA
"351","1:2141249|2150725","11.000",NA,NA
"352","1:214135737|214136755","4.000",NA,NA
"353","1:214140817|214169386","2.000",NA,NA
"354","1:214164199|214170349",NA,"8.000",NA
"355","1:214201761|214207773","3.000",NA,NA
"356","1:214307225|214320132","1.000",NA,NA
"357","1:214310373|214324807",NA,NA,"8.000"
"358","1:214318065|214320132","2.000",NA,NA
"359","1:214318065|214324807","6.000",NA,NA
"360","1:214534646|214538279",NA,NA,"18.000"
"361","1:214753141|214753368",NA,NA,"27.000"
"362","1:214920378|214925959","6.000",NA,NA
"363","1:215721589|215862621","14.000",NA,NA
"364","1:2158100|2159925","2.000",NA,NA
"365","1:215862152|215862621","2.000","1.000",NA
"366","1:215893994|215978414",NA,"7.000",NA
"367","1:215904332|215978414","1.000",NA,NA
"368","1:215904332|216024678","10.000",NA,NA
"369","1:215962967|215978414","9.000",NA,NA
"370","1:215962967|216013397","3.000",NA,NA
"371","1:215962967|216024678","5.000",NA,NA
"372","1:216534062|216541797","2.000",NA,NA
"373","1:217619962|217690087","3.000",NA,NA
"374","1:218629180|218636094",NA,"44.000",NA
"375","1:220645897|220649781","2.000",NA,NA
"376","1:221809977|221810171","5.000",NA,NA
"377","1:222237211|222243206","8.000",NA,NA
"378","1:222591826|222614197","2.000",NA,NA
"379","1:222607054|222616589","8.000",NA,NA
"380","1:222607054|222628995","1.000",NA,NA
"381","1:222614158|222628995","3.000",NA,NA
"382","1:222616482|222628995","9.000","40.000","24.000"
"383","1:222616482|222640553",NA,NA,"22.000"
"384","1:222616482|222643738",NA,"52.000",NA
"385","1:222671265|222680696","5.000",NA,NA
"386","1:222711168|222722938","3.000",NA,NA
"387","1:223104170|223104356","1.000",NA,NA
"388","1:223166814|223168839",NA,NA,"40.000"
"389","1:23382803|23383926","14.000","56.000",NA
"390","1:24218745|24220464","4.000",NA,NA
"391","1:2473228|2473658",NA,NA,"11.000"
"392","1:24737295|24749726","7.000",NA,NA
"393","1:2517871|2518825","1.000",NA,NA
"394","1:25299229|25324883","29.000",NA,"77.000"
"395","1:25313797|25324883","2.000",NA,NA
"396","1:25388948|25395765","11.000",NA,NA
"397","1:25645687|25651513","3.000",NA,NA
"398","1:27207600|27210098","5.000",NA,NA
"399","1:27285762|27375411","1.000",NA,NA
"400","1:2739481|2753580",NA,"14.000",NA
"401","1:28854661|28864263","10.000",NA,NA
"402","1:28866799|28876750","4.000",NA,NA
"403","1:28866799|28891642","4.000",NA,NA
"404","1:29341297|29356667","13.000",NA,NA
"405","1:29856364|29873968","11.000",NA,NA
"406","1:3066814|3158689","1.000",NA,NA
"407","1:30695788|30712105",NA,"12.000",NA
"408","1:30695788|30717086",NA,"27.000",NA
"409","1:31253323|31266963","3.000",NA,NA
"410","1:31295966|31296348","8.000",NA,NA
"411","1:3324505|3326013",NA,"31.000",NA
"412","1:33338220|33342615","3.000",NA,NA
"413","1:33338220|33391747","8.000",NA,NA
"414","1:33405066|33432342","4.000",NA,NA
"415","1:33405066|33440786","2.000",NA,NA
"416","1:33419607|33440786","5.000",NA,NA
"417","1:3446524|3490222","6.000",NA,NA
"418","1:36246555|36257384","4.000",NA,NA
"419","1:36314599|36323313","7.000",NA,NA
"420","1:36323228|36324912","3.000",NA,"26.000"
"421","1:36334777|36336826","4.000",NA,NA
"422","1:36387173|36387502","2.000",NA,NA
"423","1:36539312|36540619",NA,"44.000",NA
"424","1:37096948|37098268",NA,"25.000",NA
"425","1:37116942|37121996","6.000",NA,NA
"426","1:37121533|37121996",NA,NA,"18.000"
"427","1:37222210|37254939","4.000",NA,"19.000"
"428","1:37294464|37302474","1.000",NA,NA
"429","1:37595323|37611137","1.000",NA,NA
"430","1:37595323|37627945","3.000",NA,NA
"431","1:40129405|40130796",NA,"30.000",NA
"432","1:41967064|41972291","2.000",NA,NA
"433","1:41972136|41973007",NA,NA,"4.000"
"434","1:41972841|41979633","7.000","51.000","1.000"
"435","1:42140764|42155713","4.000",NA,NA
"436","1:42390118|42399328","1.000",NA,NA
"437","1:42408306|42414024",NA,NA,"18.000"
"438","1:42421864|42422606","13.000",NA,NA
"439","1:42421864|42429644","5.000",NA,NA
"440","1:42447185|42466483","2.000",NA,NA
"441","1:42458665|42477583",NA,"34.000",NA
"442","1:42458772|42477583","1.000",NA,NA
"443","1:43553992|43556961","1.000",NA,NA
"444","1:43627748|43639211","4.000",NA,NA
"445","1:43627748|43640438","9.000","22.000","4.000"
"446","1:44127338|44128539","10.000",NA,NA
"447","1:4599702|4643237","9.000",NA,NA
"448","1:4691387|4699392",NA,"38.000",NA
"449","1:4697642|4699457","3.000",NA,NA
"450","1:50332948|50334544","2.000",NA,NA
"451","1:50372896|50379488",NA,NA,"8.000"
"452","1:50372896|50393371","3.000",NA,NA
"453","1:50405743|50406857","1.000",NA,NA
"454","1:50551071|50554272","12.000",NA,NA
"455","1:50760630|50801150","6.000",NA,NA
"456","1:5383247|5513010","3.000",NA,NA
"457","1:54508845|54530647","2.000",NA,NA
"458","1:54586218|54587419","6.000",NA,NA
"459","1:54934648|55058352","6.000",NA,NA
"460","1:54980079|55019914","2.000",NA,NA
"461","1:54980079|55058352","3.000",NA,"17.000"
"462","1:54980079|55179136","16.000",NA,"3.000"
"463","1:55043063|55058352","47.000","58.000","121.000"
"464","1:55043063|55179136","17.000","26.000",NA
"465","1:55052549|55074155","5.000",NA,NA
"466","1:55072009|55119274","4.000",NA,NA
"467","1:5511512|5580916","1.000",NA,NA
"468","1:55300548|55302291","7.000",NA,NA
"469","1:5709773|5720573","10.000","33.000",NA
"470","1:58194292|58200362","4.000",NA,NA
"471","1:59277212|59285049","4.000",NA,NA
"472","1:5946182|5968819","1.000",NA,NA
"473","1:59711014|59715536","4.000",NA,NA
"474","1:59883167|59928547","4.000",NA,NA
"475","1:60194348|60200429","3.000",NA,NA
"476","1:60683086|60684960","9.000",NA,NA
"477","1:61326788|61348913","1.000",NA,NA
"478","1:61348814|61349140","3.000",NA,NA
"479","1:61624110|61625301",NA,"18.000",NA
"480","1:63135307|63146661","9.000",NA,NA
"481","1:63138293|63146661","181.000","101.000","120.000"
"482","1:63142708|63143581","6.000",NA,NA
"483","1:64102456|64118991","1.000",NA,NA
"484","1:64542132|64542318","8.000",NA,NA
"485","1:64843619|64849739","1.000",NA,NA
"486","1:65064789|65079166","1.000",NA,NA
"487","1:65117275|65226301","6.000",NA,NA
"488","1:65260317|65274216",NA,NA,"9.000"
"489","1:65587964|65592054","5.000",NA,NA
"490","1:67209648|67211889","3.000",NA,NA
"491","1:68424765|68425195","2.000",NA,NA
"492","1:69165513|69172441",NA,NA,"27.000"
"493","1:69273875|69288390","5.000",NA,NA
"494","1:69478708|69485645","22.000",NA,NA
"495","1:69789339|69822556",NA,"58.000",NA
"496","1:70343110|70352445","13.000",NA,NA
"497","1:70343110|70362985","9.000",NA,NA
"498","1:70570447|70637396","5.000",NA,NA
"499","1:71746933|71747225","5.000",NA,NA
"500","1:71775459|71794512","1.000",NA,NA
"501","1:71820751|71842455","1.000",NA,NA
"502","1:74996910|75003579",NA,"2.000",NA
"503","1:77529808|77530042","3.000",NA,"26.000"
"504","1:77707887|77713614","2.000",NA,NA
"505","1:77725240|77728154","5.000",NA,NA
"506","1:80382412|80383887","3.000",NA,NA
"507","1:80480288|80493777",NA,NA,"23.000"
"508","1:81371028|81382251","4.000",NA,NA
"509","1:81707938|81738710",NA,NA,"9.000"
"510","1:81725953|81738710","6.000",NA,NA
"511","1:81834812|81840369","6.000",NA,"12.000"
"512","1:82492045|82589277","4.000",NA,NA
"513","1:83394151|83396869",NA,NA,"24.000"
"514","1:83521282|83521775","1.000",NA,NA
"515","1:84577097|84590881",NA,"10.000",NA
"516","1:84578982|84615991","9.000",NA,NA
"517","1:84620230|84649930",NA,"37.000",NA
"518","1:88454964|88468595","9.000",NA,NA
"519","1:88458714|88468595","10.000",NA,NA
"520","1:89126568|89207271","2.000",NA,NA
"521","1:89168794|89197576","5.000",NA,NA
"522","1:89196389|89197576","4.000",NA,NA
"523","1:89330115|89423419",NA,"2.000",NA
"524","1:89782931|89783566","1.000",NA,NA
"525","1:90606362|90615891","15.000",NA,NA
"526","1:90606362|90626291","3.000",NA,NA
"527","1:94629789|94631284","3.000",NA,NA
"528","1:94629789|94632783","1.000",NA,NA
"529","1:94631078|94632783",NA,NA,"13.000"
"530","1:94845761|94846727","2.000",NA,NA
"531","1:95066750|95067232","1.000",NA,NA
"532","1:95073234|95073778",NA,NA,"21.000"
"533","1:95090943|95091437","2.000",NA,NA
"534","1:95172764|95180126","3.000",NA,NA
"535","1:95209571|95322602","2.000",NA,NA
"536","1:95209571|95324112","4.000",NA,NA
"537","1:95209571|95329440","5.000",NA,NA
"538","1:95215800|95222227","3.000",NA,NA
"539","1:95216830|95220231",NA,NA,"10.000"
"540","1:95234311|95241206","5.000",NA,NA
"541","1:95266098|95266761","1.000",NA,"17.000"
"542","1:95266098|95270954","3.000",NA,NA
"543","1:95270852|95275661","5.000",NA,NA
"544","1:95318347|95324112","1.000",NA,NA
"545","1:95319285|95322602","1.000",NA,NA
"546","1:95324025|95324452","4.000",NA,NA
"547","1:95453333|95525722","1.000",NA,NA
"548","1:95490375|95490894",NA,NA,"33.000"
"549","1:95512787|95513284","11.000",NA,NA
"550","1:95554755|95555075","9.000",NA,NA
"551","1:95554755|95616151",NA,NA,"22.000"
"552","1:95557817|95580368","2.000",NA,"27.000"
"553","1:95557817|95587417","1.000",NA,NA
"554","1:95557817|95601162","9.000","41.000",NA
"555","1:95557817|95616151","11.000",NA,NA
"556","1:95557817|95632900","3.000",NA,NA
"557","1:95579626|95580368",NA,NA,"31.000"
"558","1:95579626|95601162","3.000",NA,NA
"559","1:95600982|95601162",NA,"32.000",NA
"560","1:95600982|95616151","4.000",NA,NA
"561","1:95600982|95632900","3.000",NA,"42.000"
"562","1:95784958|95787673","2.000",NA,NA
"563","1:96442458|96442651",NA,"34.000",NA
"564","1:96466700|96470629","2.000","38.000",NA
"565","1:96788823|96789872","6.000",NA,NA
"566","1:96816928|96817632","3.000","54.000",NA
"567","1:96827841|96829276","7.000",NA,NA
"568","1:99434539|99461753","3.000",NA,NA
"569","1:99444265|99444458","4.000",NA,NA
"570","1:99672251|99675267","3.000",NA,"23.000"
"571","1:99679112|99680781","7.000",NA,NA
"572","1:99696738|99697462","1.000",NA,NA
"573","1:99786708|99787645","2.000","128.000","47.000"
"574","1:99845386|99846956","15.000",NA,NA
"575","1:99865332|99884980","6.000",NA,NA
"576","1:99944021|99944501","16.000",NA,"24.000"
"577","10:10049055|10049568",NA,NA,"30.000"
"578","10:10342716|10344277","4.000",NA,"28.000"
"579","10:10345915|10364003","5.000",NA,NA
"580","10:10363488|10364003","2.000","32.000",NA
"581","10:10363488|10375578",NA,NA,"5.000"
"582","10:10367233|10393954","2.000",NA,NA
"583","10:10378249|10404341","1.000",NA,NA
"584","10:10387936|10404341","2.000",NA,NA
"585","10:10653648|10669100","6.000",NA,NA
"586","10:10653648|10677240",NA,NA,"10.000"
"587","10:1093724|1115551","3.000",NA,NA
"588","10:11165785|11166564","12.000",NA,NA
"589","10:12583557|12604090","1.000",NA,NA
"590","10:12974832|12981793",NA,NA,"24.000"
"591","10:13070818|13075494","3.000",NA,NA
"592","10:13071253|13075494","2.000",NA,NA
