"","circ_id","mpi1","mpi2","mpi3"
"1","scaffold0001:100759284|100759686",7,9,1
"277","scaffold0001:76148860|76152931",2,4,4
"278","scaffold0001:77664439|77667095",12,37,35
"279","scaffold0001:77706598|77712202",1,3,4
"280","scaffold0001:77706598|77728337",62,76,41
"281","scaffold0001:78642299|78664179",3,3,3
"282","scaffold0001:78653075|78653636",47,85,56
"283","scaffold0001:79236537|79238450",5,9,2
"284","scaffold0001:80168310|80172437",16,13,17
"285","scaffold0001:80205925|80206182",46,57,25
"286","scaffold0001:80326775|80327068",15,52,24
"287","scaffold0001:80326775|80334542",8,14,5
"288","scaffold0001:80332223|80334542",15,13,14
"289","scaffold0001:80749424|80771039",1,9,4
"290","scaffold0001:80810238|80813725",10,8,19
"291","scaffold0001:80976640|80977465",56,77,48
"292","scaffold0001:81169837|81171364",32,27,32
"293","scaffold0001:81560060|81562852",9,9,5
"294","scaffold0001:81588335|81589629",14,29,26
"295","scaffold0001:81588335|81600656",2,5,2
"296","scaffold0001:81611715|81617000",3,7,8
"297","scaffold0001:81633624|81651337",3,2,3
"298","scaffold0001:82033256|82034037",1,7,8
"299","scaffold0001:84288167|84296665",7,10,3
"300","scaffold0001:85363932|85366871",56,54,26
"301","scaffold0001:85379779|85381549",2,4,12
"302","scaffold0001:85440723|85443371",3,4,4
"303","scaffold0001:85502453|85508700",10,4,11
"304","scaffold0001:85502453|85516465",118,102,69
"305","scaffold0001:85536996|85540585",16,26,12
"306","scaffold0001:86290552|86298791",25,2,13
"307","scaffold0001:86890012|86895971",7,32,20
"308","scaffold0001:89907201|89907363",6,11,3
"309","scaffold0001:90034344|90038727",13,10,10
"310","scaffold0001:952498|952729",14,10,16
"311","scaffold0001:952498|988058",7,7,5
"312","scaffold0001:981936|988058",13,9,24
"313","scaffold0001:98607230|98626684",4,8,2
"314","scaffold0001:98626565|98637345",1,6,2
"315","scaffold0001:98673672|98679580",1,1,3
"316","scaffold0001:98691033|98695936",5,15,4
"317","scaffold0002:101077771|101081547",541,957,873
"318","scaffold0002:101077771|101107423",8,24,23
"319","scaffold0002:101107299|101120534",20,30,13
"320","scaffold0002:101129972|101138973",13,26,12
"321","scaffold0002:101163918|101167284",15,11,10
"322","scaffold0002:101743909|101762385",12,24,20
"323","scaffold0002:102574936|102578637",1,2,1
"324","scaffold0002:103459527|103484878",24,32,15
"325","scaffold0002:103484772|103520364",1,7,1
"326","scaffold0002:103563979|103577581",13,19,11
"327","scaffold0002:103563979|103584618",14,43,17
"328","scaffold0002:104913821|104923818",46,50,30
"329","scaffold0002:110043552|110043779",7,15,9
"330","scaffold0002:110799405|110799709",5,14,13
"331","scaffold0002:112672504|112684375",7,13,1
"332","scaffold0002:112995176|113006743",6,3,1
"333","scaffold0002:112995176|113010016",19,11,20
"334","scaffold0002:113004233|113006743",195,237,225
"335","scaffold0002:113004233|113010016",3,4,4
"336","scaffold0002:113032183|113036163",15,38,33
"337","scaffold0002:113109087|113112729",11,20,9
"338","scaffold0002:113175200|113178048",63,30,40
"339","scaffold0002:113191074|113195250",17,19,13
"340","scaffold0002:113214717|113219610",42,41,18
"341","scaffold0002:113316248|113316558",209,240,211
"342","scaffold0002:113440625|113458981",307,627,254
"343","scaffold0002:113440625|113492560",3,5,5
"344","scaffold0002:1137647|1140220",15,19,6
"345","scaffold0002:114281169|114282779",205,208,366
"346","scaffold0002:114281169|114297485",14,10,9
"347","scaffold0002:114281169|114303224",10,28,29
"348","scaffold0002:114309068|114314225",15,19,18
"349","scaffold0002:114316615|114323749",2,9,10
"350","scaffold0002:114364026|114367668",4,10,9
"351","scaffold0002:115081114|115081405",4,12,5
"352","scaffold0002:115108102|115109835",16,29,13
"353","scaffold0002:115122345|115124451",37,86,43
"354","scaffold0002:115122345|115135702",25,74,22
"355","scaffold0002:115430761|115433092",63,119,53
"356","scaffold0002:115430761|115436757",11,15,5
"357","scaffold0002:115522384|115566174",4,3,1
"358","scaffold0002:116151868|116168782",6,8,15
"359","scaffold0002:116151868|116185257",4,11,3
"360","scaffold0002:116320294|116359600",1,5,1
"361","scaffold0002:116347201|116359600",61,82,14
"362","scaffold0002:116933814|116934592",9,16,18
"363","scaffold0002:11836933|11839311",13,9,4
"364","scaffold0002:11866985|11887623",18,24,8
"365","scaffold0002:11881738|11887623",35,23,9
"366","scaffold0002:119094516|119099461",2,7,15
"367","scaffold0002:119147740|119152438",1,4,4
"368","scaffold0002:119206725|119226598",1,4,6
"369","scaffold0002:12174211|12175292",11,4,5
"370","scaffold0002:121895671|121896472",6,12,3
"371","scaffold0002:122138294|122148076",12,7,4
"372","scaffold0002:122139607|122148076",4,4,4
"373","scaffold0002:122144339|122148076",13,18,13
"374","scaffold0002:122144339|122171479",1,11,2
"375","scaffold0002:1221832|1222125",47,34,28
"376","scaffold0002:122495930|122500805",115,44,51
"377","scaffold0002:123034228|123035622",59,90,52
"378","scaffold0002:123034228|123047269",5,2,7
"379","scaffold0002:123947217|123947884",565,639,519
"380","scaffold0002:125348681|125351840",6,2,2
"381","scaffold0002:126316143|126317382",2,2,1
"382","scaffold0002:126316143|126338769",6,9,12
"383","scaffold0002:126337958|126338769",656,712,604
"384","scaffold0002:126573316|126576070",6,11,19
"385","scaffold0002:126756115|126757934",5,3,2
"386","scaffold0002:1270106|1273910",6,9,14
"387","scaffold0002:1272028|1273910",9,20,44
"388","scaffold0002:127799166|127802810",4,10,4
"389","scaffold0002:130867560|130887934",23,30,11
"390","scaffold0002:131104464|131138865",1,2,6
"391","scaffold0002:132729213|132730647",6,8,8
"392","scaffold0002:132748464|132756355",10,16,8
"393","scaffold0002:132748464|132761848",10,4,5
"394","scaffold0002:135090324|135090771",21,19,3
"395","scaffold0002:1416926|1417831",27,13,32
"396","scaffold0002:1463537|1466476",28,17,18
"397","scaffold0002:146607|150576",62,66,97
"398","scaffold0002:146607|153116",35,66,25
"399","scaffold0002:16765349|16772513",4,3,2
"400","scaffold0002:1727746|1730266",29,57,48
"401","scaffold0002:182059|182290",6,8,11
"402","scaffold0002:18410789|18411272",1,5,3
"403","scaffold0002:1843052|1843304",74,56,220
"404","scaffold0002:1879670|1882258",3,2,3
"405","scaffold0002:1916877|1918661",38,27,27
"406","scaffold0002:1916877|1920370",15,11,18
"407","scaffold0002:1918562|1920370",6,8,28
"408","scaffold0002:19693272|19694242",41,78,37
"409","scaffold0002:202739|207976",34,40,62
"410","scaffold0002:2062051|2064152",8,5,5
"411","scaffold0002:20732569|20746618",1,9,4
"412","scaffold0002:213652|215116",4,24,8
"413","scaffold0002:22440422|22441237",76,164,112
"414","scaffold0002:22843281|22848159",9,14,2
"415","scaffold0002:22846756|22860305",1,1,1
"416","scaffold0002:232000|232948",113,163,137
"417","scaffold0002:24130751|24133229",10,25,23
"418","scaffold0002:24158988|24194105",1,1,5
"419","scaffold0002:24205146|24210366",1,10,3
"420","scaffold0002:2604850|2605042",1,2,9
"421","scaffold0002:2625460|2650159",213,228,332
"422","scaffold0002:2643973|2650159",330,442,486
"423","scaffold0002:2643973|2655801",37,64,47
"424","scaffold0002:28860765|28873793",1,1,4
"425","scaffold0002:30272099|30272437",5,3,3
"426","scaffold0002:30936802|30941303",4,7,6
"427","scaffold0002:30953862|30963511",4,3,1
"428","scaffold0002:30953862|30966319",1,4,3
"429","scaffold0002:30963412|30966319",39,65,57
"430","scaffold0002:30963412|30980849",9,6,6
"431","scaffold0002:30979452|30980849",22,42,31
"432","scaffold0002:31059182|31060938",31,19,32
"433","scaffold0002:31640499|31649120",1,4,4
"434","scaffold0002:31699811|31704501",17,38,18
"435","scaffold0002:32585451|32589393",23,27,16
"436","scaffold0002:32909537|32911894",274,290,197
"437","scaffold0002:32984178|32985895",8,11,16
"438","scaffold0002:3370331|3371816",7,5,4
"439","scaffold0002:3370331|3373819",22,11,5
"440","scaffold0002:3439057|3442075",3,3,1
"441","scaffold0002:3441927|3447585",5,6,2
"442","scaffold0002:346014|346307",5,9,7
"443","scaffold0002:346014|354025",5,5,6
"444","scaffold0002:3803626|3803898",16,31,18
"445","scaffold0002:38370040|38370527",14,21,4
"446","scaffold0002:38490309|38491475",9,4,3
"447","scaffold0002:38634654|38637350",14,31,21
"448","scaffold0002:3902987|3907310",2,8,9
"449","scaffold0002:3926381|3935240",19,19,7
"450","scaffold0002:41343404|41355332",23,101,38
"451","scaffold0002:4141343|4180376",46,79,32
"452","scaffold0002:4141343|4190473",24,37,10
"453","scaffold0002:4141343|4195906",2,8,3
"454","scaffold0002:41882389|41882839",32,60,78
"455","scaffold0002:41900038|41900204",3,7,1
"456","scaffold0002:41997615|41998949",11,10,13
"457","scaffold0002:42003375|42004824",22,12,10
"458","scaffold0002:42062515|42071680",21,36,15
"459","scaffold0002:42076855|42088704",9,6,6
"460","scaffold0002:42087926|42088704",1,12,12
"461","scaffold0002:42102187|42108146",11,18,20
"462","scaffold0002:42162232|42163035",3,12,4
"463","scaffold0002:43133515|43151233",10,16,11
"464","scaffold0002:43877522|43884213",89,112,71
"465","scaffold0002:45010400|45010763",8,8,7
"466","scaffold0002:45011009|45011601",15,19,19
"467","scaffold0002:45219129|45229930",9,5,8
"468","scaffold0002:46420385|46422073",8,7,1
"469","scaffold0002:46528788|46529478",2,2,1
"470","scaffold0002:4715051|4729699",5,5,7
"471","scaffold0002:4729481|4729699",1,1,2
"472","scaffold0002:48917917|48933209",43,75,59
"473","scaffold0002:48945760|48946548",80,124,42
"474","scaffold0002:48945760|48950233",78,102,71
"475","scaffold0002:48945760|48954394",104,263,209
"476","scaffold0002:50743201|50748201",4,7,5
"477","scaffold0002:50745539|50748201",17,19,31
"478","scaffold0002:51662872|51665457",4,8,11
"479","scaffold0002:5179855|5181063",4,10,16
"480","scaffold0002:52208524|52214371",15,8,18
"481","scaffold0002:52237521|52260969",25,32,14
"482","scaffold0002:52258849|52260969",9,54,22
"483","scaffold0002:52258849|52275656",7,8,13
"484","scaffold0002:52274695|52275656",39,126,73
"485","scaffold0002:5236212|5236914",29,57,16
"486","scaffold0002:52545084|52546014",17,33,26
"487","scaffold0002:5260127|5263685",71,146,97
"488","scaffold0002:5260127|5266360",16,23,11
"489","scaffold0002:52815305|52860132",3,2,1
"490","scaffold0002:52931019|52951416",31,29,5
"491","scaffold0002:53134198|53136851",54,81,53
"492","scaffold0002:53185166|53196670",23,23,7
"493","scaffold0002:53203924|53209222",17,6,5
"494","scaffold0002:53443615|53443972",11,15,14
"495","scaffold0002:53472120|53472614",36,29,9
"496","scaffold0002:53505291|53507436",11,12,7
"497","scaffold0002:53584893|53595583",6,13,11
"498","scaffold0002:53584893|53607789",5,4,4
"499","scaffold0002:53594009|53607789",2,4,2
"500","scaffold0002:53882792|53884565",35,71,39
"501","scaffold0002:54145453|54145931",2,2,1
"502","scaffold0002:54302362|54318118",7,5,1
"503","scaffold0002:54338388|54340948",7,7,5
"504","scaffold0002:54344695|54349128",74,74,52
"505","scaffold0002:54348169|54349128",29,60,40
"506","scaffold0002:54368331|54369238",25,10,12
"507","scaffold0002:54579348|54583626",19,11,6
"508","scaffold0002:54579348|54603767",13,14,7
"509","scaffold0002:55144409|55146205",2,5,8
"510","scaffold0002:55303793|55315439",3,1,4
"511","scaffold0002:56614505|56617115",13,2,5
"512","scaffold0002:56857273|56860432",6,10,4
"513","scaffold0002:57284079|57290069",5,21,24
"514","scaffold0002:57541328|57624341",2,1,2
"515","scaffold0002:57616175|57624341",2,5,1
"516","scaffold0002:5786571|5800822",16,14,8
"517","scaffold0002:57875652|57881940",4,12,20
"518","scaffold0002:58562350|58564141",15,44,38
"519","scaffold0002:58676624|58680767",5,1,1
"520","scaffold0002:59766884|59777423",14,18,5
"521","scaffold0002:60083040|60093894",7,13,2
"522","scaffold0002:60115494|60124455",8,12,3
"523","scaffold0002:60148847|60150393",10,15,9
"524","scaffold0002:60168997|60184449",3,1,3
"525","scaffold0002:60231624|60234383",4,26,28
"526","scaffold0002:60243681|60247064",1,3,11
"527","scaffold0002:6041971|6049058",44,82,41
"528","scaffold0002:6325317|6326898",6,3,5
"529","scaffold0002:6423627|6424158",14,22,19
"530","scaffold0002:6425786|6426420",6,2,1
"531","scaffold0002:64992791|64994396",5,11,3
"532","scaffold0002:65431975|65435299",11,6,19
"533","scaffold0002:65507911|65511646",13,16,13
"534","scaffold0002:65580359|65581919",9,37,22
"535","scaffold0002:65580359|65587871",12,25,5
"536","scaffold0002:65724475|65731616",2,15,16
"537","scaffold0002:65724475|65738768",66,108,57
"538","scaffold0002:65724475|65742091",59,131,85
"539","scaffold0002:65728078|65738768",6,11,7
"540","scaffold0002:66151773|66152502",17,16,25
"541","scaffold0002:66236625|66243561",14,16,9
"542","scaffold0002:67181730|67189643",1,3,2
"543","scaffold0002:70016026|70016352",11,14,22
"544","scaffold0002:70588343|70591852",20,17,6
"545","scaffold0002:71418753|71427452",21,35,39
"546","scaffold0002:73130225|73130476",7,8,13
"547","scaffold0002:73312695|73319226",2,4,1
"548","scaffold0002:7550372|7550683",227,298,282
"549","scaffold0002:77554519|77555729",2,7,8
"550","scaffold0002:7898352|7899470",151,232,166
"551","scaffold0002:79025343|79028173",175,266,137
"552","scaffold0002:79041757|79044950",24,31,9
"553","scaffold0002:79139487|79152820",6,6,3
"554","scaffold0002:79143515|79152820",9,4,3
"555","scaffold0002:79152646|79152820",5,17,12
"556","scaffold0002:79648674|79652293",12,4,5
"557","scaffold0002:80080789|80086106",12,6,7
"558","scaffold0002:80091434|80118430",4,1,8
"559","scaffold0002:80176806|80187549",105,161,77
"560","scaffold0002:80286580|80289239",5,1,2
"561","scaffold0002:80290520|80292302",9,4,5
"562","scaffold0002:80301230|80302485",3,11,10
"563","scaffold0002:80301230|80314435",10,3,2
"564","scaffold0002:80313128|80314435",1611,2642,1446
"565","scaffold0002:80514094|80519453",1,1,5
"566","scaffold0002:80567912|80568343",45,30,10
"567","scaffold0002:84097162|84113386",4,2,2
"568","scaffold0002:84182635|84192840",19,24,28
"569","scaffold0002:86251952|86255957",54,73,39
"570","scaffold0002:8639848|8640766",12,4,3
"571","scaffold0002:8639848|8649604",11,12,6
"572","scaffold0002:8965398|8967325",31,71,60
"573","scaffold0002:906998|914009",31,38,35
"574","scaffold0002:918667|921523",7,10,2
"575","scaffold0002:941640|946601",2,4,8
"576","scaffold0002:95736788|95737115",7,14,11
"577","scaffold0002:95976970|95981681",13,40,30
"578","scaffold0002:9685913|9686475",5,20,7
"579","scaffold0002:9783813|9784414",6,13,18
"580","scaffold0002:9783813|9788044",3,5,6
"581","scaffold0002:9821589|9822770",5,9,6
