"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100315302|100318708",4,NA,NA
"48","scaffold0001:103794219|103795726",89,14,21
"49","scaffold0001:103794219|103797295",29,22,18
"50","scaffold0001:103795560|103797295",28,NA,NA
"51","scaffold0001:103825074|103825376",337,215,241
"52","scaffold0001:103825074|103828795",3,7,NA
"53","scaffold0001:103825074|103841091",21,2,16
"54","scaffold0001:103825074|103854606",9,26,10
"55","scaffold0001:103825074|103868986",3,15,3
"56","scaffold0001:103840995|103845464",152,55,83
"57","scaffold0001:103840995|103854606",30,30,32
"58","scaffold0001:103840995|103868986",61,24,29
"59","scaffold0001:103845267|103845464",4,NA,NA
"60","scaffold0001:103845267|103845994",NA,NA,8
"61","scaffold0001:103845267|103854606",213,137,91
"62","scaffold0001:103845267|103868986",157,120,99
"63","scaffold0001:103845330|103854606",4,NA,NA
"64","scaffold0001:103845330|103868986",2,NA,NA
"65","scaffold0001:103854521|103868986",NA,NA,5
"66","scaffold0001:103898187|103905476",14,NA,4
"67","scaffold0001:103898187|103934391",NA,4,NA
"68","scaffold0001:103898242|103905476",38,7,25
"69","scaffold0001:103898242|103934391",5,NA,NA
"70","scaffold0001:103936234|103936388",NA,NA,2
"71","scaffold0001:103941070|103941773",NA,NA,10
"72","scaffold0001:103948871|103951355",16,NA,4
"73","scaffold0001:103950481|103951355",5,6,NA
"74","scaffold0001:103951214|103954158",NA,NA,4
"75","scaffold0001:103966825|103968872",2,17,NA
"76","scaffold0001:103987704|103990326",NA,8,NA
"77","scaffold0001:104032169|104035819",NA,9,NA
"78","scaffold0001:104106010|104109085",16,10,12
"79","scaffold0001:104108886|104111063",11,NA,NA
"80","scaffold0001:104271519|104271683",NA,NA,2
"81","scaffold0001:104618782|104619036",NA,NA,7
"82","scaffold0001:104633005|104642078",NA,NA,9
"83","scaffold0001:104638971|104642078",19,NA,6
"84","scaffold0001:104639424|104642078",NA,NA,4
"85","scaffold0001:104700278|104709164",7,NA,NA
"86","scaffold0001:104754834|104766790",6,NA,NA
"87","scaffold0001:104802779|104803134",NA,9,12
"88","scaffold0001:104874239|104874567",NA,NA,8
"89","scaffold0001:104955947|104956177",NA,NA,4
"90","scaffold0001:10529115|10531578",4,NA,NA
"91","scaffold0001:105534966|105547478",2,NA,NA
"92","scaffold0001:105545379|105547478",159,74,91
"93","scaffold0001:105545384|105547478",NA,8,NA
"94","scaffold0001:105547907|105552060",15,NA,NA
"95","scaffold0001:105573217|105576786",4,NA,NA
"96","scaffold0001:105597843|105599822",10,2,2
"97","scaffold0001:105597843|105612030",2,NA,NA
"98","scaffold0001:10569361|10579892",3,NA,NA
"99","scaffold0001:10569361|10593086",4,5,NA
"100","scaffold0001:10569361|10628132",3,NA,NA
"101","scaffold0001:105713986|105721549",62,35,21
"102","scaffold0001:105713986|105722884",2,NA,NA
"103","scaffold0001:105713986|105723586",2,NA,NA
"104","scaffold0001:105745949|105746243",4,26,5
"105","scaffold0001:105783425|105784007",2,NA,6
"106","scaffold0001:105791154|105828520",6,NA,NA
"107","scaffold0001:105834688|105840238",11,18,12
"108","scaffold0001:105849824|105850169",NA,NA,4
"109","scaffold0001:105890423|105893432",9,NA,NA
"110","scaffold0001:105890423|105895155",9,37,31
"111","scaffold0001:105890423|105899374",4,NA,NA
"112","scaffold0001:105893249|105895155",5,NA,NA
"113","scaffold0001:105894572|105897363",NA,4,NA
"114","scaffold0001:105894771|105894963",NA,NA,4
"115","scaffold0001:105949103|105949636",NA,NA,8
"116","scaffold0001:106050669|106052678",NA,10,8
"117","scaffold0001:106050669|106058053",12,NA,6
"118","scaffold0001:106090615|106093140",NA,4,8
"119","scaffold0001:106090615|106096758",14,NA,NA
"120","scaffold0001:106090615|106101913",7,NA,18
"121","scaffold0001:106090615|106113274",4,NA,NA
"122","scaffold0001:106090615|106116911",7,NA,NA
"123","scaffold0001:106090615|106138243",2,NA,NA
"124","scaffold0001:106093050|106101913",42,22,15
"125","scaffold0001:106096631|106101913",4,NA,9
"126","scaffold0001:106096631|106113274",9,NA,11
"127","scaffold0001:106096631|106116911",NA,NA,3
"128","scaffold0001:106096631|106137013",4,NA,2
"129","scaffold0001:106096631|106139534",2,NA,NA
"130","scaffold0001:106101780|106113274",6,11,2
"131","scaffold0001:106111181|106113274",NA,8,11
"132","scaffold0001:106111181|106137013",9,NA,2
"133","scaffold0001:106113204|106138243",4,NA,NA
"134","scaffold0001:106116790|106137013",69,23,30
"135","scaffold0001:106116790|106138240",2,NA,NA
"136","scaffold0001:106116790|106138243",13,NA,8
"137","scaffold0001:106116790|106139534",21,6,24
"138","scaffold0001:106134209|106134528",6,NA,NA
"139","scaffold0001:106265400|106298899",3,NA,NA
"140","scaffold0001:10627960|10628132",4,NA,NA
"141","scaffold0001:106298715|106301568",6,NA,3
"142","scaffold0001:106337014|106337336",2,NA,NA
"143","scaffold0001:10703980|10727840",13,NA,NA
"144","scaffold0001:108094615|108125855",NA,10,NA
"145","scaffold0001:108118803|108125855",28,8,17
"146","scaffold0001:108118803|108130517",15,80,21
"147","scaffold0001:108125758|108130517",2,24,28
"148","scaffold0001:108190254|108194060",NA,6,NA
"149","scaffold0001:108190254|108194218",16,22,24
"150","scaffold0001:108536057|108561131",NA,6,NA
"151","scaffold0001:108549799|108561131",5,9,NA
"152","scaffold0001:108560199|108561131",17,NA,NA
"153","scaffold0001:108598070|108598266",15,NA,NA
"154","scaffold0001:108598070|108606991",6,NA,NA
"155","scaffold0001:108716866|108813171",5,NA,NA
"156","scaffold0001:108731839|108760508",6,NA,NA
"157","scaffold0001:108744659|108760508",66,34,17
"158","scaffold0001:108744659|108767868",66,24,5
"159","scaffold0001:108744659|108813171",22,12,5
"160","scaffold0001:108744667|108760508",5,NA,NA
"161","scaffold0001:108744667|108767868",8,6,NA
"162","scaffold0001:108758019|108760508",8,NA,NA
"163","scaffold0001:108758037|108760508",3,14,NA
"164","scaffold0001:108758335|108760508",2,NA,NA
"165","scaffold0001:108760438|108767868",2,NA,12
"166","scaffold0001:108767760|108813171",NA,NA,2
"167","scaffold0001:108804302|108813171",25,31,38
"168","scaffold0001:108812090|108813171",7,NA,NA
"169","scaffold0001:108888900|108891416",2,NA,NA
"170","scaffold0001:108888900|108893892",6,NA,NA
"171","scaffold0001:108896855|108907576",NA,13,NA
"172","scaffold0001:108926029|108969622",6,NA,NA
"173","scaffold0001:108926113|108969622",NA,9,NA
"174","scaffold0001:108946233|108946387",NA,4,NA
"175","scaffold0001:108946233|108955620",2,19,9
"176","scaffold0001:108946233|108964015",12,5,2
"177","scaffold0001:108946233|108969622",274,114,97
"178","scaffold0001:108955536|108969622",NA,6,2
"179","scaffold0001:108959224|108969622",NA,5,NA
"180","scaffold0001:108963965|108969622",2,NA,NA
"181","scaffold0001:108967072|108969622",30,2,19
"182","scaffold0001:108989418|109034964",12,5,NA
"183","scaffold0001:109298388|109323584",6,NA,4
"184","scaffold0001:109301759|109303350",NA,2,NA
"185","scaffold0001:109362237|109366059",NA,NA,2
"186","scaffold0001:109362267|109366059",157,118,64
"187","scaffold0001:109362267|109369455",13,8,13
"188","scaffold0001:109365965|109369455",NA,NA,6
"189","scaffold0001:109372506|109372987",2,NA,NA
"190","scaffold0001:109374881|109375173",NA,NA,16
"191","scaffold0001:109435083|109438351",2,NA,NA
"192","scaffold0001:109436541|109437295",10,NA,NA
"193","scaffold0001:109453621|109454118",4,NA,NA
"194","scaffold0001:109556178|109557281",NA,NA,6
"195","scaffold0001:109557148|109557281",4,NA,NA
"196","scaffold0001:109875591|109877754",2,NA,NA
"197","scaffold0001:109893648|109938623",8,NA,NA
"198","scaffold0001:109907223|109938623",7,NA,4
"199","scaffold0001:10991854|10992052",NA,17,NA
"200","scaffold0001:110075034|110078441",8,NA,NA
"201","scaffold0001:110138337|110139483",4,NA,NA
"202","scaffold0001:110147736|110148123",NA,6,NA
"203","scaffold0001:11077195|11077614",3,NA,NA
"204","scaffold0001:11296065|11315946",NA,NA,2
"205","scaffold0001:11311454|11315946",6,NA,NA
"206","scaffold0001:11378995|11380665",NA,5,7
"207","scaffold0001:11428169|11430444",3,NA,NA
"208","scaffold0001:11433837|11439103",16,NA,2
"209","scaffold0001:11433837|11443983",NA,NA,3
"210","scaffold0001:11438266|11439103",NA,NA,6
"211","scaffold0001:11438373|11443983",NA,NA,2
"212","scaffold0001:11503453|11513198",NA,NA,3
"213","scaffold0001:11582441|11589525",14,NA,NA
"214","scaffold0001:11927652|11928189",2,NA,NA
"215","scaffold0001:12008820|12037747",6,NA,NA
"216","scaffold0001:12018073|12037747",NA,NA,3
"217","scaffold0001:12032069|12037747",2,NA,NA
"218","scaffold0001:12032069|12091450",NA,NA,3
"219","scaffold0001:12036668|12037747",26,19,8
"220","scaffold0001:12063936|12064545",NA,28,NA
"221","scaffold0001:12063936|12091450",4,NA,2
"222","scaffold0001:12105989|12107112",32,43,15
"223","scaffold0001:12337900|12354394",NA,NA,4
"224","scaffold0001:12393562|12401526",5,NA,NA
"225","scaffold0001:12434233|12438685",2,NA,NA
"226","scaffold0001:1245684|1245834",NA,2,NA
"227","scaffold0001:13156527|13157172",3,NA,NA
"228","scaffold0001:1318430|1319520",NA,3,NA
"229","scaffold0001:13191603|13195377",NA,3,NA
"230","scaffold0001:13203654|13206196",18,3,3
"231","scaffold0001:13208008|13215339",NA,NA,6
"232","scaffold0001:13213580|13213737",NA,NA,4
"233","scaffold0001:13258904|13268550",NA,8,NA
"234","scaffold0001:13260417|13260824",2,NA,NA
"235","scaffold0001:13260417|13268550",6,NA,NA
"236","scaffold0001:13266214|13268550",4,NA,NA
"237","scaffold0001:13274681|13275476",2,NA,NA
"238","scaffold0001:13292978|13293266",NA,6,NA
"239","scaffold0001:13354444|13373232",NA,12,NA
"240","scaffold0001:13355229|13359962",4,NA,NA
"241","scaffold0001:13355229|13373232",NA,NA,2
"242","scaffold0001:13355229|13385909",NA,9,NA
"243","scaffold0001:13359854|13373232",NA,NA,5
"244","scaffold0001:13366171|13373232",14,4,NA
"245","scaffold0001:13380987|13384629",8,10,10
"246","scaffold0001:13380987|13385909",19,44,15
"247","scaffold0001:13440325|13441110",2,NA,NA
"248","scaffold0001:13516486|13518135",NA,NA,6
"249","scaffold0001:13560548|13580039",12,8,NA
"250","scaffold0001:13560548|13593962",NA,NA,2
"251","scaffold0001:13767159|13768738",17,6,10
"252","scaffold0001:13786010|13811010",8,NA,4
"253","scaffold0001:13896082|13902312",NA,6,2
"254","scaffold0001:13922317|13923602",16,18,8
"255","scaffold0001:13935004|13945795",NA,4,NA
"256","scaffold0001:13941519|13941923",43,43,3
"257","scaffold0001:13941519|13944574",58,61,24
"258","scaffold0001:13941523|13941923",476,256,153
"259","scaffold0001:13941523|13944574",475,453,158
"260","scaffold0001:13941523|13945795",47,19,28
"261","scaffold0001:13941523|13951680",2,20,7
"262","scaffold0001:13944489|13951680",NA,2,NA
"263","scaffold0001:13997472|14002914",3,NA,NA
"264","scaffold0001:14004220|14004675",NA,NA,2
"265","scaffold0001:14027555|14027873",NA,22,7
"266","scaffold0001:15167103|15204011",NA,3,NA
"267","scaffold0001:15182654|15204011",3,NA,NA
"268","scaffold0001:15227327|15232833",6,NA,NA
"269","scaffold0001:15240172|15241550",NA,NA,2
"270","scaffold0001:15251743|15254162",7,NA,NA
"271","scaffold0001:15257066|15266500",8,NA,NA
"272","scaffold0001:15282924|15287640",30,43,12
"273","scaffold0001:15282924|15287651",NA,NA,2
"274","scaffold0001:15393244|15402053",12,16,10
"275","scaffold0001:15393262|15393439",NA,5,NA
"276","scaffold0001:15407712|15408931",4,NA,NA
"277","scaffold0001:15408863|15413962",2,NA,3
"278","scaffold0001:15482714|15489002",13,NA,4
"279","scaffold0001:15488534|15489204",NA,NA,4
"280","scaffold0001:15496032|15497032",NA,NA,3
"281","scaffold0001:15504694|15507942",35,30,9
"282","scaffold0001:15516424|15516830",8,NA,NA
"283","scaffold0001:15543642|15548650",6,5,NA
"284","scaffold0001:15546671|15548650",NA,NA,4
"285","scaffold0001:15719439|15722869",24,NA,NA
"286","scaffold0001:15794931|15798363",NA,12,NA
"287","scaffold0001:15805802|15806011",3,NA,NA
"288","scaffold0001:15805802|15809919",9,NA,NA
"289","scaffold0001:15805802|15810806",9,NA,NA
"290","scaffold0001:15823967|15837209",2,NA,NA
"291","scaffold0001:15828040|15828384",NA,6,NA
"292","scaffold0001:15905337|15906565",14,NA,NA
"293","scaffold0001:16044723|16054270",8,5,NA
"294","scaffold0001:16044723|16078658",4,NA,NA
"295","scaffold0001:16078499|16081548",3,NA,NA
"296","scaffold0001:16078499|16091187",10,NA,2
"297","scaffold0001:16081411|16085354",6,NA,NA
"298","scaffold0001:16506062|16507962",4,NA,NA
"299","scaffold0001:16517733|16524221",7,NA,NA
"300","scaffold0001:16613477|16615526",240,34,37
"301","scaffold0001:16625189|16626907",276,106,53
"302","scaffold0001:16765854|16779623",4,NA,NA
"303","scaffold0001:16765854|16784175",15,37,13
"304","scaffold0001:16765854|16830745",11,NA,NA
"305","scaffold0001:16769332|16769508",NA,4,NA
"306","scaffold0001:16889352|16933871",5,NA,NA
"307","scaffold0001:16905803|16933871",11,NA,NA
"308","scaffold0001:17025986|17091174",NA,6,NA
"309","scaffold0001:17270378|17273610",NA,2,NA
"310","scaffold0001:17506155|17512014",NA,NA,2
"311","scaffold0001:17506155|17513763",NA,NA,3
"312","scaffold0001:17506155|17520479",2,NA,NA
"313","scaffold0001:17511894|17513763",130,61,36
"314","scaffold0001:17511894|17516848",NA,4,NA
"315","scaffold0001:175292|175465",3,NA,NA
"316","scaffold0001:17542144|17542490",NA,NA,4
"317","scaffold0001:17542144|17543355",NA,NA,2
"318","scaffold0001:17551685|17551883",NA,2,NA
"319","scaffold0001:17552763|17553400",13,NA,NA
"320","scaffold0001:17612401|17617822",NA,NA,3
"321","scaffold0001:17612401|17622296",153,51,67
"322","scaffold0001:17615252|17615537",4,NA,NA
"323","scaffold0001:182279|185366",NA,6,NA
"324","scaffold0001:1849703|1896017",5,NA,NA
"325","scaffold0001:1872731|1896017",81,74,32
"326","scaffold0001:1872731|1920378",NA,4,3
"327","scaffold0001:1872731|1964823",3,50,13
"328","scaffold0001:18857975|18872696",2,NA,NA
"329","scaffold0001:1895907|1912693",4,NA,4
"330","scaffold0001:1895907|1915046",NA,7,NA
"331","scaffold0001:1895907|1964823",NA,8,NA
"332","scaffold0001:1912578|1916246",NA,7,3
"333","scaffold0001:1912578|1920378",NA,14,4
"334","scaffold0001:1912578|1964823",6,NA,NA
"335","scaffold0001:1920307|1964823",4,NA,NA
"336","scaffold0001:19264446|19272684",2,NA,4
"337","scaffold0001:19264446|19278403",17,28,12
"338","scaffold0001:19286422|19292003",NA,NA,2
"339","scaffold0001:19325737|19326517",7,NA,NA
"340","scaffold0001:19342648|19343740",2,NA,NA
"341","scaffold0001:19431743|19436977",10,NA,NA
"342","scaffold0001:19529397|19534320",28,10,2
"343","scaffold0001:19600577|19611844",2,NA,NA
"344","scaffold0001:19610426|19611844",14,NA,NA
"345","scaffold0001:1961449|1964823",49,36,34
"346","scaffold0001:19830012|19832324",NA,NA,6
"347","scaffold0001:19863034|19865539",NA,NA,3
"348","scaffold0001:19942710|19942918",2,NA,NA
"349","scaffold0001:19942710|19947462",14,NA,16
"350","scaffold0001:19956677|19963673",NA,NA,2
"351","scaffold0001:19957165|19963191",4,NA,NA
"352","scaffold0001:20009971|20010904",6,NA,NA
"353","scaffold0001:2007169|2009324",49,69,106
"354","scaffold0001:2007169|2021932",NA,8,NA
"355","scaffold0001:2007649|2008166",4,NA,NA
"356","scaffold0001:2012047|2016763",NA,89,NA
"357","scaffold0001:20125628|20128987",8,NA,NA
"358","scaffold0001:20125628|20144638",11,NA,NA
"359","scaffold0001:2013440|2020839",6,NA,NA
"360","scaffold0001:2019834|2021932",NA,18,NA
"361","scaffold0001:2031187|2032123",5,NA,NA
"362","scaffold0001:2033598|2042575",2,NA,NA
"363","scaffold0001:2060568|2064719",53,14,33
"364","scaffold0001:20843984|20867299",3,NA,NA
"365","scaffold0001:20843984|20867322",3,NA,NA
"366","scaffold0001:20970221|20971844",NA,12,NA
"367","scaffold0001:21096055|21101758",NA,NA,6
"368","scaffold0001:21180074|21190496",2,NA,NA
"369","scaffold0001:21274528|21274720",4,NA,NA
"370","scaffold0001:21275686|21275927",7,NA,NA
"371","scaffold0001:21369770|21371569",10,15,NA
"372","scaffold0001:21384079|21384562",2,NA,NA
"373","scaffold0001:21410000|21410540",NA,4,NA
"374","scaffold0001:21410000|21410584",42,23,19
"375","scaffold0001:21465904|21467141",6,NA,NA
"376","scaffold0001:21477882|21478723",5,NA,NA
"377","scaffold0001:21482397|21482639",8,NA,NA
"378","scaffold0001:21485907|21486372",NA,NA,5
"379","scaffold0001:21492473|21492717",8,NA,NA
"380","scaffold0001:21511084|21511392",10,NA,4
"381","scaffold0001:21511754|21512273",NA,10,NA
"382","scaffold0001:21512343|21512510",NA,4,NA
"383","scaffold0001:21515147|21515269",NA,6,NA
"384","scaffold0001:21585477|21585660",NA,8,NA
"385","scaffold0001:21630332|21630730",2,NA,NA
"386","scaffold0001:21671224|21671343",NA,6,NA
"387","scaffold0001:21708636|21708882",14,NA,NA
"388","scaffold0001:21710996|21711875",NA,NA,3
"389","scaffold0001:21719476|21719628",5,NA,NA
"390","scaffold0001:21729150|21729549",NA,NA,2
"391","scaffold0001:21757500|21757934",2,NA,NA
"392","scaffold0001:21758680|21758972",4,NA,NA
"393","scaffold0001:21767571|21767964",NA,NA,4
"394","scaffold0001:21803446|21803669",4,NA,NA
"395","scaffold0001:21818523|21818713",2,NA,NA
"396","scaffold0001:21819802|21820217",NA,2,NA
"397","scaffold0001:21821524|21823457",NA,NA,2
"398","scaffold0001:21829958|21830232",NA,NA,6
"399","scaffold0001:21830473|21831194",4,NA,NA
"400","scaffold0001:21894338|21894774",8,NA,NA
"401","scaffold0001:21900745|21900984",6,NA,NA
"402","scaffold0001:21900893|21901099",NA,6,NA
"403","scaffold0001:21931838|21932047",NA,NA,2
"404","scaffold0001:2194437|2195076",4,NA,9
"405","scaffold0001:2194437|2206111",NA,NA,4
"406","scaffold0001:2194437|2211605",22,NA,NA
"407","scaffold0001:2194637|2195076",6,NA,NA
"408","scaffold0001:21984495|21988131",4,NA,NA
"409","scaffold0001:2205888|2211605",59,2,32
"410","scaffold0001:2205888|2230643",6,NA,NA
"411","scaffold0001:2226177|2230643",NA,12,NA
"412","scaffold0001:2234640|2241530",5,NA,NA
"413","scaffold0001:22422663|22423952",14,28,2
"414","scaffold0001:2251650|2255075",NA,NA,2
"415","scaffold0001:22516751|22516950",16,12,14
"416","scaffold0001:22618608|22619229",80,125,39
"417","scaffold0001:22618608|22620886",17,40,NA
"418","scaffold0001:22620401|22620886",8,12,NA
"419","scaffold0001:2270243|2271618",8,NA,12
"420","scaffold0001:2280206|2281081",NA,NA,8
"421","scaffold0001:2312182|2313163",NA,31,10
"422","scaffold0001:2335155|2335917",22,NA,2
"423","scaffold0001:2358802|2359094",NA,NA,5
"424","scaffold0001:23635607|23635785",NA,13,NA
"425","scaffold0001:2368944|2369392",NA,NA,6
"426","scaffold0001:23691718|23692103",2,NA,NA
"427","scaffold0001:23713682|23717250",32,43,NA
"428","scaffold0001:23749620|23751172",64,4,30
"429","scaffold0001:2375744|2377094",71,12,7
"430","scaffold0001:2375744|2385665",NA,2,NA
"431","scaffold0001:2376955|2413467",10,NA,NA
"432","scaffold0001:2379544|2385665",6,NA,NA
"433","scaffold0001:23887894|23891324",2,NA,NA
"434","scaffold0001:239454|239871",NA,16,NA
"435","scaffold0001:239666|239871",NA,NA,2
"436","scaffold0001:239950|241173",2,NA,NA
"437","scaffold0001:24200603|24201743",16,2,9
"438","scaffold0001:242150|242323",8,NA,NA
"439","scaffold0001:24303511|24308468",NA,8,NA
"440","scaffold0001:24306507|24308468",5,NA,NA
"441","scaffold0001:24306507|24312374",9,NA,NA
"442","scaffold0001:243844|244292",NA,NA,5
"443","scaffold0001:2446581|2447134",4,NA,NA
"444","scaffold0001:2465173|2465462",NA,NA,7
"445","scaffold0001:247592|247830",4,NA,NA
"446","scaffold0001:24796322|24796582",NA,3,NA
"447","scaffold0001:249229|249559",NA,NA,4
"448","scaffold0001:24947573|24960283",20,2,NA
"449","scaffold0001:24972709|24973252",9,33,NA
"450","scaffold0001:24972709|24988447",2,NA,NA
"451","scaffold0001:24986148|24988447",41,4,11
"452","scaffold0001:25139605|25142116",6,NA,NA
"453","scaffold0001:25147304|25149015",12,6,NA
"454","scaffold0001:25147304|25151488",3,NA,NA
"455","scaffold0001:25151278|25151488",8,NA,NA
"456","scaffold0001:25169981|25170208",30,12,NA
"457","scaffold0001:25194925|25201368",39,6,6
"458","scaffold0001:25205978|25206316",2,NA,NA
"459","scaffold0001:25213284|25213482",19,5,NA
"460","scaffold0001:25242568|25242962",188,82,40
"461","scaffold0001:25315508|25315762",NA,NA,3
"462","scaffold0001:25317911|25357857",8,NA,2
"463","scaffold0001:25317911|25384498",3,NA,NA
"464","scaffold0001:25357699|25364144",5,NA,NA
"465","scaffold0001:254899|255273",NA,NA,10
"466","scaffold0001:25510393|25511959",49,2,NA
"467","scaffold0001:25706195|25707632",NA,8,NA
"468","scaffold0001:257436|259830",NA,7,NA
"469","scaffold0001:25834982|25838982",NA,NA,4
"470","scaffold0001:25844946|25845620",6,NA,NA
"471","scaffold0001:25845478|25849874",3,NA,NA
"472","scaffold0001:25870351|25881675",NA,NA,3
"473","scaffold0001:259667|264227",NA,2,NA
"474","scaffold0001:26008858|26009019",NA,NA,6
"475","scaffold0001:26098579|26098732",NA,5,NA
"476","scaffold0001:2635587|2635772",13,NA,NA
"477","scaffold0001:2652921|2667770",2,NA,3
"478","scaffold0001:265467|267826",NA,NA,9
"479","scaffold0001:265467|272027",NA,8,NA
"480","scaffold0001:26745308|26756955",2,NA,NA
"481","scaffold0001:267622|272027",12,22,10
"482","scaffold0001:26812428|26812594",NA,NA,6
"483","scaffold0001:26865336|26865694",NA,NA,10
"484","scaffold0001:2694616|2745133",NA,2,NA
"485","scaffold0001:2695980|2696150",5,NA,NA
"486","scaffold0001:2695980|2698184",NA,NA,20
"487","scaffold0001:2695980|2706533",33,8,4
"488","scaffold0001:2695980|2714159",10,NA,NA
"489","scaffold0001:2695980|2729068",NA,6,NA
"490","scaffold0001:2695980|2730778",4,NA,NA
"491","scaffold0001:2695980|2745129",2,NA,NA
"492","scaffold0001:2695980|2745133",7,8,7
"493","scaffold0001:2698075|2706533",24,36,35
"494","scaffold0001:27002178|27005228",8,NA,NA
"495","scaffold0001:27027396|27028756",4,NA,NA
"496","scaffold0001:27031925|27032573",NA,NA,6
"497","scaffold0001:27031925|27056102",NA,NA,10
"498","scaffold0001:27038049|27051080",7,NA,NA
"499","scaffold0001:27044232|27048631",4,10,2
"500","scaffold0001:27044232|27051080",18,8,NA
"501","scaffold0001:27048451|27051080",17,NA,6
"502","scaffold0001:27050967|27056102",2,NA,NA
"503","scaffold0001:2705474|2706533",8,16,13
"504","scaffold0001:2706367|2714159",3,NA,NA
"505","scaffold0001:2706367|2726468",9,NA,NA
"506","scaffold0001:2706367|2729068",118,59,20
"507","scaffold0001:2706367|2743479",NA,NA,3
"508","scaffold0001:2706367|2745133",6,NA,5
"509","scaffold0001:27063775|27067831",3,NA,NA
"510","scaffold0001:27067710|27087266",NA,NA,2
"511","scaffold0001:27087171|27095176",6,NA,4
"512","scaffold0001:27087171|27103675",3,NA,NA
"513","scaffold0001:27093620|27095176",45,34,40
"514","scaffold0001:2714078|2745133",24,2,NA
"515","scaffold0001:271874|275445",NA,NA,15
"516","scaffold0001:271874|277076",NA,NA,4
"517","scaffold0001:271874|283509",13,NA,NA
"518","scaffold0001:271874|283531",NA,6,NA
"519","scaffold0001:2726309|2729068",67,29,40
"520","scaffold0001:2726309|2730693",2,NA,NA
"521","scaffold0001:2726309|2745133",51,7,15
"522","scaffold0001:2728971|2745133",36,NA,NA
"523","scaffold0001:27402457|27402693",8,NA,NA
"524","scaffold0001:2743396|2745129",NA,7,7
"525","scaffold0001:2743396|2745133",464,356,374
"526","scaffold0001:2743396|2747116",NA,NA,4
"527","scaffold0001:274858|277076",672,515,358
"528","scaffold0001:274858|278776",33,NA,NA
"529","scaffold0001:274858|301795",NA,NA,4
"530","scaffold0001:277010|289797",NA,NA,6
"531","scaffold0001:28182235|28185410",NA,NA,2
"532","scaffold0001:28224621|28225989",4,NA,NA
"533","scaffold0001:28224621|28229549",43,24,23
"534","scaffold0001:28224621|28235916",6,NA,NA
"535","scaffold0001:28224621|28244915",48,17,NA
"536","scaffold0001:28235795|28244915",10,NA,NA
"537","scaffold0001:2827773|2834570",5,10,NA
"538","scaffold0001:2832735|2834570",106,36,NA
"539","scaffold0001:283322|289797",NA,4,4
"540","scaffold0001:283322|301795",8,NA,NA
"541","scaffold0001:2839431|2842947",4,NA,NA
"542","scaffold0001:2846870|2851167",3,NA,NA
"543","scaffold0001:28569499|28571940",2,NA,NA
"544","scaffold0001:2870333|2870494",NA,NA,3
"545","scaffold0001:28742306|28742479",6,NA,NA
"546","scaffold0001:289554|289797",4,NA,2
"547","scaffold0001:289554|301795",11,3,22
"548","scaffold0001:29770369|29772782",12,4,NA
