"","circ_id","rsi1","rsi2","rsi3","rsi4"
"1","NW_017738920.1:1183486|1193368","1.000",NA,NA,NA
"39","NW_017738920.1:4460464|4461661","5.000",NA,NA,"2.000"
"40","NW_017738920.1:4463182|4470399","3.000",NA,NA,NA
"41","NW_017738920.1:4463207|4470399",NA,NA,"2.000",NA
"42","NW_017738920.1:4467235|4470399",NA,"2.000",NA,NA
"43","NW_017738920.1:4470281|4474239",NA,"1.000",NA,NA
"44","NW_017738920.1:4478500|4480705","3.000",NA,NA,NA
"45","NW_017738920.1:4478500|4486764",NA,"1.000",NA,NA
"46","NW_017738920.1:4514846|4523031",NA,"2.000",NA,NA
"47","NW_017738920.1:4514846|4523181",NA,"2.000",NA,NA
"48","NW_017738920.1:4522952|4531714","2.000",NA,NA,NA
"49","NW_017738920.1:4664483|4705998","1.000",NA,NA,NA
"50","NW_017738920.1:4696947|4705998","85.000",NA,"20.000",NA
"51","NW_017738920.1:4696947|4762780",NA,"1.000",NA,NA
"52","NW_017738920.1:4696947|4786143",NA,"2.000","1.000",NA
"53","NW_017738920.1:4814688|4826259",NA,"1.000",NA,NA
"54","NW_017738920.1:5034260|5040967",NA,"2.000",NA,NA
"55","NW_017738920.1:5034260|5066698","2.000",NA,NA,NA
"56","NW_017738920.1:5152475|5159672","2.000",NA,NA,NA
"57","NW_017738920.1:525355|528990","4.000",NA,NA,NA
"58","NW_017738920.1:5256311|5318737",NA,"1.000",NA,"4.000"
"59","NW_017738920.1:5269061|5270491",NA,NA,NA,"1.000"
"60","NW_017738920.1:5269061|5318737",NA,"2.000",NA,NA
"61","NW_017738920.1:5456178|5456413",NA,NA,NA,"1.000"
"62","NW_017738920.1:570825|571466",NA,"2.000",NA,NA
"63","NW_017738920.1:5709736|5726042",NA,NA,"2.000",NA
"64","NW_017738920.1:5709736|5733673","2.000",NA,NA,NA
"65","NW_017738920.1:5718323|5722317",NA,NA,NA,"5.000"
"66","NW_017738920.1:5868251|5868536",NA,"5.000",NA,NA
"67","NW_017738920.1:6012991|6035280","9.000","1.000","10.000",NA
"68","NW_017738920.1:6024386|6035280","2.000",NA,NA,NA
"69","NW_017738920.1:6263899|6267587",NA,"2.000",NA,"1.000"
"70","NW_017738920.1:630044|640639",NA,"3.000",NA,NA
"71","NW_017738920.1:6520906|6523477",NA,"9.000",NA,"3.000"
"72","NW_017738920.1:6636816|6637252","3.000","2.000",NA,NA
"73","NW_017738920.1:6636816|6721236",NA,"1.000",NA,"2.000"
"74","NW_017738920.1:6693529|6721236","13.000","10.000",NA,NA
"75","NW_017738920.1:6778010|6780643",NA,"6.000",NA,"5.000"
"76","NW_017738920.1:7062009|7069373",NA,"1.000",NA,NA
"77","NW_017738920.1:7263379|7263638",NA,NA,NA,"2.000"
"78","NW_017738920.1:7264016|7264210","1.000",NA,NA,NA
"79","NW_017738920.1:7564454|7568107",NA,NA,NA,"1.000"
"80","NW_017738920.1:7728121|7748641",NA,"1.000",NA,NA
"81","NW_017738920.1:772983|774424",NA,"9.000",NA,NA
"82","NW_017738920.1:7739531|7740140",NA,NA,NA,"1.000"
"83","NW_017738920.1:8030427|8041449",NA,"2.000",NA,"2.000"
"84","NW_017738920.1:8035616|8037679",NA,NA,NA,"1.000"
"85","NW_017738920.1:8059965|8062921",NA,"2.000",NA,NA
"86","NW_017738920.1:8102702|8185640",NA,NA,NA,"1.000"
"87","NW_017738920.1:8130343|8185640","2.000","3.000",NA,NA
"88","NW_017738920.1:8130343|8277037",NA,NA,NA,"3.000"
"89","NW_017738920.1:8185080|8185640",NA,"2.000",NA,"2.000"
"90","NW_017738920.1:836341|864568","3.000",NA,NA,NA
"91","NW_017738921.1:1003792|1021126","2.000",NA,NA,NA
"92","NW_017738921.1:1029825|1039453",NA,"2.000",NA,NA
"93","NW_017738921.1:1221416|1227456",NA,NA,NA,"1.000"
"94","NW_017738921.1:1228330|1245248",NA,"2.000",NA,NA
"95","NW_017738921.1:1251418|1256207",NA,"1.000",NA,NA
"96","NW_017738921.1:262114|268602","2.000","3.000",NA,NA
"97","NW_017738921.1:2843671|2853304",NA,NA,"3.000",NA
"98","NW_017738921.1:2928097|2943834","1.000",NA,NA,NA
"99","NW_017738921.1:2937254|2967577",NA,"2.000",NA,NA
"100","NW_017738921.1:338834|339341",NA,"2.000",NA,NA
"101","NW_017738921.1:399262|403675",NA,NA,"3.000",NA
"102","NW_017738921.1:4333093|4339325",NA,NA,"4.000",NA
"103","NW_017738921.1:5694517|5742544",NA,"2.000",NA,NA
"104","NW_017738921.1:6604929|6634765","3.000",NA,"2.000",NA
"105","NW_017738921.1:6619466|6634765","6.000",NA,NA,NA
"106","NW_017738921.1:6720981|6777720",NA,NA,"1.000",NA
"107","NW_017738921.1:6774943|6775635",NA,NA,"6.000",NA
"108","NW_017738921.1:7112583|7120022",NA,NA,NA,"2.000"
"109","NW_017738921.1:7113406|7120022","7.000","20.000",NA,"8.000"
"110","NW_017738921.1:7155242|7171413","3.000",NA,NA,NA
"111","NW_017738921.1:7168614|7171413",NA,"1.000",NA,NA
"112","NW_017738922.1:1057564|1058632","16.000","4.000","11.000","1.000"
"113","NW_017738922.1:1057564|1078294","2.000",NA,NA,NA
"114","NW_017738922.1:1057564|1081709",NA,"1.000","2.000",NA
"115","NW_017738922.1:1057564|1089302","1.000",NA,"3.000","6.000"
"116","NW_017738922.1:1058536|1071464","4.000",NA,NA,NA
"117","NW_017738922.1:197861|200033","1.000",NA,NA,NA
"118","NW_017738922.1:3297367|3307957",NA,"1.000",NA,NA
"119","NW_017738922.1:3297367|3320186","1.000",NA,NA,NA
"120","NW_017738922.1:3297367|3331751",NA,"7.000",NA,"1.000"
"121","NW_017738922.1:3319990|3331751","1.000",NA,NA,NA
"122","NW_017738922.1:3357893|3359653",NA,"4.000",NA,"4.000"
"123","NW_017738922.1:3357893|3373065","1.000","2.000",NA,NA
"124","NW_017738922.1:3383794|3392571",NA,"6.000","1.000",NA
"125","NW_017738922.1:339565|343269",NA,"3.000",NA,NA
"126","NW_017738922.1:339565|376616","2.000",NA,NA,NA
"127","NW_017738922.1:3418019|3432941","1.000",NA,"3.000",NA
"128","NW_017738922.1:3422096|3437649",NA,"1.000",NA,NA
"129","NW_017738922.1:3447300|3475127",NA,"4.000",NA,NA
"130","NW_017738922.1:3484278|3484536","1.000",NA,NA,NA
"131","NW_017738922.1:3496159|3498891",NA,"1.000",NA,NA
"132","NW_017738922.1:3496159|3505456","2.000","4.000",NA,NA
"133","NW_017738922.1:3527449|3531132","12.000","12.000","8.000","5.000"
"134","NW_017738922.1:3527449|3550029",NA,"2.000",NA,NA
"135","NW_017738922.1:3530998|3550029",NA,"1.000",NA,NA
"136","NW_017738922.1:3544773|3550029","8.000",NA,NA,"1.000"
"137","NW_017738922.1:3571763|3579204",NA,"1.000",NA,NA
"138","NW_017738922.1:3578142|3581810",NA,NA,NA,"1.000"
"139","NW_017738922.1:3584871|3598823","1.000","4.000",NA,NA
"140","NW_017738922.1:3598780|3600715",NA,"2.000",NA,NA
"141","NW_017738922.1:5045702|5051718",NA,"2.000",NA,NA
"142","NW_017738922.1:5071212|5092058","2.000",NA,"2.000",NA
"143","NW_017738922.1:5071318|5085427",NA,"1.000",NA,NA
"144","NW_017738922.1:5071318|5093791",NA,"3.000",NA,NA
"145","NW_017738922.1:5834126|5874515",NA,NA,"2.000",NA
"146","NW_017738922.1:6914723|6919858","1.000",NA,NA,NA
"147","NW_017738922.1:6919728|6961404",NA,NA,"1.000",NA
"148","NW_017738922.1:6938137|6976295","2.000",NA,NA,NA
"149","NW_017738922.1:6938244|6938685",NA,"4.000",NA,NA
"150","NW_017738922.1:6942596|6976295",NA,"4.000",NA,NA
"151","NW_017738922.1:6950527|6976295","3.000","1.000","6.000",NA
"152","NW_017738922.1:6956229|6976295",NA,NA,NA,"3.000"
"153","NW_017738922.1:6960797|6976295",NA,"2.000",NA,NA
"154","NW_017738922.1:6960797|6983494",NA,NA,"6.000",NA
"155","NW_017738922.1:6964441|6976295",NA,"1.000",NA,NA
"156","NW_017738922.1:6969031|6976295",NA,"2.000","11.000",NA
"157","NW_017738922.1:702433|705205",NA,"1.000",NA,NA
"158","NW_017738922.1:7281563|7298216",NA,NA,"2.000","8.000"
"159","NW_017738922.1:836119|842181","1.000",NA,NA,NA
"160","NW_017738922.1:836136|842181","3.000",NA,NA,NA
"161","NW_017738922.1:9645859|9655915",NA,"1.000",NA,NA
"162","NW_017738923.1:10396453|10404368",NA,NA,NA,"2.000"
"163","NW_017738923.1:10396453|10409141",NA,"2.000",NA,NA
"164","NW_017738923.1:10416595|10418581",NA,"4.000",NA,NA
"165","NW_017738923.1:10426962|10429391","7.000","12.000","4.000",NA
"166","NW_017738923.1:10434371|10443220",NA,"4.000",NA,NA
"167","NW_017738923.1:10899682|10920675",NA,NA,NA,"1.000"
"168","NW_017738923.1:11138501|11141557","4.000",NA,NA,NA
"169","NW_017738923.1:11207816|11215232",NA,"2.000",NA,NA
"170","NW_017738923.1:11247060|11250445",NA,NA,NA,"4.000"
"171","NW_017738923.1:11368336|11369829","1.000",NA,NA,NA
"172","NW_017738923.1:11902277|11909531",NA,"5.000",NA,NA
"173","NW_017738923.1:11902277|11919100",NA,NA,NA,"1.000"
"174","NW_017738923.1:11902277|11951897",NA,"1.000",NA,NA
"175","NW_017738923.1:11931659|11997712","1.000",NA,NA,NA
"176","NW_017738923.1:11947978|11951897","1.000","2.000","2.000",NA
"177","NW_017738923.1:11947978|11974235",NA,"4.000",NA,NA
"178","NW_017738923.1:11986534|11997712","1.000","2.000","1.000",NA
"179","NW_017738923.1:12433877|12472887",NA,"2.000",NA,NA
"180","NW_017738923.1:12453700|12462688","3.000",NA,NA,NA
"181","NW_017738923.1:1422756|1427775","5.000","6.000",NA,"1.000"
"182","NW_017738923.1:1427596|1427775","1.000",NA,NA,NA
"183","NW_017738923.1:14562041|14574944","3.000","2.000",NA,NA
"184","NW_017738923.1:14718984|14746882","1.000","3.000",NA,NA
"185","NW_017738923.1:14751183|14789617",NA,NA,"2.000",NA
"186","NW_017738923.1:14772274|14789617","23.000","21.000","20.000","10.000"
"187","NW_017738923.1:14772274|14816325","1.000",NA,NA,NA
"188","NW_017738923.1:14786073|14808450",NA,NA,"1.000",NA
"189","NW_017738923.1:14786073|14816325","3.000",NA,NA,NA
"190","NW_017738923.1:14970711|14971180","3.000","2.000",NA,NA
"191","NW_017738923.1:1498609|1501481",NA,"1.000",NA,NA
"192","NW_017738923.1:15002604|15012770",NA,"2.000",NA,NA
"193","NW_017738923.1:15002604|15019176","1.000","5.000",NA,NA
"194","NW_017738923.1:15035507|15048180",NA,"1.000","2.000",NA
"195","NW_017738923.1:15035507|15050148",NA,"1.000",NA,NA
"196","NW_017738923.1:15035507|15053257","4.000","10.000",NA,"1.000"
"197","NW_017738923.1:15035507|15081970",NA,NA,NA,"4.000"
"198","NW_017738923.1:15044638|15053257","4.000","2.000",NA,NA
"199","NW_017738923.1:15044638|15081970",NA,NA,"1.000",NA
"200","NW_017738923.1:15052554|15081970",NA,"7.000",NA,NA
"201","NW_017738923.1:15053177|15081970",NA,NA,"1.000",NA
"202","NW_017738923.1:15059269|15081970","7.000","6.000",NA,NA
"203","NW_017738923.1:15059269|15110491",NA,NA,NA,"2.000"
"204","NW_017738923.1:15059269|15130820",NA,NA,"2.000",NA
"205","NW_017738923.1:15071110|15081970","2.000",NA,NA,NA
"206","NW_017738923.1:15071110|15110491","3.000","4.000",NA,NA
"207","NW_017738923.1:15107216|15110491",NA,"5.000",NA,NA
"208","NW_017738923.1:15110391|15130820",NA,"1.000",NA,NA
"209","NW_017738923.1:15182903|15185854",NA,"9.000",NA,"1.000"
"210","NW_017738923.1:15205275|15208776",NA,"1.000",NA,NA
"211","NW_017738923.1:15205275|15213975",NA,"3.000",NA,NA
"212","NW_017738923.1:15232715|15243820",NA,"1.000",NA,NA
"213","NW_017738923.1:15238448|15243820",NA,"5.000",NA,NA
"214","NW_017738923.1:15261061|15262636",NA,NA,"3.000",NA
"215","NW_017738923.1:15279994|15280639",NA,NA,NA,"4.000"
"216","NW_017738923.1:15279994|15283962",NA,NA,NA,"1.000"
"217","NW_017738923.1:15833349|15843702",NA,NA,NA,"2.000"
"218","NW_017738923.1:16045357|16045980",NA,"1.000",NA,NA
"219","NW_017738923.1:16046057|16046294","3.000",NA,NA,NA
"220","NW_017738923.1:16051297|16051754",NA,NA,"4.000",NA
"221","NW_017738923.1:16088907|16090834",NA,NA,NA,"1.000"
"222","NW_017738923.1:16114543|16114814",NA,"1.000",NA,NA
"223","NW_017738923.1:16117322|16117674","3.000",NA,NA,NA
"224","NW_017738923.1:16122758|16123182","1.000","1.000",NA,NA
"225","NW_017738923.1:16123060|16123380","1.000",NA,NA,NA
"226","NW_017738923.1:16123260|16123651","2.000",NA,NA,NA
"227","NW_017738923.1:16153865|16163545","6.000",NA,NA,NA
"228","NW_017738923.1:16157777|16171152",NA,NA,NA,"3.000"
"229","NW_017738923.1:16178064|16178211",NA,"1.000",NA,NA
"230","NW_017738923.1:1743141|1757678",NA,NA,NA,"2.000"
"231","NW_017738923.1:2165289|2175168","5.000",NA,NA,NA
"232","NW_017738923.1:2384555|2385797","4.000",NA,NA,NA
"233","NW_017738923.1:2384555|2385835","38.000",NA,"34.000","13.000"
"234","NW_017738923.1:2409675|2412549",NA,"1.000","1.000",NA
"235","NW_017738923.1:2409675|2448025","4.000","2.000",NA,NA
"236","NW_017738923.1:2438742|2448025","31.000","9.000","21.000","7.000"
"237","NW_017738923.1:2445861|2448025","2.000",NA,NA,NA
"238","NW_017738923.1:2549220|2566624",NA,"2.000","1.000",NA
"239","NW_017738923.1:2558531|2611713",NA,"1.000",NA,NA
"240","NW_017738923.1:2653433|2658639",NA,NA,NA,"6.000"
"241","NW_017738923.1:2653433|2683941",NA,"1.000",NA,NA
"242","NW_017738923.1:2923154|2962241","1.000",NA,"11.000",NA
"243","NW_017738923.1:3009256|3061590","2.000",NA,NA,NA
"244","NW_017738923.1:3009256|3148307",NA,"11.000",NA,NA
"245","NW_017738923.1:3061469|3101383",NA,NA,NA,"1.000"
"246","NW_017738923.1:3090099|3148307",NA,NA,NA,"3.000"
"247","NW_017738923.1:3148223|3241511",NA,NA,NA,"4.000"
"248","NW_017738923.1:3148223|3304841",NA,"1.000",NA,NA
"249","NW_017738923.1:3170443|3241511",NA,"1.000",NA,"2.000"
"250","NW_017738923.1:3199636|3241511",NA,"1.000",NA,NA
"251","NW_017738923.1:3204641|3241511","3.000","10.000",NA,"6.000"
"252","NW_017738923.1:3204641|3304841",NA,"2.000",NA,NA
"253","NW_017738923.1:3217964|3241511",NA,NA,NA,"1.000"
"254","NW_017738923.1:3304607|3309849",NA,NA,NA,"8.000"
"255","NW_017738923.1:3375536|3376896",NA,"1.000",NA,NA
"256","NW_017738923.1:3462672|3464225",NA,"1.000",NA,NA
"257","NW_017738923.1:3542905|3547741",NA,"1.000",NA,NA
"258","NW_017738923.1:4597518|4600270","3.000",NA,NA,"3.000"
"259","NW_017738923.1:4597518|4611045",NA,NA,"2.000",NA
"260","NW_017738923.1:4639767|4640203",NA,"2.000",NA,NA
"261","NW_017738923.1:4708518|4711999","2.000",NA,NA,NA
"262","NW_017738923.1:4836105|4837641","1.000","7.000","8.000","2.000"
"263","NW_017738923.1:4886684|4892050",NA,"4.000","4.000",NA
"264","NW_017738923.1:4941799|4956932",NA,"2.000",NA,NA
"265","NW_017738923.1:4954682|4956932",NA,"2.000",NA,NA
"266","NW_017738923.1:5142114|5143144","1.000",NA,NA,NA
"267","NW_017738923.1:5161253|5168883",NA,"1.000",NA,NA
"268","NW_017738923.1:5188797|5194644",NA,"1.000",NA,NA
"269","NW_017738923.1:523271|531178",NA,NA,NA,"2.000"
"270","NW_017738923.1:528989|531178","5.000","10.000",NA,"6.000"
"271","NW_017738923.1:5449271|5459548",NA,NA,"1.000",NA
"272","NW_017738923.1:5451231|5459548","1.000",NA,NA,NA
"273","NW_017738923.1:5524817|5525122",NA,NA,NA,"2.000"
"274","NW_017738923.1:5529156|5552285",NA,NA,"2.000",NA
"275","NW_017738923.1:5535361|5552285",NA,"4.000","4.000",NA
"276","NW_017738923.1:5567607|5567770","2.000",NA,NA,NA
"277","NW_017738923.1:5576470|5591436",NA,NA,"2.000",NA
"278","NW_017738923.1:5576470|5592882",NA,"3.000",NA,NA
"279","NW_017738923.1:5591361|5595183",NA,"1.000",NA,NA
"280","NW_017738923.1:5686121|5689890",NA,NA,"2.000",NA
"281","NW_017738923.1:5686121|5700872","2.000",NA,NA,NA
"282","NW_017738923.1:5686121|5723436",NA,"1.000",NA,NA
"283","NW_017738923.1:5969951|5973461",NA,NA,NA,"5.000"
"284","NW_017738923.1:6455919|6480929","1.000",NA,NA,NA
"285","NW_017738923.1:6565453|6582161",NA,NA,"5.000",NA
"286","NW_017738923.1:6577779|6582161","2.000",NA,NA,NA
"287","NW_017738923.1:6596989|6598143","1.000",NA,NA,NA
"288","NW_017738923.1:7744850|7745186",NA,NA,NA,"4.000"
"289","NW_017738923.1:7839114|7840705",NA,NA,NA,"1.000"
"290","NW_017738923.1:7840343|7840705","2.000","9.000","2.000","1.000"
"291","NW_017738923.1:7997636|8005472",NA,"1.000",NA,NA
"292","NW_017738923.1:8005390|8020443","13.000","4.000",NA,"5.000"
"293","NW_017738923.1:8134727|8147068",NA,"1.000",NA,NA
"294","NW_017738923.1:8138146|8147068",NA,"2.000",NA,NA
"295","NW_017738923.1:9176921|9219254",NA,NA,"1.000",NA
"296","NW_017738923.1:9178434|9201628",NA,NA,"2.000",NA
"297","NW_017738923.1:9189662|9201628",NA,NA,NA,"5.000"
"298","NW_017738923.1:9189662|9202605",NA,"1.000",NA,NA
"299","NW_017738923.1:9189662|9219254","4.000",NA,NA,"9.000"
"300","NW_017738923.1:9330781|9369709",NA,NA,NA,"6.000"
"301","NW_017738923.1:9380906|9399378",NA,"1.000",NA,NA
"302","NW_017738923.1:9403989|9420868","2.000",NA,NA,NA
"303","NW_017738923.1:9547444|9581095","4.000","1.000",NA,NA
"304","NW_017738924.1:1586568|1587109","3.000",NA,NA,NA
"305","NW_017738924.1:4229|8141",NA,"2.000",NA,NA
"306","NW_017738924.1:4351718|4359024",NA,"4.000","3.000","2.000"
"307","NW_017738924.1:4482916|4487429",NA,"1.000",NA,NA
"308","NW_017738924.1:4533707|4552430","3.000","11.000","5.000",NA
"309","NW_017738924.1:4548603|4552430",NA,"1.000",NA,NA
"310","NW_017738924.1:4588969|4616693","3.000","11.000",NA,"7.000"
"311","NW_017738924.1:4588969|4696772",NA,NA,"2.000",NA
"312","NW_017738924.1:4599426|4616693",NA,"3.000",NA,NA
"313","NW_017738924.1:4603573|4616693",NA,"1.000",NA,NA
"314","NW_017738924.1:4612297|4616693","11.000","10.000","5.000",NA
"315","NW_017738924.1:4663551|4673882",NA,"1.000",NA,NA
"316","NW_017738924.1:4670551|4673882",NA,NA,"1.000",NA
"317","NW_017738924.1:4696464|4696772","4.000",NA,NA,NA
"318","NW_017738924.1:4696464|4710239","2.000","4.000","3.000","1.000"
"319","NW_017738924.1:5397374|5398056",NA,"1.000",NA,NA
"320","NW_017738924.1:5698530|5703780",NA,"4.000",NA,NA
"321","NW_017738924.1:573757|579427",NA,NA,NA,"2.000"
"322","NW_017738924.1:6580111|6589360","3.000",NA,NA,NA
"323","NW_017738924.1:6582557|6585730","1.000",NA,"1.000","1.000"
"324","NW_017738924.1:6614124|6619430",NA,"4.000",NA,NA
"325","NW_017738924.1:6614124|6627682","6.000","11.000","8.000","5.000"
"326","NW_017738924.1:6826071|6900493","4.000",NA,"4.000",NA
"327","NW_017738924.1:6974693|6979251",NA,"1.000",NA,NA
"328","NW_017738924.1:7274660|7277225","1.000","9.000",NA,"14.000"
"329","NW_017738924.1:7290930|7307692",NA,NA,NA,"1.000"
"330","NW_017738924.1:7290930|7318035","2.000",NA,NA,NA
"331","NW_017738924.1:7293596|7294884",NA,NA,NA,"1.000"
"332","NW_017738924.1:7328075|7328682","11.000","6.000","2.000",NA
"333","NW_017738924.1:8218517|8219025","3.000",NA,NA,NA
"334","NW_017738924.1:8218517|8255649",NA,NA,"1.000",NA
"335","NW_017738924.1:8218517|8261378",NA,NA,"1.000",NA
"336","NW_017738924.1:8251615|8261378","2.000",NA,NA,NA
"337","NW_017738924.1:8287015|8289337",NA,"1.000",NA,NA
"338","NW_017738924.1:8334731|8345775","1.000",NA,NA,NA
"339","NW_017738924.1:8342322|8356719","2.000",NA,NA,NA
"340","NW_017738924.1:841117|852917","1.000",NA,NA,NA
"341","NW_017738924.1:8856487|8860210",NA,"1.000",NA,NA
"342","NW_017738924.1:8856487|8864051","3.000","2.000",NA,"4.000"
"343","NW_017738924.1:8883461|8897898",NA,NA,"2.000",NA
"344","NW_017738924.1:8892673|8893224",NA,"4.000",NA,NA
"345","NW_017738924.1:8908641|8920445",NA,"1.000",NA,NA
"346","NW_017738924.1:8978508|8987651","4.000","12.000","5.000","8.000"
"347","NW_017738924.1:9054648|9056309","1.000",NA,NA,NA
"348","NW_017738924.1:9305675|9305937","17.000","3.000","3.000",NA
"349","NW_017738924.1:9320775|9322927",NA,"1.000",NA,NA
"350","NW_017738924.1:9389751|9395408","1.000","3.000",NA,"1.000"
"351","NW_017738924.1:9422821|9432937",NA,NA,"2.000",NA
"352","NW_017738924.1:9562995|9564290",NA,"4.000",NA,NA
"353","NW_017738925.1:10209627|10209776","2.000",NA,NA,NA
"354","NW_017738925.1:10507056|10518718","1.000","4.000","1.000","1.000"
"355","NW_017738925.1:10550548|10557653",NA,"2.000",NA,NA
"356","NW_017738925.1:10560130|10562850","1.000",NA,NA,NA
"357","NW_017738925.1:10772715|10774923",NA,"3.000",NA,NA
"358","NW_017738925.1:10820902|10821306",NA,"7.000",NA,"2.000"
"359","NW_017738925.1:10820902|10835414",NA,"17.000",NA,"14.000"
"360","NW_017738925.1:10833402|10835414",NA,NA,"2.000",NA
"361","NW_017738925.1:10846419|10857406","2.000","1.000",NA,NA
"362","NW_017738925.1:10888476|10893358",NA,"1.000",NA,NA
"363","NW_017738925.1:10888476|10896350",NA,NA,NA,"1.000"
"364","NW_017738925.1:1342669|1380662","1.000",NA,NA,NA
"365","NW_017738925.1:1376452|1380662","1.000",NA,NA,NA
"366","NW_017738925.1:2110931|2116016","1.000",NA,NA,NA
"367","NW_017738925.1:2195841|2205699",NA,NA,NA,"4.000"
"368","NW_017738925.1:2285811|2291247","2.000",NA,NA,NA
"369","NW_017738925.1:2527163|2595425","1.000",NA,NA,NA
"370","NW_017738925.1:5277312|5315196","6.000","5.000",NA,NA
"371","NW_017738925.1:5295539|5387931","1.000",NA,NA,"2.000"
"372","NW_017738925.1:5373185|5387931","3.000","14.000","4.000","2.000"
"373","NW_017738925.1:5387654|5387931",NA,NA,"2.000",NA
"374","NW_017738925.1:5668844|5673205","2.000",NA,NA,"1.000"
"375","NW_017738925.1:6090880|6101728",NA,NA,NA,"1.000"
"376","NW_017738925.1:6204752|6242894",NA,NA,NA,"2.000"
"377","NW_017738925.1:6441527|6463680",NA,NA,"3.000",NA
"378","NW_017738925.1:6459408|6468681",NA,NA,NA,"1.000"
"379","NW_017738925.1:6489856|6495717",NA,"1.000",NA,NA
"380","NW_017738925.1:6510091|6513303",NA,NA,NA,"2.000"
"381","NW_017738925.1:6510091|6518810","17.000","10.000","7.000","6.000"
"382","NW_017738925.1:6510091|6538839",NA,"2.000","2.000",NA
"383","NW_017738925.1:7038104|7192701",NA,NA,NA,"1.000"
"384","NW_017738925.1:8490371|8506412",NA,"2.000",NA,NA
"385","NW_017738925.1:9809218|9811793",NA,NA,"1.000",NA
"386","NW_017738925.1:9827376|9829878","2.000",NA,NA,"3.000"
"387","NW_017738925.1:9859181|9888515",NA,"2.000",NA,NA
"388","NW_017738925.1:9859181|9897797",NA,NA,"6.000",NA
"389","NW_017738925.1:9888389|9888758",NA,"1.000",NA,NA
"390","NW_017738925.1:9888389|9897797","4.000","4.000","3.000","5.000"
"391","NW_017738925.1:9888389|9900023",NA,"3.000",NA,NA
"392","NW_017738925.1:9888389|9914643",NA,NA,NA,"2.000"
"393","NW_017738925.1:9888389|9922775",NA,"9.000",NA,"11.000"
"394","NW_017738925.1:9888389|9942527",NA,NA,NA,"2.000"
"395","NW_017738925.1:9888389|9952712",NA,NA,"2.000",NA
"396","NW_017738925.1:9888389|9954295",NA,"2.000",NA,NA
"397","NW_017738925.1:9888389|9960474",NA,"1.000",NA,NA
"398","NW_017738925.1:9922726|9954295","3.000","10.000","4.000","16.000"
"399","NW_017738925.1:9942460|9954295","27.000","25.000","6.000","25.000"
"400","NW_017738925.1:9942460|9960474","7.000","94.000","52.000","47.000"
"401","NW_017738925.1:9952543|9954295","11.000","47.000","8.000","12.000"
"402","NW_017738925.1:9952543|9960474","29.000","49.000","7.000","19.000"
"403","NW_017738925.1:9958604|9960474","8.000",NA,"1.000",NA
"404","NW_017738925.1:9958604|9987822","1.000",NA,"1.000",NA
"405","NW_017738926.1:127521|129475",NA,"1.000",NA,NA
