"","circ_id","hsa1","hsa2","hsa3"
"1","1:10002262|10002439",NA,NA,4
"113","1:152132158|152132355",2,NA,NA
"114","1:152317029|152317191",2,NA,NA
"115","1:152404190|152404380",NA,NA,5
"116","1:152488841|152489026",NA,4,NA
"117","1:152632870|152633032",3,NA,NA
"118","1:152878986|152879142",NA,2,NA
"119","1:152985362|153032525",NA,NA,2
"120","1:153228247|153228441",NA,5,NA
"121","1:153305882|153306082",2,NA,NA
"122","1:153415927|153416077",NA,2,NA
"123","1:153827976|153828138",NA,2,NA
"124","1:154234590|154235291",NA,17,9
"125","1:154251040|154251653",NA,2,NA
"126","1:154326298|154326498",2,NA,NA
"127","1:154539852|154540007",2,NA,NA
"128","1:15471801|15491102",NA,NA,2
"129","1:154785202|154785369",NA,NA,2
"130","1:155181933|155182115",NA,2,NA
"131","1:155252279|155252451",NA,NA,2
"132","1:155285173|155285391",NA,NA,3
"133","1:155370678|155370843",NA,3,NA
"134","1:155676547|155679512",NA,47,2
"135","1:155921374|155923687",NA,4,NA
"136","1:155947101|155947279",NA,2,NA
"137","1:156073491|156073727",NA,3,NA
"138","1:156074965|156075133",NA,NA,2
"139","1:156096887|156097042",NA,3,NA
"140","1:156333546|156334918",NA,NA,2
"141","1:156381538|156381692",NA,NA,2
"142","1:15638306|15643650",NA,3,NA
"143","1:15653868|15654065",NA,NA,3
"144","1:156562524|156562713",NA,NA,2
"145","1:156595441|156595591",NA,2,NA
"146","1:156697073|156697341",NA,NA,2
"147","1:156807689|156808027",NA,NA,4
"148","1:156812190|156812378",NA,3,NA
"149","1:156907521|156907761",NA,NA,2
"150","1:156930687|156930888",NA,NA,2
"151","1:156951572|156955799",NA,5,NA
"152","1:157289201|157289479",NA,3,NA
"153","1:157316279|157316443",2,NA,NA
"154","1:157479034|157479192",3,NA,2
"155","1:157995154|157995341",NA,5,NA
"156","1:158060283|158060473",NA,NA,2
"157","1:158138164|158138370",NA,3,NA
"158","1:158724344|158724513",2,NA,NA
"159","1:158859200|158859396",3,NA,NA
"160","1:159085726|159085895",NA,2,NA
"161","1:15911100|15916279",NA,2,NA
"162","1:159183659|159183827",NA,NA,2
"163","1:15923545|15923705",NA,NA,2
"164","1:15942330|15942528",2,NA,NA
"165","1:159840119|159840278",NA,NA,3
"166","1:159864279|159864434",NA,NA,2
"167","1:159877979|159878143",NA,3,NA
"168","1:159975557|159975740",NA,3,NA
"169","1:16035554|16058809",9,NA,NA
"170","1:16040692|16064421",NA,8,NA
"171","1:160626939|160627122",NA,NA,2
"172","1:16065053|16065205",NA,NA,2
"173","1:160677344|160677705",2,NA,NA
"174","1:160770555|160770803",2,NA,NA
"175","1:160813750|160813911",2,NA,NA
"176","1:160855860|160856013",NA,NA,3
"177","1:160950818|160950984",NA,3,NA
"178","1:160950840|160951005",NA,NA,2
"179","1:161226825|161226976",NA,4,NA
"180","1:16139066|16139239",NA,NA,3
"181","1:161720579|161720775",NA,2,NA
"182","1:16176787|16176953",2,NA,NA
"183","1:161975183|161975365",NA,2,NA
"184","1:162095138|162095289",NA,NA,3
"185","1:16213189|16213375",2,NA,NA
"186","1:162176287|162176452",NA,4,NA
"187","1:162263879|162264050",3,NA,NA
"188","1:162460046|162460210",NA,NA,5
"189","1:162716340|162716748",NA,4,NA
"190","1:163011532|163011691",NA,2,NA
"191","1:163200300|163200514",2,NA,NA
"192","1:164129319|164129555",NA,NA,4
"193","1:164419277|164419455",NA,3,NA
"194","1:164441477|164441678",NA,2,NA
"195","1:164758600|164758723",NA,2,NA
"196","1:165046314|165046481",NA,8,NA
"197","1:165149931|165153119",NA,NA,2
"198","1:165563530|165563761",NA,3,NA
"199","1:165584370|165584545",NA,NA,3
"200","1:165743166|165754990",NA,4,NA
"201","1:166182955|166183107",NA,NA,4
"202","1:166371415|166371579",NA,2,NA
"203","1:166743797|166743989",NA,NA,2
"204","1:166859255|166859904",3,NA,NA
"205","1:166862202|166863921",NA,5,NA
"206","1:167438403|167438553",NA,NA,2
"207","1:167497705|167497874",NA,NA,4
"208","1:168092757|168093009",NA,NA,2
"209","1:169231993|169232215",NA,2,NA
"210","1:169625157|169625333",NA,NA,6
"211","1:169626040|169626218",NA,NA,3
"212","1:16981381|16981533",2,NA,NA
"213","1:170288872|170289047",NA,7,NA
"214","1:171136904|171137058",NA,3,NA
"215","1:171168556|171168713",2,8,NA
"216","1:171261675|171261896",NA,3,NA
"217","1:171541940|171542105",NA,NA,2
"218","1:17218705|17218931",NA,2,NA
"219","1:172187430|172187610",2,NA,NA
"220","1:172427126|172427291",NA,3,NA
"221","1:172533326|172533489",NA,2,NA
"222","1:17270232|17270384",NA,NA,2
"223","1:172864421|172864575",NA,NA,2
"224","1:173296929|173297169",NA,NA,2
"225","1:17351872|17351974",5,NA,NA
"226","1:174131732|174131891",2,NA,NA
"227","1:174764833|174764992",2,NA,NA
"228","1:175092865|175093024",2,NA,NA
"229","1:175123877|175124063",NA,4,NA
"230","1:175372090|175372243",2,NA,NA
"231","1:175468358|175468728",NA,NA,2
"232","1:175484265|175484440",NA,2,NA
"233","1:175609460|175609658",NA,NA,5
"234","1:175650775|175650987",2,NA,NA
"235","1:175684372|175684551",NA,NA,3
"236","1:17570609|17570778",2,NA,NA
"237","1:175815478|175815647",2,NA,NA
"238","1:175882300|175882475",NA,6,NA
"239","1:175896795|175897021",NA,4,NA
"240","1:17619349|17619499",4,NA,NA
"241","1:17635456|17635731",NA,NA,4
"242","1:17644066|17644221",NA,NA,5
"243","1:176523859|176524034",NA,NA,2
"244","1:176523859|176524042",NA,NA,4
"245","1:176745062|176745295",NA,NA,3
"246","1:17675737|17675925",2,NA,NA
"247","1:176845824|176846029",2,NA,NA
"248","1:17695328|17695508",NA,NA,2
"249","1:177077899|177078067",NA,NA,3
"250","1:177304998|177305152",NA,NA,2
"251","1:177353037|177353209",NA,2,NA
"252","1:177360332|177360530",NA,2,NA
"253","1:177562574|177562900",2,NA,NA
"254","1:177589263|177589439",3,NA,NA
"255","1:177688547|177688700",NA,NA,5
"256","1:177827825|177828016",NA,5,NA
"257","1:177943751|177943922",NA,NA,4
"258","1:178172039|178172322",NA,3,NA
"259","1:178788033|178788195",2,NA,NA
"260","1:178954391|178954549",2,NA,NA
"261","1:178979539|178979718",NA,3,NA
"262","1:179120189|179121867",NA,2,NA
"263","1:179131310|179133374",NA,5,NA
"264","1:179140305|179140631",NA,3,NA
"265","1:179180465|179180637",NA,NA,3
"266","1:179335505|179337896",NA,NA,3
"267","1:180084017|180087717",NA,2,NA
"268","1:180165160|180165346",NA,4,NA
"269","1:180266151|180266305",2,NA,NA
"270","1:1804418|1817875",NA,8,NA
"271","1:180653714|180653881",4,NA,NA
"272","1:180908639|180908797",3,NA,NA
"273","1:180984676|180993425",NA,4,NA
"274","1:18104248|18104602",NA,NA,3
"275","1:181119101|181119404",NA,NA,3
"276","1:181238035|181238304",NA,5,NA
"277","1:18126182|18126353",NA,2,NA
"278","1:181427234|181427420",NA,2,NA
"279","1:181596700|181596875",NA,NA,2
"280","1:181608649|181608823",NA,NA,5
"281","1:181670688|181670851",NA,3,NA
"282","1:181728607|181728761",NA,2,NA
"283","1:182443341|182443499",NA,6,NA
"284","1:182575720|182575946",NA,NA,2
"285","1:182744920|182745109",2,NA,NA
"286","1:183077519|183077696",NA,6,NA
"287","1:183197168|183197329",2,NA,NA
"288","1:18360384|18360602",2,NA,NA
"289","1:18363446|18363638",NA,5,NA
"290","1:18376288|18376465",NA,NA,4
"291","1:184036164|184036340",NA,NA,2
"292","1:184039330|184039495",NA,NA,2
"293","1:184248371|184249990",2,NA,NA
"294","1:184289955|184290174",3,NA,NA
"295","1:184704164|184704319",NA,NA,2
"296","1:18546416|18546617",NA,NA,2
"297","1:18635157|18635309",NA,NA,2
"298","1:186390710|186391791",NA,2,NA
"299","1:186849315|186870516",NA,2,NA
"300","1:187091964|187092139",NA,NA,5
"301","1:187331194|187331376",NA,6,NA
"302","1:1873885|1874118",NA,NA,3
"303","1:187545071|187545260",NA,2,NA
"304","1:18770292|18770470",2,NA,NA
"305","1:187838431|187838617",3,NA,NA
"306","1:188397304|188397457",2,NA,NA
"307","1:189859545|189859872",NA,NA,4
"308","1:190460837|190461016",2,2,NA
"309","1:191781271|191781475",2,NA,NA
"310","1:191851251|191851427",NA,NA,2
"311","1:19192187|19192540",NA,NA,2
"312","1:19210605|19211196",NA,2,NA
"313","1:1921562|1921731",NA,2,NA
"314","1:192252360|192252703",NA,3,NA
"315","1:192795500|192795677",NA,NA,4
"316","1:193701981|193702215",NA,5,NA
"317","1:193771909|193772072",NA,NA,3
"318","1:193902252|193902425",NA,4,NA
"319","1:19484909|19485061",NA,NA,2
"320","1:195969200|195969411",NA,NA,3
"321","1:196072287|196072453",NA,4,NA
"322","1:196099291|196099514",NA,3,NA
"323","1:196161847|196162019",NA,2,NA
"324","1:196336333|196336512",4,NA,NA
"325","1:19647845|19648022",NA,NA,2
"326","1:196743432|196743616",4,NA,NA
"327","1:19822214|19822459",NA,2,NA
"328","1:19885002|19885171",NA,NA,6
"329","1:199160501|199160800",NA,NA,3
"330","1:199744263|199744451",NA,NA,2
"331","1:199973631|199973785",2,2,NA
"332","1:200883509|200884066",NA,NA,4
"333","1:200973246|200973414",NA,2,NA
"334","1:201209214|201209427",2,NA,NA
"335","1:201209586|201210990",NA,9,NA
"336","1:201366067|201366230",NA,NA,2
"337","1:201480915|201481882",NA,2,NA
"338","1:201610528|201610706",5,NA,NA
"339","1:201678855|201679007",NA,NA,2
"340","1:202058396|202058609",2,NA,NA
"341","1:202109170|202109339",2,NA,NA
"342","1:202270924|202271100",2,NA,NA
"343","1:202278605|202278763",NA,NA,4
"344","1:202404996|202405281",NA,2,NA
"345","1:20263654|20263805",NA,NA,2
"346","1:202731617|202731867",3,NA,NA
"347","1:20304115|20304297",NA,NA,2
"348","1:203124092|203124317",NA,NA,4
"349","1:203225541|203225900",NA,4,NA
"350","1:203487263|203487461",2,NA,NA
"351","1:203500430|203500626",NA,NA,2
"352","1:20352889|20353052",NA,3,NA
"353","1:203537180|203537384",2,NA,NA
"354","1:20362591|20362750",NA,NA,2
"355","1:203664213|203664370",NA,2,NA
"356","1:203703394|203703572",NA,3,NA
"357","1:203845946|203846274",NA,5,NA
"358","1:204091384|204091562",NA,3,NA
"359","1:204116506|204116679",NA,NA,2
"360","1:204461590|204461794",2,NA,NA
"361","1:204490246|204490416",NA,NA,2
"362","1:204558640|204570746",NA,3,NA
"363","1:204602422|204602645",NA,NA,3
"364","1:204626377|204626528",NA,NA,2
"365","1:204662367|204662694",3,NA,NA
"366","1:204667791|204667957",NA,2,NA
"367","1:204841563|204841811",NA,NA,2
"368","1:204975614|204975776",NA,3,NA
"369","1:205067383|205067592",NA,2,NA
"370","1:205259714|205259866",NA,2,NA
"371","1:205259908|205260081",NA,3,NA
"372","1:205464018|205464420",NA,NA,2
"373","1:205472792|205472944",2,NA,NA
"374","1:205484177|205484356",NA,3,NA
"375","1:205535124|205535294",NA,NA,3
"376","1:20566486|20566672",2,NA,NA
"377","1:205753698|205753904",2,NA,NA
"378","1:205955062|205955215",NA,NA,2
"379","1:206425035|206425226",NA,2,NA
"380","1:206621764|206621931",NA,NA,2
"381","1:20723970|20724120",2,NA,NA
"382","1:20770929|20773610",NA,7,NA
"383","1:207884050|207884223",NA,4,NA
"384","1:208353463|208353811",NA,NA,3
"385","1:208839466|208839644",NA,NA,2
"386","1:208863319|208863491",NA,NA,3
"387","1:209033067|209033226",2,NA,NA
"388","1:209352387|209352563",NA,NA,2
"389","1:209465919|209466254",NA,2,NA
"390","1:209568330|209568481",NA,NA,3
"391","1:20969473|21002808",2,NA,NA
"392","1:209769093|209769265",2,NA,NA
"393","1:209887675|209887829",NA,8,NA
"394","1:210400467|210418325",NA,2,NA
"395","1:21050865|21089213",NA,NA,2
"396","1:21059724|21089213",NA,2,NA
"397","1:211176331|211176501",NA,NA,2
"398","1:211369050|211369225",2,NA,NA
"399","1:211712708|211712877",NA,NA,2
"400","1:211819483|211819683",NA,NA,4
"401","1:212164051|212164232",NA,2,NA
"402","1:212510564|212510733",NA,NA,2
"403","1:212757386|212757628",NA,4,NA
"404","1:213511636|213511787",NA,NA,2
"405","1:213689326|213689488",NA,NA,4
"406","1:213834754|213834940",NA,NA,3
"407","1:213855445|213855668",NA,2,NA
"408","1:214050958|214051202",2,NA,NA
"409","1:214128459|214128629",4,NA,NA
"410","1:214405018|214405209",2,NA,NA
"411","1:214677387|214677946",NA,NA,3
"412","1:2146967|2147132",3,NA,NA
"413","1:2147372|2147630",2,NA,NA
"414","1:215086367|215086678",NA,12,NA
"415","1:215086367|215124750",NA,6,NA
"416","1:215169198|215172183",NA,5,NA
"417","1:215509550|215509900",NA,2,NA
"418","1:215586494|215595471",NA,13,7
"419","1:21630504|21630666",NA,2,NA
"420","1:21669523|21669679",NA,NA,2
"421","1:216790123|216790279",NA,NA,2
"422","1:21701497|21703618",NA,NA,3
"423","1:21747066|21753119",NA,NA,2
"424","1:21748137|21751615",NA,2,NA
"425","1:217728726|217728890",NA,NA,3
"426","1:217750019|217751691",NA,NA,2
"427","1:218591638|218591797",NA,NA,3
"428","1:218679010|218679304",NA,NA,2
"429","1:21933877|21934200",NA,NA,3
"430","1:219977206|219977565",NA,3,NA
"431","1:220198147|220198348",NA,NA,4
"432","1:220279980|220280135",2,NA,NA
"433","1:220886752|220886929",NA,NA,2
"434","1:22119060|22119211",NA,NA,2
"435","1:22121839|22122245",NA,NA,3
"436","1:221622701|221622897",NA,2,NA
"437","1:22162757|22162910",NA,2,NA
"438","1:222128025|222128189",NA,2,NA
"439","1:222292917|222293102",NA,2,NA
"440","1:222314975|222315159",NA,NA,4
"441","1:222526043|222526236",NA,NA,2
"442","1:222632164|222645685",NA,4,NA
"443","1:222793315|222793487",NA,NA,3
"444","1:223016520|223016683",NA,2,NA
"445","1:223068114|223068338",2,NA,NA
"446","1:223181128|223181302",NA,3,NA
"447","1:22344297|22344466",NA,NA,2
"448","1:22346079|22346268",NA,NA,3
"449","1:223505356|223505547",NA,2,NA
"450","1:223650037|223650202",NA,NA,2
"451","1:223659364|223659515",2,NA,NA
"452","1:223804173|223806947",NA,6,NA
"453","1:224464992|224465142",NA,NA,2
"454","1:22472470|22473104",NA,6,NA
"455","1:225167938|225185425",NA,3,NA
"456","1:22543122|22543271",NA,NA,3
"457","1:22547156|22547311",NA,NA,6
"458","1:2255922|2256090",NA,NA,2
"459","1:22604757|22604937",NA,NA,2
"460","1:226213757|226213948",2,NA,NA
"461","1:22627220|22627415",NA,3,NA
"462","1:226554237|226554403",NA,NA,5
"463","1:226645648|226645829",NA,2,NA
"464","1:226896992|226897829",NA,NA,2
"465","1:227022795|227023001",NA,NA,4
"466","1:227465351|227465505",2,NA,NA
"467","1:227520837|227521040",NA,2,NA
"468","1:227572869|227573039",2,NA,NA
"469","1:227733396|227733560",NA,NA,2
"470","1:227747296|227747458",2,NA,NA
"471","1:227769820|227770013",2,NA,NA
"472","1:228072168|228072336",3,NA,NA
"473","1:228394736|228395252",NA,NA,3
"474","1:2284920|2285098",NA,NA,3
"475","1:228530744|228530952",NA,NA,3
"476","1:228535495|228535701",NA,NA,2
"477","1:228541105|228541348",NA,NA,2
"478","1:228546398|228546608",NA,NA,2
"479","1:2294125|2294368",NA,NA,2
"480","1:229497344|229497499",NA,NA,2
"481","1:229514048|229514384",NA,6,NA
"482","1:229579942|229580146",NA,NA,3
"483","1:229666242|229666441",NA,NA,2
"484","1:229667372|229667548",NA,4,NA
"485","1:230012490|230012777",3,NA,NA
"486","1:230104206|230104370",NA,NA,4
"487","1:230125187|230125338",NA,2,NA
"488","1:23030468|23044486",NA,6,NA
"489","1:23030468|23050520",NA,12,NA
"490","1:230394514|230394665",NA,NA,2
"491","1:230396730|230396904",NA,3,NA
"492","1:230398115|230398329",2,NA,NA
"493","1:230981579|230981753",2,NA,NA
"494","1:231298178|231298383",2,NA,NA
"495","1:231337308|231337527",NA,3,NA
"496","1:231370561|231374099",NA,4,NA
"497","1:231537212|231542611",NA,6,NA
"498","1:231576954|231577129",NA,NA,2
"499","1:231696128|231696339",NA,4,NA
"500","1:231818328|231818517",NA,8,NA
"501","1:232043255|232043426",NA,4,NA
"502","1:232108873|232109129",NA,NA,2
"503","1:232599651|232599825",3,NA,NA
"504","1:232637975|232638128",NA,3,3
"505","1:232646492|232646675",NA,NA,3
"506","1:232754792|232754977",NA,3,NA
"507","1:232756985|232757191",NA,NA,4
"508","1:232760010|232760278",NA,3,NA
"509","1:232761081|232761243",NA,NA,3
"510","1:232761243|232761402",NA,4,NA
"511","1:232875793|232875979",NA,3,NA
"512","1:233066768|233067037",NA,2,NA
"513","1:233128057|233128273",NA,3,NA
"514","1:233599969|233600125",NA,2,NA
"515","1:233892845|233893129",NA,NA,2
"516","1:23407068|23407251",NA,NA,6
"517","1:234078348|234078553",NA,NA,3
"518","1:234399246|234399419",2,NA,NA
"519","1:23453383|23453539",NA,NA,2
"520","1:234629960|234630145",NA,2,NA
"521","1:234831566|234831785",NA,NA,2
"522","1:234869692|234869900",NA,NA,2
"523","1:235072182|235072333",NA,NA,2
"524","1:235090612|235090977",NA,NA,3
"525","1:235434203|235437474",NA,10,NA
"526","1:236163867|236164058",2,NA,NA
"527","1:236951067|236951224",3,NA,NA
"528","1:237448215|237448400",NA,NA,3
"529","1:23796942|23797107",NA,3,NA
"530","1:23807153|23807373",NA,6,NA
"531","1:23903841|23904012",NA,4,NA
"532","1:239430696|239430904",NA,2,NA
"533","1:239921363|239921517",2,NA,NA
"534","1:240496402|240496592",NA,3,NA
"535","1:240509686|240509852",NA,NA,3
"536","1:240872498|240872697",NA,NA,2
"537","1:24093459|24093627",3,NA,NA
"538","1:241241207|241241545",NA,NA,2
"539","1:241285357|241285553",NA,NA,3
"540","1:241742923|241743167",NA,NA,2
"541","1:241972789|241972941",NA,NA,4
"542","1:242189738|242189886",2,NA,NA
"543","1:242231736|242231912",NA,NA,3
"544","1:242628173|242628522",NA,NA,4
"545","1:243378720|243418076",NA,3,NA
"546","1:243558726|243558881",4,NA,NA
"547","1:243903175|243903345",NA,NA,2
"548","1:243912523|243912676",NA,NA,2
"549","1:243932812|243932981",2,NA,NA
"550","1:244106312|244106533",NA,NA,3
"551","1:244336502|244336886",NA,NA,2
"552","1:24441379|24441666",NA,NA,2
"553","1:245053344|245053559",NA,2,NA
"554","1:24508418|24508602",4,NA,NA
"555","1:24531217|24533254",NA,NA,2
"556","1:245915529|245929937",NA,3,NA
"557","1:246501429|246501614",3,NA,NA
"558","1:24655036|24655202",NA,5,NA
"559","1:2466529|2466681",NA,NA,2
"560","1:246769256|246769433",NA,2,NA
"561","1:247312025|247312247",NA,NA,2
"562","1:247398711|247398867",NA,3,NA
"563","1:247560467|247560688",NA,NA,9
"564","1:248683182|248683347",NA,NA,3
"565","1:248702872|248703037",3,NA,NA
"566","1:248852111|248852431",NA,NA,6
"567","1:248915536|248915797",NA,NA,3
"568","1:24997339|24997489",NA,NA,3
"569","1:25096695|25096900",NA,2,NA
"570","1:2535299|2535451",NA,NA,2
"571","1:25561535|25561739",NA,NA,3
"572","1:25648564|25648691",2,NA,NA
"573","1:25971751|25971920",NA,3,NA
"574","1:26017068|26017240",2,NA,NA
"575","1:26365414|26365672",3,NA,NA
"576","1:26446315|26447660",NA,4,NA
"577","1:26446315|26460144",NA,5,NA
"578","1:2648927|2649090",3,NA,NA
"579","1:2648968|2649131",NA,NA,2
"580","1:26509454|26509658",NA,4,NA
"581","1:2651483|2651684",2,NA,NA
"582","1:26577953|26578112",NA,2,NA
"583","1:26661443|26661593",NA,2,NA
"584","1:26942659|26943065",NA,NA,2
"585","1:27113574|27113736",NA,3,NA
"586","1:27194310|27194539",NA,NA,2
"587","1:27533755|27533971",NA,NA,4
"588","1:27568190|27568365",2,NA,NA
"589","1:27687696|27687860",NA,NA,2
"590","1:28308810|28308985",NA,NA,3
"591","1:28476106|28480604",NA,NA,3
"592","1:28580559|28581229",NA,11,NA
"593","1:28599549|28599699",NA,NA,5
"594","1:2878352|2878579",NA,2,NA
"595","1:29043302|29043613",NA,3,NA
"596","1:29154695|29154910",NA,3,NA
"597","1:29283081|29283272",2,NA,NA
"598","1:29319707|29319873",NA,4,NA
"599","1:29353747|29353911",NA,3,NA
"600","1:29466603|29466812",2,NA,NA
"601","1:29591576|29591823",NA,4,NA
"602","1:29674985|29675158",NA,NA,2
"603","1:30066854|30067293",2,NA,NA
"604","1:30266038|30266190",NA,2,NA
"605","1:30275394|30275570",NA,6,NA
"606","1:30287681|30287840",NA,NA,2
"607","1:30322119|30322274",2,NA,NA
"608","1:30329801|30329991",NA,NA,2
"609","1:30512757|30512912",NA,3,NA
"610","1:30540739|30540892",NA,2,NA
"611","1:30823184|30823433",NA,3,NA
"612","1:30844159|30844359",NA,NA,2
"613","1:30900521|30900673",2,NA,NA
"614","1:31005852|31007102",NA,NA,4
"615","1:31055312|31059577",NA,4,NA
"616","1:3124514|3124685",3,NA,NA
"617","1:31293344|31293682",NA,6,NA
"618","1:31337174|31339048",NA,4,NA
"619","1:31346497|31346694",NA,8,NA
"620","1:31425775|31426823",NA,4,NA
"621","1:31428977|31429538",NA,6,NA
"622","1:3188011|3188289",NA,2,NA
"623","1:3193312|3193474",NA,NA,2
"624","1:32030297|32031640",NA,12,NA
"625","1:32226170|32226530",NA,NA,3
"626","1:32231743|32232184",NA,9,NA
"627","1:32334582|32334800",NA,6,NA
"628","1:32877422|32877676",3,NA,NA
"629","1:32948221|32949774",NA,6,5
"630","1:33000368|33000525",NA,3,NA
"631","1:33011283|33011481",NA,3,NA
"632","1:33242183|33242348",NA,5,NA
"633","1:3325051|3325231",NA,2,NA
"634","1:33250979|33251143",3,NA,NA
"635","1:33328869|33329024",2,NA,NA
"636","1:33729248|33729418",2,NA,NA
"637","1:33775815|33776053",NA,NA,2
"638","1:33825651|33825980",NA,NA,6
"639","1:33899411|33899720",NA,4,NA
"640","1:34420642|34420802",3,NA,NA
"641","1:34456143|34456344",NA,NA,2
"642","1:34517393|34517546",NA,2,NA
"643","1:34614159|34614377",3,NA,NA
"644","1:34777712|34777898",2,NA,NA
"645","1:34779853|34780005",4,NA,NA
"646","1:34874813|34874999",NA,2,NA
"647","1:34881284|34881474",NA,NA,3
"648","1:34897315|34897537",2,NA,NA
"649","1:34972704|34972859",NA,NA,3
"650","1:35038641|35038792",NA,2,NA
"651","1:35210026|35210343",NA,NA,3
"652","1:35269207|35269371",3,NA,NA
"653","1:35415465|35415714",NA,6,NA
"654","1:35563738|35563962",NA,2,NA
"655","1:35672691|35672865",2,NA,NA
"656","1:35804503|35804706",NA,NA,2
"657","1:35884988|35885170",NA,3,NA
"658","1:3595169|3595525",NA,3,NA
"659","1:36308390|36308555",3,NA,NA
"660","1:36358238|36362656",NA,4,NA
"661","1:36361220|36362656",NA,12,3
"662","1:36494824|36494982",2,NA,NA
"663","1:36756470|36756624",NA,2,NA
"664","1:36880157|36880311",3,NA,NA
