"gene_id","new_gene_name","identity","evalue","bitscore","ref_species","ref_gene_id","original_name"
"ENSMPIG00001027400244","TRPC4",98.326,3.47e-158,499,"hsa","ENSG00000133107.15","novel_gene_2392_627a1eab"
"ENSMPIG00001027400244","TRPC4",98.326,3.47e-158,499,"hsa","ENSG00000133107.15","novel_gene_2392_627a1eab"
"ENSMPIG00001027500244","TRPC4",98.326,3.47e-158,499,"hsa","ENSG00000133107.15","novel_gene_520_62831269"
"ENSMPIG00001027500244","TRPC4",98.326,3.47e-158,499,"hsa","ENSG00000133107.15","novel_gene_520_62831269"
"ENSMPIG00001028100244","FREM2",87.452,0,5708,"mma","ENSMMUG00000002702.4","novel_gene_2286_627a1eab"
"ENSMPIG00001031400174","UNKNOWN",57.857,7.8e-54,172,"mma","ENSMMUG00000056375.1","novel_gene_773_627a1eab"
"ENSMPIG00001031400174","UNKNOWN",57.857,3.91e-53,172,"mma","ENSMMUG00000057223.1","novel_gene_773_627a1eab"
"ENSMPIG00001031400174","UNKNOWN",57.857,4.75e-53,172,"mma","ENSMMUG00000052467.1","novel_gene_773_627a1eab"
"ENSMPIG00001031400174","UNKNOWN",57.857,5.06e-53,172,"mma","ENSMMUG00000064366.1","novel_gene_773_627a1eab"
"ENSMPIG00001031400174","UNKNOWN",57.857,5.76e-53,172,"mma","ENSMMUG00000049561.1","novel_gene_773_627a1eab"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,7.57e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,8.84e-79,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001036500244","FRY",95.833,1.02e-78,299,"mma","ENSMMUG00000007192.4","novel_gene_522_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001042100244","SPATA13",73.092,0,1801,"hsa","ENSG00000182957.16","novel_gene_499_62831269"
"ENSMPIG00001043000244","ERC1",91.129,3.39e-134,452,"mma","ENSMMUG00000010933.4","novel_gene_2398_627a1eab"
"ENSMPIG00001052500244","Tmtc2",92.045,1.34e-156,512,"mmu","ENSMUSG00000036019.9","novel_gene_527_62831269"
"ENSMPIG00001052500244","Tmtc2",92.045,1.34e-156,512,"mmu","ENSMUSG00000036019.9","novel_gene_527_62831269"
"ENSMPIG00001052500244","Tmtc2",92.045,1.34e-156,512,"mmu","ENSMUSG00000036019.9","novel_gene_527_62831269"
"ENSMPIG00001052500244","Tmtc2",92.045,1.34e-156,512,"mmu","ENSMUSG00000036019.9","novel_gene_527_62831269"
"ENSMPIG00001053000244","PPFIA2",98.648,0,2534,"mma","ENSMMUG00000013804.4","novel_gene_501_62831269"
"ENSMPIG00001054300244","NAV3",99.39,1.41e-83,313,"hsa","ENSG00000067798.16","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,1.41e-83,313,"hsa","ENSG00000067798.16","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,1.41e-83,313,"hsa","ENSG00000067798.16","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,1.41e-83,313,"hsa","ENSG00000067798.16","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,1.41e-83,313,"hsa","ENSG00000067798.16","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,2.63e-83,313,"mma","ENSMMUG00000021329.4","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,2.63e-83,313,"mma","ENSMMUG00000021329.4","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,2.63e-83,313,"mma","ENSMMUG00000021329.4","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,2.63e-83,313,"mma","ENSMMUG00000021329.4","novel_gene_2402_627a1eab"
"ENSMPIG00001054300244","NAV3",99.39,2.63e-83,313,"mma","ENSMMUG00000021329.4","novel_gene_2402_627a1eab"
"ENSMPIG00001057900244","PTPRR",92.237,0,1251,"hsa","ENSG00000153233.13","novel_gene_2320_627a1eab"
"ENSMPIG00001058000244","PTPRR",92.237,0,1251,"hsa","ENSG00000153233.13","novel_gene_503_62831269"
"ENSMPIG00001061200244","GRIP1",97.074,0,2245,"mma","ENSMMUG00000016631.4","novel_gene_505_62831269"
"ENSMPIG00001088300244","DIP2B",66.379,1.23e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.23e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.23e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.29e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.29e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.29e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.35e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.35e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.35e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.36e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.36e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.36e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.41e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.41e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001088300244","DIP2B",66.379,1.41e-34,150,"mma","ENSMMUG00000010565.4","novel_gene_2420_627a1eab"
"ENSMPIG00001096400244","ARID2",94.142,0,1665,"mma","ENSMMUG00000015962.4","novel_gene_530_62831269"
"ENSMPIG00001096800244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_2341_627a1eab"
"ENSMPIG00001096800244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_2341_627a1eab"
"ENSMPIG00001096800244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_2341_627a1eab"
"ENSMPIG00001096800244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_2341_627a1eab"
"ENSMPIG00001096800244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_2341_627a1eab"
"ENSMPIG00001096900244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_512_62831269"
"ENSMPIG00001096900244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_512_62831269"
"ENSMPIG00001096900244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_512_62831269"
"ENSMPIG00001096900244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_512_62831269"
"ENSMPIG00001096900244","NELL2",97.794,0,1657,"hsa","ENSG00000184613.11","novel_gene_512_62831269"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001098100244","Cntn1",50,1.8e-50,199,"mmu","ENSMUSG00000055022.15","novel_gene_2427_627a1eab"
"ENSMPIG00001103002243","ITPR2",97.334,0,5503,"hsa","ENSG00000123104.12","novel_gene_2345_627a1eab"
"ENSMPIG00001109000244","Grin2b",97.615,0,2230,"mmu","ENSMUSG00000030209.15","novel_gene_2353_627a1eab"
"ENSMPIG00001109000244","Grin2b",97.615,0,2230,"mmu","ENSMUSG00000030209.15","novel_gene_2353_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130700244","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_2441_627a1eab"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00001130803243","LARGE1",96.809,3.68e-52,199,"hsa","ENSG00000133424.22","novel_gene_538_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,1.3e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002020200244","VEPH1",77.852,4.29e-60,228,"mma","ENSMMUG00000022848.4","novel_gene_51_62831269"
"ENSMPIG00002024400244","MECOM",76.063,0,925,"mma","ENSMMUG00000002242.4","novel_gene_60_62831269"
"ENSMPIG00002024400244","MECOM",76.063,0,925,"mma","ENSMMUG00000002242.4","novel_gene_60_62831269"
"ENSMPIG00002024400244","MECOM",76.063,0,925,"mma","ENSMMUG00000002242.4","novel_gene_60_62831269"
"ENSMPIG00002024400244","MECOM",76.063,0,925,"mma","ENSMMUG00000002242.4","novel_gene_60_62831269"
"ENSMPIG00002027300194","NAALADL2",83.848,0,929,"hsa","ENSG00000177694.16","novel_gene_2133_627a1eab"
"ENSMPIG00002027400194","NAALADL2",83.848,0,929,"hsa","ENSG00000177694.16","novel_gene_461_62831269"
"ENSMPIG00002036500104","UNKNOWN",67.836,5.02e-83,261,"mma","ENSMMUG00000060115.1","novel_gene_1208_627a1eab"
"ENSMPIG00002036500104","UNKNOWN",68.421,5.7e-83,261,"mma","ENSMMUG00000055525.1","novel_gene_1208_627a1eab"
"ENSMPIG00002041600034","Zfp277",57.463,2.27e-38,138,"mmu","ENSMUSG00000055917.16","novel_gene_1295_627a1eab"
"ENSMPIG00002044700244","KALRN",99.448,1.2e-108,398,"hsa","ENSG00000160145.16","novel_gene_245_627a1eab"
"ENSMPIG00002044801243","KALRN",99.448,1.2e-108,398,"hsa","ENSG00000160145.16","novel_gene_95_62831269"
"ENSMPIG00002045300244","MYLK",87.231,0,3408,"mma","ENSMMUG00000014818.4","novel_gene_2189_627a1eab"
"ENSMPIG00002045300244","MYLK",87.231,0,3408,"mma","ENSMMUG00000014818.4","novel_gene_2189_627a1eab"
"ENSMPIG00002051000244","LSAMP",95.625,0,629,"mma","ENSMMUG00000012579.4","novel_gene_2207_627a1eab"
"ENSMPIG00002051101243","LSAMP",95.625,0,629,"mma","ENSMMUG00000012579.4","novel_gene_471_62831269"
"ENSMPIG00002056700234","Cd47",55.594,2.83e-89,297,"mmu","ENSMUSG00000055447.20","novel_gene_474_62831269"
"ENSMPIG00002056700234","Cd47",55.594,2.83e-89,297,"mmu","ENSMUSG00000055447.20","novel_gene_474_62831269"
"ENSMPIG00002060000044","Zfp277",57.463,1.39e-38,139,"mmu","ENSMUSG00000055917.16","novel_gene_1590_627a1eab"
"ENSMPIG00002060200034","Zfp277",57.463,3.73e-38,138,"mmu","ENSMUSG00000055917.16","novel_gene_1592_627a1eab"
"ENSMPIG00002063000244","EPHA6",98.19,4.26e-139,470,"hsa","ENSG00000080224.18","novel_gene_124_62831269"
"ENSMPIG00002063000244","EPHA6",98.19,4.26e-139,470,"hsa","ENSG00000080224.18","novel_gene_124_62831269"
"ENSMPIG00002063000244","EPHA6",98.19,4.26e-139,470,"hsa","ENSG00000080224.18","novel_gene_124_62831269"
"ENSMPIG00002064700244","EPHA3",97.727,1.7e-144,472,"mma","ENSMMUG00000008242.4","novel_gene_126_62831269"
"ENSMPIG00002064700244","EPHA3",97.727,1.7e-144,472,"mma","ENSMMUG00000008242.4","novel_gene_126_62831269"
"ENSMPIG00002067400244","GBE1",91.311,0,1338,"mma","ENSMMUG00000015877.4","novel_gene_475_62831269"
"ENSMPIG00002067801173","UNKNOWN",50.435,3.34e-71,224,"mma","ENSMMUG00000049561.1","novel_gene_1680_627a1eab"
"ENSMPIG00002068000244","ROBO1",96.554,0,3308,"mma","ENSMMUG00000002327.4","novel_gene_476_62831269"
"ENSMPIG00002068500244","Robo2",56.89,1.36e-73,278,"mmu","ENSMUSG00000052516.22","novel_gene_328_627a1eab"
"ENSMPIG00002068800084","UNKNOWN",55.357,3.68e-39,140,"mma","ENSMMUG00000061903.1","novel_gene_1686_627a1eab"
"ENSMPIG00002068800084","UNKNOWN",55.856,3.68e-39,140,"mma","ENSMMUG00000057557.1","novel_gene_1686_627a1eab"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,8.59e-66,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.16e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.25e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.35e-65,254,"hsa","ENSG00000144893.13","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002069900244","MED12L",95.935,1.44e-65,254,"mma","ENSMMUG00000017239.4","novel_gene_134_62831269"
"ENSMPIG00002070200244","GPR171",90.909,0,602,"hsa","ENSG00000174946.7","novel_gene_2226_627a1eab"
